ID,NGenes,Direction,PValue,FDR
GO:0048167,37,Up,0.0022685183196620466,0.05155978057404726
GO:0007274,13,Up,0.002321036900423523,0.05211010894731349
GO:0042102,32,Down,0.002367869844539924,0.052521064865036146
GO:0030199,41,Down,0.0026681955577737924,0.058477952641208954
GO:0007179,70,Down,0.0027223475563977477,0.058702326168019084
GO:0099560,12,Up,0.0027422053505973066,0.058702326168019084
GO:0099505,23,Up,0.002848825141166876,0.059827873205390285
GO:0061564,17,Up,0.002859778838715016,0.059827873205390285
GO:0009611,45,Down,0.002959826529273067,0.06122517573473838
GO:0034144,10,Down,0.0030071280078679827,0.06151247402761063
GO:0070102,12,Down,0.0030991601517725707,0.06269839383970661
GO:0006954,210,Down,0.0033348347760164755,0.06650988213578028
GO:0007216,12,Up,0.0033878334088137826,0.06650988213578028
GO:0008610,13,Up,0.003395941836373355,0.06650988213578028
GO:0060395,23,Down,0.0036772964851881323,0.07126213504454054
GO:0007596,47,Down,0.003803401648134607,0.0729381503564147
GO:0032570,28,Down,0.004078717935165231,0.07741030668761852
GO:0050768,16,Down,0.004132000828236853,0.07741030668761852
GO:0098869,49,Down,0.0041627487029191924,0.07741030668761852
GO:0001525,161,Down,0.004387270374143227,0.08076964758797682
GO:0060292,13,Up,0.004571511961956568,0.08282360750436711
GO:0000281,39,Up,0.004588814755809584,0.08282360750436711
GO:0006952,39,Down,0.004795446694047698,0.08571278993924089
GO:0006414,13,Down,0.004889040252134034,0.08654541446325728
GO:0006486,50,Up,0.005318039936578629,0.0931124411608394
GO:0007626,52,Up,0.005361172603502974,0.0931124411608394
GO:0006749,25,Down,0.0054210307519964645,0.0931216616770428
GO:0070050,16,Up,0.0055432589955300765,0.0931216616770428
GO:0007413,12,Up,0.0056295691848160575,0.0931216616770428
GO:0032735,25,Down,0.005652136135902124,0.0931216616770428
GO:0009615,69,Down,0.005732619712281071,0.0931216616770428
GO:0001817,20,Down,0.005736541324004413,0.0931216616770428
GO:0007193,42,Up,0.0057385219306396364,0.0931216616770428
GO:0061077,30,Down,0.0058468383080093585,0.0931216616770428
GO:0007214,21,Up,0.0058838072648963475,0.0931216616770428
GO:0070885,11,Up,0.005910648607930451,0.0931216616770428
GO:0048665,11,Down,0.0059609377700402585,0.0931216616770428
GO:0003085,11,Up,0.006000576774774068,0.0931216616770428
GO:0042542,26,Down,0.006019270906881094,0.0931216616770428
GO:0031507,36,Down,0.006186639231884233,0.09491335688249061
GO:0006816,56,Up,0.0063338974387407,0.0963694643365424
GO:0043123,144,Down,0.00651079473337562,0.09795866513875806
GO:0007160,62,Down,0.006544766872388507,0.09795866513875806
GO:0048169,14,Up,0.006620037317329497,0.09828619920325488
GO:0032967,15,Down,0.006737406571688435,0.09922852398782726
GO:0046597,11,Down,0.006806007519964637,0.09944333209726108
GO:0007616,30,Up,0.007074232496709985,0.10254851989325262
