,GSM7887562,GSM7887563,GSM7887564,GSM7887565,GSM7887566,GSM7887567
90326,8.82377857472462,8.83958911034189,9.04420372212185,9.17612272075676,9.13183457130137,9.2375629170739
55735,10.4312609860206,10.2085759921174,10.3902692504334,10.4796683692095,10.5706437990834,10.6310427111394
23261,9.7603142972176,9.77360578621166,9.71153753620332,9.69462793351719,9.60787717050961,9.77179145443443
105376689,3.87202383399195,3.13707655617779,4.18535150728769,4.3065443873822,4.61238040566602,4.18275754098499
9341,10.6368256612903,10.7687572219146,10.5823721586732,10.7741597562196,10.7220681066145,10.5662439480059
8863,9.37840743811106,9.45689984827182,9.26422963879361,9.01450034337928,9.01438433316565,9.03869746367254
11315,11.803398462174,11.7990530162251,11.8276990065722,11.6672403072096,11.7454092974005,11.7066310639211
54206,11.9636757273884,11.9366990944269,11.7262693642401,12.1386237429924,12.0855679392699,12.0752893939794
50651,4.21252995490299,5.00852202963206,4.10283625157732,5.56910388112937,5.83544742736476,5.71376354466647
473,10.9801328851775,10.8900488298025,11.0844277441131,10.9589416106555,10.9354740959219,11.0593371177806
2023,16.2470914190523,16.216803448053,16.3132985920486,16.3702710392504,16.528116870194,16.4901717086767
102465436,5.32108578688972,6.00795439012564,2.5985826618029,0.991923763661051,5.3498182532051,1.00680791342978
100505975,2.96733727287777,3.13707655617779,3.82252351707856,3.15553584118987,3.83392913271809,3.81997272903739
6518,4.4878181203662,4.28679360278036,4.53918466751714,4.07222277383313,3.93359983051511,3.91957282571315
80045,7.56271829089391,7.64265535589904,7.53980254084906,7.36760389111269,7.13691749762044,7.44813392656033
106614088,6.51760197014819,6.09281084442209,5.97026323402013,9.21984326701366,9.28829531802372,9.40158095786648
102724571,2.2920941877348,3.42582785614788,4.01531367553295,6.15395328449811,6.11564460826659,5.87133172300506
9563,10.4383702426666,10.3913797837117,10.4214583198797,10.5044318309023,10.4400884460114,10.5114263388387
80176,7.88757858569402,7.78970602369253,7.98204816692811,8.12341117615187,8.13178308370214,8.13247629036244
84275,8.35932738781033,8.2895386700738,8.10373197681636,8.3147695265893,8.10530896535754,8.17340791483906
199953,8.82377857472462,8.87296342365564,9.0358882741087,9.11825736604057,9.20596887965648,9.08770023077643
5293,6.71784839834763,6.59272762803555,6.49187981461111,6.65638709303111,6.61326575396779,6.84635526382272
101929074,4.77131730397912,4.48818328442195,5.01582134246255,4.84234464449613,4.41956662833381,5.18313324608089
22883,11.1842131950685,11.1260293954789,11.2912827505695,11.1284674994445,11.1475265890056,11.2867911990957
56998,9.57920730771899,9.56481144038783,9.72366854078805,9.89670829540227,9.88343605203684,9.94134793292655
105376717,5.63577807860043,5.82161957427872,6.14537987523391,5.9840565582251,6.2570393342189,6.22285450189669
84328,9.98501444608102,9.9742559867607,9.80258007015495,9.81512718602361,9.69744844544182,9.68245222662791
64802,8.91105411856049,8.97708538373345,8.60500129234704,9.27844874864209,9.27885016882343,9.25673552482028
116362,3.77266820789351,4.05265864391354,3.92213656871813,3.57012135852669,4.11439444148847,3.81997272903739
10277,10.5172242485055,10.4357096270792,10.4582238625754,10.3180879645158,10.2257908217438,10.3253215295112
23095,10.8747707247555,10.8744038588507,10.8001363803641,10.8603276727623,10.8173005740941,10.8249510217023
5226,11.636372545539,11.6669072181413,11.7450948963846,11.6711826842963,11.7611813635038,11.7875433596674
100526739,6.11289073288983,5.71857393434577,5.8489339612155,5.56910388112937,5.31327421644694,5.29863935984065
378708,6.11289073288983,5.71857393434577,5.8489339612155,5.53873745076478,5.23728609598228,5.29863935984065
1676,10.3124733287116,10.2849497886168,10.3494715944244,10.6375529516626,10.7428269110618,10.8031098583937
5195,8.80504307690815,8.71127243229999,9.09844791471337,9.09235602766618,9.08924115190401,9.04973171166757
54897,9.88300215706315,9.67039637932346,9.90353230069781,10.0075720626211,10.098692851805,10.1076491678199
23435,11.3196267449722,11.2899981744564,11.1787130754465,11.1027504587398,11.0987060225266,10.9793613765145
10747,7.25747220498106,7.14316000110463,6.616074273894,7.24129636594612,6.92317803717582,6.99075646903143
6723,8.99058877080812,9.0237585369319,9.37385608404314,9.10017537261825,9.09732379445552,9.28034844422959
5394,10.6998797448308,10.5749633023789,10.543794836309,10.5122672010509,10.5599605761597,10.652011284014
105376736,5.00815170847436,4.82226545631387,4.82310375160941,5.26962189224412,5.55154449369501,5.26115552932457
2475,10.8112536936427,10.7070071266442,10.7984988044154,10.7676280605244,10.9004883759517,10.9302027797514
100873935,4.87076287227705,5.05155736714651,4.82310375160941,4.98431100981473,4.93454464656331,5.22267176310153
29914,8.75711138765479,8.79912478753917,8.86491655005051,8.88470294717519,8.94441899966274,8.91140096361688
57540,3.66596072312032,3.55107539229103,3.59993763236173,2.98583677762913,2.0215016573049,3.18200583714356
26232,9.98501444608102,9.97704913139503,10.2618681624011,10.1182428740782,10.1668449229047,10.064780049986
93611,9.37840743811106,9.25996821018952,9.61807872232395,9.68078921340573,9.64511101979609,9.786707607011
26270,6.78312434339655,6.74469286593871,6.88655476789851,6.93812973076187,7.09447610524513,7.19339969683787
10459,9.53061619223051,9.39349928648909,9.67094471432292,9.41427822077409,9.55016016178737,9.55659754859946
374946,5.45530480739182,5.66415283690135,5.65986024860922,6.09256257473832,6.21803485587144,5.99064915466176
57085,8.39317255213786,8.27599323984293,8.67092456902344,8.65272706809225,8.65423540217823,8.77510393171853
284498,7.75068415705053,7.78970602369253,7.91712770091271,7.86038832244131,7.96512060480461,8.0303399374952
4524,9.96405536043149,9.87292445815441,10.0483590497606,10.0659661299725,10.1067228612694,10.2021611122313
1185,9.63154172917982,9.58874870116657,9.58806013805997,9.25762397608893,9.3661763838844,9.45443356601473
100379251,8.09202850286263,8.20152126873967,8.13521149670223,8.90567658443524,9.02006446170191,8.95313553012178
4878,8.86957971888046,8.94034670705404,9.15072625969265,10.0884156101617,10.1475138565243,10.1325127662264
4879,8.4505557530022,8.27599323984293,8.5593171201937,9.22462031797599,9.42516101636708,9.28268861825713
90231,9.99744528315457,10.0005750286506,10.2959263492391,10.5725272747027,10.6442098379195,10.7157484219546
5351,12.8347129511564,12.7624816717285,12.9626848075885,12.7712988654345,12.8272685732039,12.8417184769122
9927,12.5937932383214,12.5481958033758,12.7607398751824,12.8015874396455,12.8499697287962,12.8488429205042
60672,7.8392883345771,7.84579428883408,8.26894102696545,8.62408782248464,8.77672524403131,8.67888646797614
7133,3.4254812283395,3.42582785614788,3.82252351707856,3.15553584118987,3.48545332575075,2.81900603678982
55187,10.2117547887408,10.0793701401422,10.0177211843665,10.0923412731723,10.0715986915565,10.2387799938294
9249,7.76367996057759,7.75106457865815,7.88044528807065,8.08189359316072,8.13702010517344,7.89616961157564
