Gene ID,Mean Expr,log2FC,log2FC SE,p-value,adj. p-value,Gene Symbol
1969,1470,0.913,0.0826,1.69e-29,2.93e-27,EPHA2
54626,298,1.38,0.125,2.05e-29,3.52e-27,HES2
60495,116,-2.29,0.208,3.64e-29,6.18e-27,HPSE2
54507,1050,0.899,0.0828,1.42e-28,2.39e-26,ADAMTSL4
1474,309,1.48,0.137,1.6e-28,2.66e-26,CST6
113146,4550,0.745,0.069,4.12e-28,6.82e-26,AHNAK2
81578,373,-1.18,0.111,1.66e-27,2.71e-25,COL21A1
145581,312,-1.31,0.124,2.66e-27,4.32e-25,LRFN5
85315,405,-1.12,0.107,7.74e-27,1.24e-24,PAQR8
8349,1710,0.772,0.0737,1.19e-26,1.9e-24,H2BC21
79586,3930,0.917,0.0878,1.27e-26,2.01e-24,CHPF
55924,569,1.01,0.0965,1.29e-26,2.02e-24,INKA2
3148,1150,-0.807,0.078,3.97e-26,6.17e-24,HMGB2
8334,428,1.08,0.105,6.29e-26,9.69e-24,H2AC6
355,71.2,2.85,0.277,6.72e-26,1.03e-23,FAS
64151,190,-1.59,0.155,7.19e-26,1.09e-23,NCAPG
1062,77.2,-2.66,0.261,1.62e-25,2.43e-23,CENPE
652995,714,0.912,0.0894,1.74e-25,2.58e-23,NA
55635,106,-2.62,0.257,2.01e-25,2.97e-23,DEPDC1
4751,78.7,-2.62,0.259,3.88e-25,5.68e-23,NEK2
10930,1510,0.77,0.076,3.94e-25,5.72e-23,APOBEC2
57493,1680,0.772,0.0763,4.48e-25,6.41e-23,HEG1
94241,597,1.08,0.107,4.48e-25,6.41e-23,TP53INP1
3897,139,-1.77,0.176,5.43e-25,7.7e-23,L1CAM
650669,285,1.23,0.123,1.21e-24,1.7e-22,NA
55143,153,-1.64,0.165,1.31e-24,1.83e-22,CDCA8
51512,136,-1.76,0.177,1.53e-24,2.12e-22,GTSE1
478,2080,-0.82,0.0823,1.94e-24,2.67e-22,ATP1A3
6241,332,-1.18,0.119,2.82e-24,3.85e-22,RRM2
11155,6470,0.578,0.0582,4.52e-24,6.12e-22,LDB3
3855,1110,0.82,0.0831,5.45e-24,7.32e-22,KRT7
2487,233,-1.32,0.134,6.92e-24,9.23e-22,FRZB
9824,106,-2.05,0.209,8.33e-24,1.1e-21,ARHGAP11A
54858,1180,0.754,0.0768,9.06e-24,1.19e-21,PGPEP1
4852,1280,-0.784,0.0801,1.2e-23,1.57e-21,NPY
340485,101,2.06,0.211,1.56e-23,2.02e-21,ACER2
57082,102,-2.05,0.211,1.89e-23,2.43e-21,KNL1
4239,1350,-0.833,0.0857,2.34e-23,2.99e-21,MFAP4
7039,207,1.39,0.144,2.69e-23,3.41e-21,TGFA
26011,1090,-0.787,0.0813,3.45e-23,4.35e-21,TENM4
10024,113,-1.9,0.198,5.37e-23,6.72e-21,TROAP
55287,360,1.06,0.111,7.42e-23,9.21e-21,TMEM40
55355,152,-1.59,0.167,1.47e-22,1.81e-20,HJURP
51278,1110,0.812,0.0852,1.56e-22,1.91e-20,IER5
9212,135,-1.72,0.182,2.46e-22,2.99e-20,AURKB
51659,229,-1.3,0.138,2.81e-22,3.4e-20,GINS2
118738,68.9,2.5,0.265,2.99e-22,3.59e-20,ZNF488
54084,317,1.1,0.116,3.03e-22,3.61e-20,TSPEAR
2589,2650,-0.818,0.0866,3.11e-22,3.69e-20,GALNT1
51676,2050,0.72,0.0761,3.23e-22,3.81e-20,ASB2
54478,72.3,-2.52,0.268,3.51e-22,4.1e-20,PIMREG
642475,203,-1.53,0.163,4.37e-22,5.07e-20,MROH6
4174,490,-0.947,0.101,5.34e-22,6.16e-20,MCM5
58476,4160,0.633,0.0673,6.29e-22,7.21e-20,TP53INP2
29085,4310,0.805,0.0858,6.32e-22,7.21e-20,PHPT1
5355,1100,-0.729,0.0778,7.25e-22,8.21e-20,PLP2
26263,694,0.834,0.0893,8.56e-22,9.64e-20,FBXO22
26471,134,-1.77,0.19,1.03e-21,1.15e-19,NUPR1
55344,864,-0.804,0.0863,1.07e-21,1.19e-19,PLCXD1
11113,208,-1.37,0.148,1.19e-21,1.32e-19,CIT
761,734,-0.842,0.0906,1.28e-21,1.41e-19,CA3
55191,1050,0.815,0.0877,1.35e-21,1.48e-19,NADSYN1
11156,1880,0.729,0.0785,1.68e-21,1.82e-19,PTP4A3
81610,115,-1.84,0.199,1.68e-21,1.82e-19,FAM83D
3015,2170,-0.631,0.068,1.94e-21,2.08e-19,H2AZ1
8557,2430,0.97,0.105,1.98e-21,2.11e-19,TCAP
55165,65.6,-2.5,0.272,3.13e-21,3.31e-19,CEP55
7508,1340,0.729,0.0795,4.59e-21,4.83e-19,XPC
442721,684,0.808,0.0886,7.28e-21,7.62e-19,LMOD2
124976,3250,0.64,0.0703,9.77e-21,1.02e-18,SPNS2
7373,3290,-0.578,0.0635,1.24e-20,1.29e-18,COL14A1
11130,387,-0.986,0.109,1.28e-20,1.32e-18,ZWINT
7087,384,1.05,0.118,2.6e-20,2.66e-18,ICAM5
2014,889,-0.852,0.0952,3.24e-20,3.3e-18,EMP3
7275,1090,-0.687,0.0769,4.36e-20,4.41e-18,TUB
50484,557,1.03,0.116,5.1e-20,5.13e-18,RRM2B
25861,1100,0.734,0.0823,5.22e-20,5.22e-18,WHRN
1303,3890,0.599,0.0672,5.98e-20,5.95e-18,COL12A1
9369,287,-1.11,0.126,6.08e-20,6.02e-18,NRXN3
3680,1280,-0.661,0.0743,6.72e-20,6.61e-18,ITGA9
165904,5330,0.666,0.0749,7.13e-20,6.98e-18,XIRP1
776,265,-1.17,0.133,7.76e-20,7.56e-18,CACNA1D
4085,193,-1.29,0.147,9.74e-20,9.44e-18,MAD2L1
1339,1540,0.744,0.0842,1.02e-19,9.78e-18,COX6A2
9881,734,0.783,0.0888,1.18e-19,1.13e-17,TRANK1
6330,68.2,2.27,0.259,1.23e-19,1.17e-17,SCN4B
8013,1460,-0.629,0.0713,1.47e-19,1.4e-17,NR4A3
126820,51.2,2.87,0.327,1.99e-19,1.87e-17,DNAI3
8633,1050,-0.691,0.079,2.38e-19,2.23e-17,UNC5C
994,487,-0.903,0.104,2.98e-19,2.78e-17,CDC25B
2305,281,-1.07,0.124,4.89e-19,4.54e-17,FOXM1
8797,73.6,2.19,0.255,5.49e-19,5.07e-17,TNFRSF10A
1033,76,-2.1,0.246,7.59e-19,6.98e-17,CDKN3
150468,106,-1.79,0.21,8.89e-19,8.13e-17,CKAP2L
5328,772,0.736,0.0858,9.85e-19,8.96e-17,PLAU
3434,392,-0.95,0.111,1.08e-18,9.75e-17,IFIT1
8878,4540,0.578,0.0673,1.28e-18,1.16e-16,SQSTM1
23294,6050,-0.572,0.0668,1.53e-18,1.37e-16,ANKS1A
347252,445,-0.887,0.104,1.69e-18,1.51e-16,IGFBPL1
7272,105,-2,0.237,1.83e-18,1.62e-16,TTK
203068,15600,-0.522,0.0611,2.09e-18,1.85e-16,TUBB
10541,2360,-0.638,0.075,2.26e-18,1.98e-16,ANP32B
6092,412,-0.914,0.108,2.89e-18,2.52e-16,ROBO2
83461,139,-1.49,0.177,2.9e-18,2.52e-16,CDCA3
30845,2590,0.619,0.073,2.95e-18,2.55e-16,EHD3
1184,804,-0.729,0.0863,3.14e-18,2.7e-16,CLCN5
128553,842,-0.72,0.0853,3.14e-18,2.7e-16,TSHZ2
1296,216,-1.18,0.141,4.85e-18,4.14e-16,COL8A2
8325,716,0.794,0.0948,5.01e-18,4.25e-16,FZD8
163732,1060,0.864,0.103,5.5e-18,4.65e-16,CITED4
112268047,125,1.62,0.195,5.57e-18,4.69e-16,NA
2114,2880,0.598,0.0712,5.99e-18,5.02e-16,ETS2
84304,748,0.773,0.0925,6.13e-18,5.11e-16,NUDT22
10082,818,-0.913,0.11,7.93e-18,6.58e-16,GPC6
389792,304,1.05,0.127,8.66e-18,7.16e-16,IER5L
3832,143,-1.4,0.17,9.09e-18,7.47e-16,KIF11
100507118,86.1,-1.81,0.219,9.34e-18,7.65e-16,PRC1-AS1
107984338,785,0.92,0.111,9.68e-18,7.89e-16,NA
3679,620,0.897,0.109,1.31e-17,1.06e-15,ITGA7
81788,875,0.714,0.0863,1.38e-17,1.11e-15,NUAK2
5818,2590,0.61,0.0737,1.58e-17,1.27e-15,NECTIN1
50863,131,-1.51,0.184,1.61e-17,1.29e-15,NTM
25925,1100,-0.665,0.0806,1.91e-17,1.53e-15,ZNF521
84898,875,-0.777,0.0945,1.95e-17,1.55e-15,PLXDC2
7832,2160,0.594,0.072,2.19e-17,1.73e-15,BTG2
54769,111,-1.56,0.192,2.33e-17,1.83e-15,DIRAS2
104564225,4310,0.728,0.0888,2.63e-17,2.06e-15,NA
2037,488,-0.823,0.101,2.65e-17,2.07e-15,EPB41L2
285025,1160,0.692,0.0845,2.88e-17,2.23e-15,CCDC141
9497,809,0.805,0.0985,2.94e-17,2.27e-15,SLC4A7
1140,611,-0.778,0.0952,2.98e-17,2.29e-15,CHRNB1
53353,192,-1.24,0.152,3.02e-17,2.31e-15,LRP1B
1164,303,-1.01,0.124,3.15e-17,2.4e-15,CKS2
7803,1850,0.709,0.0868,3.28e-17,2.5e-15,PTP4A1
5430,6090,0.592,0.0723,3.36e-17,2.54e-15,POLR2A
1441,199,1.26,0.156,3.91e-17,2.95e-15,CSF3R
26586,459,-0.941,0.116,3.99e-17,2.99e-15,CKAP2
5608,237,-1.11,0.137,4.02e-17,3e-15,MAP2K6
23479,1290,0.61,0.0747,4.31e-17,3.21e-15,ISCU
26010,965,-0.65,0.0798,4.55e-17,3.37e-15,SPATS2L
84189,572,-1.11,0.138,4.77e-17,3.52e-15,SLITRK6
10460,277,-0.99,0.123,4.83e-17,3.54e-15,TACC3
3161,61,-2.33,0.289,4.83e-17,3.54e-15,HMMR
7045,11100,-0.465,0.0568,5.07e-17,3.7e-15,TGFBI
127687,1010,0.706,0.0871,5.75e-17,4.17e-15,C1orf122
387509,296,0.979,0.121,5.9e-17,4.27e-15,GPR153
1106,1840,-0.594,0.0731,6.13e-17,4.42e-15,CHD2
8817,825,0.76,0.0941,6.41e-17,4.6e-15,FGF18
51514,217,-1.11,0.138,7.34e-17,5.25e-15,DTL
84940,2130,0.67,0.083,7.69e-17,5.48e-15,CORO6
157313,123,-1.44,0.18,8.56e-17,6.07e-15,CDCA2
39,599,-0.743,0.0923,8.62e-17,6.09e-15,ACAT2
83543,961,-0.668,0.083,9.3e-17,6.54e-15,AIF1L
23397,154,-1.35,0.17,1.09e-16,7.66e-15,NCAPH
723790,450,0.951,0.119,1.1e-16,7.67e-15,H2AC19
51477,5630,0.638,0.0794,1.13e-16,7.86e-15,ISYNA1
827,759,0.7,0.0873,1.18e-16,8.18e-15,CAPN6
4879,490,0.859,0.108,1.6e-16,1.1e-14,NPPB
50937,1780,-0.589,0.0736,1.66e-16,1.14e-14,CDON
27063,1810,0.61,0.0763,1.84e-16,1.26e-14,ANKRD1
81606,4260,0.571,0.0715,2.13e-16,1.45e-14,LBH
101928841,257,1.05,0.133,2.31e-16,1.57e-14,NA
441631,224,1.05,0.134,2.57e-16,1.74e-14,TSPAN11
8337,457,0.939,0.119,2.72e-16,1.84e-14,H2AC18
84722,78.6,-1.9,0.242,3.08e-16,2.07e-14,PSRC1
10811,357,0.956,0.122,3.09e-16,2.07e-14,NOXA1
9427,447,0.821,0.104,3.17e-16,2.11e-14,ECEL1
29965,886,0.64,0.081,3.44e-16,2.29e-14,CDIP1
22987,494,0.773,0.0983,3.57e-16,2.36e-14,SV2C
9768,140,-1.34,0.172,3.63e-16,2.39e-14,PCLAF
5255,883,0.659,0.0836,3.73e-16,2.45e-14,PHKA1
53373,1360,0.609,0.0772,4.15e-16,2.72e-14,TPCN1
57804,557,0.757,0.0964,4.2e-16,2.74e-14,POLD4
6920,1810,-0.599,0.0764,6.01e-16,3.91e-14,TCEA3
10217,781,-0.671,0.0859,6.17e-16,4e-14,CTDSPL
9700,217,-1.1,0.142,6.61e-16,4.27e-14,ESPL1
10202,154,1.23,0.159,7.19e-16,4.63e-14,DHRS2
10376,11100,-0.482,0.0615,8.37e-16,5.37e-14,TUBA1B
57134,1080,0.618,0.0793,8.51e-16,5.43e-14,MAN1C1
9538,2890,0.546,0.0699,8.75e-16,5.57e-14,EI24
5616,266,0.955,0.124,8.97e-16,5.69e-14,NA
122704,480,0.768,0.0996,1.15e-15,7.25e-14,MRPL52
55603,1170,0.699,0.0906,1.34e-15,8.42e-14,TENT5A
220001,66.6,1.9,0.249,1.62e-15,1.01e-13,VWCE
26548,1800,0.553,0.0716,1.62e-15,1.01e-13,ITGB1BP2
146909,95.6,-1.55,0.204,1.66e-15,1.03e-13,KIF18B
147841,138,-1.31,0.171,1.76e-15,1.09e-13,SPC24
4172,1780,-0.529,0.0686,2.01e-15,1.24e-13,MCM3
79980,294,-0.935,0.123,2.22e-15,1.37e-13,DSN1
7052,12200,0.527,0.0685,2.28e-15,1.4e-13,TGM2
2199,515,0.826,0.109,2.35e-15,1.44e-13,FBLN2
81930,58.2,-2.13,0.282,2.55e-15,1.56e-13,KIF18A
80119,39.8,-2.75,0.362,2.66e-15,1.62e-13,PIF1
79144,1840,0.673,0.0882,2.75e-15,1.67e-13,PPDPF
3931,190,1.1,0.145,2.82e-15,1.71e-13,LCAT
43,129,1.37,0.182,3.28e-15,1.98e-13,ACHE
745,782,-0.708,0.0934,3.5e-15,2.1e-13,MYRF
3336,1370,-0.622,0.0819,3.84e-15,2.3e-13,HSPE1
283431,44.4,-2.45,0.325,3.99e-15,2.38e-13,GAS2L3
26353,5670,0.526,0.069,4.32e-15,2.57e-13,HSPB8
1312,351,-0.944,0.126,4.38e-15,2.6e-13,COMT
90417,351,-0.84,0.112,4.76e-15,2.81e-13,KNSTRN
23066,674,0.758,0.101,4.77e-15,2.81e-13,CAND2
4851,2500,0.689,0.0913,4.93e-15,2.89e-13,NOTCH1
1894,270,-1.06,0.141,4.94e-15,2.89e-13,ECT2
6482,3720,0.473,0.0621,4.95e-15,2.89e-13,ST3GAL1
1808,609,-0.692,0.0918,5.41e-15,3.14e-13,DPYSL2
9415,2510,-0.562,0.0742,5.42e-15,3.14e-13,FADS2
100131187,769,0.657,0.0874,6.44e-15,3.72e-13,TSTD1
26154,77.7,1.79,0.24,6.53e-15,3.76e-13,ABCA12
152273,729,-0.693,0.0928,8.77e-15,5.03e-13,FGD5
64129,1210,0.677,0.0906,9.06e-15,5.18e-13,TINAGL1
4240,2030,0.6,0.0802,9.1e-15,5.19e-13,MFGE8
23097,829,-0.628,0.084,9.38e-15,5.33e-13,CDK19
5264,765,0.701,0.094,9.48e-15,5.37e-13,PHYH
4953,2190,0.516,0.0688,1.06e-14,5.99e-13,ODC1
84617,3230,0.596,0.0797,1.07e-14,6.02e-13,TUBB6
3914,254,-0.96,0.13,1.14e-14,6.42e-13,LAMB3
79801,74,-1.75,0.238,1.21e-14,6.77e-13,SHCBP1
55466,1190,0.579,0.0778,1.37e-14,7.64e-13,DNAJA4
4436,783,-0.692,0.0935,1.37e-14,7.64e-13,MSH2
84876,442,0.771,0.104,1.44e-14,8e-13,ORAI1
11007,577,0.771,0.105,1.48e-14,8.19e-13,CCDC85B
3005,7660,0.468,0.0626,1.53e-14,8.41e-13,H1-0
100379251,389,0.794,0.108,1.54e-14,8.48e-13,NA
2621,2240,0.599,0.0807,1.61e-14,8.81e-13,GAS6
23089,6790,-0.442,0.0595,2.25e-14,1.23e-12,PEG10
442213,65.6,1.89,0.26,2.34e-14,1.27e-12,PTCHD4
92305,1340,0.609,0.0828,2.4e-14,1.3e-12,TMEM129
9144,2470,0.555,0.0754,2.86e-14,1.55e-12,SYNGR2
222962,1410,0.588,0.0802,3.06e-14,1.65e-12,SLC29A4
64084,404,0.775,0.107,3.23e-14,1.74e-12,CLSTN2
53836,402,0.774,0.107,3.64e-14,1.95e-12,GPR87
9080,1180,0.657,0.0901,3.73e-14,2e-12,CLDN9
79083,914,-0.683,0.0941,4.08e-14,2.17e-12,MLPH
8519,1170,0.586,0.0804,4.24e-14,2.25e-12,IFITM1
4625,33100,0.64,0.088,4.35e-14,2.3e-12,MYH7
493869,876,-0.643,0.0887,4.84e-14,2.56e-12,GPX8
163782,401,0.82,0.114,4.88e-14,2.57e-12,KANK4
50507,67.7,-1.78,0.248,4.98e-14,2.62e-12,NOX4
29089,228,-1.01,0.141,5.11e-14,2.68e-12,UBE2T
5834,6610,0.498,0.0684,5.87e-14,3.07e-12,PYGB
493,4320,-0.455,0.0625,6.65e-14,3.46e-12,ATP2B4
89932,241,0.921,0.129,7.16e-14,3.72e-12,PAPLN
152110,234,0.979,0.137,7.18e-14,3.72e-12,NEK10
1163,675,-0.668,0.0929,7.49e-14,3.87e-12,CKS1B
26147,550,-0.751,0.105,7.99e-14,4.11e-12,PHF19
284184,662,0.724,0.101,8.04e-14,4.12e-12,NDUFAF8
10763,6570,0.531,0.0735,8.04e-14,4.12e-12,NES
10160,3100,-0.467,0.0637,8.46e-14,4.32e-12,FARP1
105370966,228,0.956,0.134,8.54e-14,4.35e-12,NA
101928483,48.5,2.14,0.302,9.88e-14,5.01e-12,NA
340061,809,0.628,0.0877,9.9e-14,5.01e-12,STING1
81617,1160,-0.577,0.0806,1.18e-13,5.93e-12,CAB39L
102724571,37.5,2.67,0.378,1.2e-13,6.03e-12,NA
11346,932,0.609,0.0853,1.24e-13,6.23e-12,SYNPO
7980,159,1.1,0.156,1.25e-13,6.26e-12,TFPI2
633,176,1.07,0.151,1.26e-13,6.28e-12,BGN
410,606,0.708,0.0997,1.33e-13,6.62e-12,ARSA
9124,4110,0.433,0.0602,1.47e-13,7.31e-12,PDLIM1
91608,976,0.643,0.0907,1.6e-13,7.91e-12,RASL10B
729756,445,0.748,0.106,1.77e-13,8.75e-12,NA
8370,134,1.18,0.17,2.48e-13,1.22e-11,H4C14
1410,7900,0.49,0.0691,2.51e-13,1.23e-11,CRYAB
3383,186,1.01,0.145,2.7e-13,1.32e-11,ICAM1
83641,1050,-0.622,0.0887,2.98e-13,1.45e-11,FAM107B
3664,1900,-0.509,0.0721,2.99e-13,1.45e-11,IRF6
1263,276,0.861,0.124,3.4e-13,1.65e-11,PLK3
4176,1620,-0.524,0.0746,3.57e-13,1.73e-11,MCM7
56901,6820,0.565,0.0807,3.84e-13,1.86e-11,NDUFA4L2
9806,558,0.715,0.103,4.07e-13,1.96e-11,SPOCK2
23468,2670,-0.545,0.0781,4.37e-13,2.1e-11,CBX5
8824,1240,0.614,0.0884,4.75e-13,2.27e-11,CES2
4150,2290,-0.599,0.0861,4.75e-13,2.27e-11,MAZ
57214,759,-0.601,0.0865,4.91e-13,2.34e-11,CEMIP
54892,270,-0.847,0.123,4.95e-13,2.35e-11,NCAPG2
131583,240,0.906,0.132,5e-13,2.37e-11,FAM43A
84034,2820,0.463,0.0662,5.58e-13,2.64e-11,EMILIN2
80194,784,0.667,0.0966,5.63e-13,2.65e-11,TMEM134
729737,1230,0.61,0.0881,5.92e-13,2.78e-11,NA
6284,750,0.626,0.0906,5.97e-13,2.8e-11,S100A13
27344,156,1.11,0.162,6.53e-13,3.06e-11,PCSK1N
3149,767,-0.587,0.085,6.69e-13,3.12e-11,HMGB3
10769,3970,0.499,0.0719,7.05e-13,3.28e-11,PLK2
23204,1870,-0.663,0.0965,7.16e-13,3.32e-11,ARL6IP1
79006,332,0.906,0.133,8.47e-13,3.92e-11,METRN
79625,1290,-0.557,0.081,8.98e-13,4.15e-11,NDNF
2626,2450,0.496,0.0719,9.53e-13,4.39e-11,GATA4
3726,1440,0.662,0.097,9.54e-13,4.39e-11,JUNB
11322,1640,0.61,0.0893,1.03e-12,4.71e-11,TMC6
10570,870,0.628,0.092,1.07e-12,4.91e-11,DPYSL4
6707,143,-1.17,0.174,1.13e-12,5.17e-11,SPRR3
84958,827,0.633,0.093,1.23e-12,5.58e-11,SYTL1
123,2650,-0.501,0.0731,1.26e-12,5.73e-11,PLIN2
8836,188,-0.981,0.146,1.34e-12,6.08e-11,GGH
138716,742,0.635,0.0937,1.45e-12,6.57e-11,RPP25L
1294,2260,0.627,0.0927,1.62e-12,7.28e-11,COL7A1
55332,136,1.15,0.173,1.69e-12,7.58e-11,DRAM1
9928,48,-1.99,0.299,1.79e-12,8.04e-11,KIF14
151246,75.6,-1.58,0.239,1.96e-12,8.77e-11,SGO2
283463,40.4,2.23,0.335,2.05e-12,9.13e-11,MUC19
4301,5450,-0.428,0.0628,2.06e-12,9.18e-11,AFDN
646,223,-0.901,0.136,2.37e-12,1.05e-10,BNC1
1188,163,-1.09,0.165,2.69e-12,1.19e-10,CLCNKB
55531,551,-0.637,0.0952,2.73e-12,1.2e-10,ELMOD1
