ID,direction,Description,cam_FDR,fg_FDR,cam_stat,fg_NES
GO:0007283,Up,spermatogenesis,0.6932218599711389,0.8641592920353982,NA,1.288257246377325
GO:0045087,Up,innate immune response,0.6932218599711389,0.9446554015568636,NA,1.020973435718617
GO:0007264,Up,small GTPase-mediated signal transduction,0.6932218599711389,0.9446554015568636,NA,1.02620053792165
GO:0006357,Up,regulation of transcription by RNA polymerase II,0.6932218599711389,0.9446554015568636,NA,0.9917603311911544
GO:0042776,Up,proton motive force-driven mitochondrial ATP synthesis,0.6932218599711389,0.9446554015568636,NA,1.0181370472978586
GO:0072659,Up,protein localization to plasma membrane,0.6932218599711389,0.9824729891956784,NA,0.8367103961875451
GO:0009410,Up,response to xenobiotic stimulus,0.7708227884869439,0.8785341015677343,NA,1.1084442752124404
GO:0016192,Up,vesicle-mediated transport,0.7708227884869439,0.9824729891956784,NA,0.9010480375422332
GO:0008284,Up,positive regulation of cell population proliferation,0.8221927748884971,0.9824729891956784,NA,0.8186636529174224
GO:0008104,Up,protein localization,0.822567512987516,0.9824729891956784,NA,0.6383072359188775
GO:0002250,Up,adaptive immune response,0.822567512987516,0.9824729891956784,NA,0.9086632893132828
GO:0009615,Up,response to virus,0.8233849110717631,0.9824729891956784,NA,0.9437900028530396
GO:0015031,Up,protein transport,0.8233849110717631,0.9966329966329966,NA,0.6070571896951078
GO:0043410,Up,positive regulation of MAPK cascade,0.8486239644218265,0.9093155689266144,NA,1.068460407477874
GO:0010976,Up,positive regulation of neuron projection development,0.9034191418173588,0.9824729891956784,NA,0.8001126595426689
GO:0006979,Up,response to oxidative stress,0.9034191418173588,0.9966329966329966,NA,0.507048564736952
GO:0071456,Up,cellular response to hypoxia,0.963122892342642,0.8641592920353982,NA,1.2910533407007805
GO:0007155,Up,cell adhesion,0.963122892342642,0.9824729891956784,NA,0.7510266560760326
GO:0051301,Up,cell division,0.963122892342642,0.9824729891956784,NA,0.7148803324947952
GO:0001822,Up,kidney development,0.963122892342642,0.9824729891956784,NA,0.7221301344901156
