ID,Description,NGenes,Direction,PValue,FDR
WP322,Osteoblast signaling,11,Down,0.026013332826242797,0.19308865602984346
WP5078,T cell modulation and desmoplasia in pancreatic cancer,51,Down,0.026741628629593374,0.19470553317633565
WP3617,Photodynamic therapy induced NF kB survival signaling,34,Down,0.026772010811746152,0.19470553317633565
WP5039,SARS CoV 2 innate immunity evasion and cell specific immune response,63,Down,0.02727961731867314,0.19545872257685407
WP4523,Classical pathway of steroidogenesis with glucocorticoid and mineralocorticoid metabolism,11,Up,0.02741851525036425,0.19545872257685407
WP4494,Selective expression of chemokine receptors during T cell polarization,23,Down,0.028514201634417806,0.19973138360617418
WP4136,Fibrin complement receptor 3 signaling,38,Down,0.02857268404366103,0.19973138360617418
WP5300,TROP2 regulatory signaling,45,Down,0.029452546312433606,0.2020254746628005
WP1772,Apoptosis modulation and signaling,84,Down,0.02949011867451855,0.2020254746628005
WP5504,Disorders of mitochondrial homeostatis dynamics protein import and quality control,60,Down,0.02974263932535674,0.2020254746628005
WP2864,Apoptosis related network due to altered Notch3 in ovarian cancer,53,Down,0.030437300382586595,0.20439432065190785
WP4864,Host pathogen interaction of human coronaviruses apoptosis,21,Down,0.030902488620324575,0.20439432065190785
WP5376,17p13 3 YWHAE copy number variation,18,Down,0.031217699034891043,0.20439432065190785
WP4583,Biomarkers for urea cycle disorders,11,Up,0.031248297580531832,0.20439432065190785
WP4970,Galanin receptor pathway,14,Up,0.03151079110050246,0.20439432065190785
WP5269,Genetic causes of porto sinusoidal vascular disease,35,Down,0.03215827267314105,0.20496911278870975
WP5144,NRP1 triggered signaling in pancreatic cancer,52,Down,0.032294876381664034,0.20496911278870975
WP5342,Pathophysiological roles of DUX4 in FSHD1,11,Up,0.03246539141704661,0.20496911278870975
WP5088,Prostaglandin signaling,28,Down,0.03273812218153003,0.20496911278870975
WP5407,15q11q13 copy number variation,55,Up,0.03322010450174689,0.20502844890112448
WP5329,Cholesterol biosynthesis pathway in hepatocytes,41,Up,0.03331712294643273,0.20502844890112448
WP75,Toll like receptor signaling,79,Down,0.03625103152070468,0.2211927347026048
WP2371,Parkinson 39 s disease pathway,35,Down,0.03772291979968774,0.2271836180452101
WP2037,Prolactin signaling,73,Down,0.03786393634086835,0.2271836180452101
WP5095,Overview of proinflammatory and profibrotic mediators,73,Down,0.03904621281652292,0.23049456531068982
WP4753,Nucleotide excision repair,44,Down,0.03905602356653355,0.23049456531068982
WP4462,Platelet mediated interactions with vascular and circulating cells,17,Down,0.03985837320220191,0.23149371617852824
WP2865,IL1 and megakaryocytes in obesity,22,Down,0.04016185101413977,0.23149371617852824
