ID,Description,p.adjust,k,stability,selected,collection,consensus,keep_final,tier
WP2406,Cardiac progenitor differentiation,0.00730276997515698,11,0.985,TRUE,WP,FALSE,FALSE,Tier 2 (stable only)
WP2848,Pluripotent stem cell differentiation pathway,0.01157579699771016,9,0.98,TRUE,WP,FALSE,FALSE,Tier 2 (stable only)
WP2431,Spinal cord injury,0.01699746921389607,15,0.98,TRUE,WP,FALSE,FALSE,Tier 2 (stable only)
WP1591,Heart development,0.00236312624889572,11,0.97,TRUE,WP,FALSE,FALSE,Tier 2 (stable only)
WP2361,Gastric cancer network 1,0.00730276997515698,8,0.97,TRUE,WP,FALSE,FALSE,Tier 2 (stable only)
WP3617,Photodynamic therapy induced NF kB survival signaling,0.00841310623543139,8,0.97,TRUE,WP,FALSE,FALSE,Tier 2 (stable only)
WP4016,DNA IR damage and cellular response via ATR,0.02779239111656727,13,0.96,TRUE,WP,FALSE,FALSE,Tier 2 (stable only)
WP5117,Cohesin complex Cornelia de Lange syndrome,0.01785774559065514,8,0.955,TRUE,WP,FALSE,FALSE,Tier 2 (stable only)
WP2064,Neural crest differentiation,0.02779239111656727,13,0.955,TRUE,WP,FALSE,FALSE,Tier 2 (stable only)
WP1533,Vitamin B12 metabolism,0.01157579699771016,9,0.94,TRUE,WP,FALSE,FALSE,Tier 2 (stable only)
WP5055,Burn wound healing,0.03162746535604851,11,0.93,TRUE,WP,FALSE,FALSE,Tier 2 (stable only)
WP4136,Fibrin complement receptor 3 signaling,0.02312478054758086,8,0.905,TRUE,WP,FALSE,FALSE,Tier 2 (stable only)
GO:0002009,morphogenesis of an epithelium,0.00852887118105075,40,0.675,FALSE,GO,FALSE,FALSE,Not kept
GO:0000070,mitotic sister chromatid segregation,7.518378851431714e-10,31,0.645,FALSE,GO,FALSE,FALSE,Not kept
GO:0007596,blood coagulation,0.00370969944830456,23,0.615,FALSE,GO,TRUE,FALSE,Not kept
GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,0.04584881904069977,10,0.575,FALSE,GO,FALSE,FALSE,Not kept
GO:0035136,forelimb morphogenesis,0.00162033110068199,8,0.5,FALSE,GO,FALSE,FALSE,Not kept
GO:1902850,microtubule cytoskeleton organization involved in mitosis,3.747576591652182e-7,25,0.465,FALSE,GO,FALSE,FALSE,Not kept
GO:0030324,lung development,0.04151700003700425,19,0.43,FALSE,GO,FALSE,FALSE,Not kept
GO:0007088,regulation of mitotic nuclear division,3.747576591652182e-7,21,0.405,FALSE,GO,FALSE,FALSE,Not kept
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,0.02840330028986975,9,0.3,FALSE,GO,FALSE,FALSE,Not kept
GO:0030198,extracellular matrix organization,0.01181314500552307,23,0.21,FALSE,GO,FALSE,FALSE,Not kept
GO:0001525,angiogenesis,0.03440676950419871,38,0.2,FALSE,GO,FALSE,FALSE,Not kept
GO:0055008,cardiac muscle tissue morphogenesis,4.3789819335761086e-5,15,0.16,FALSE,GO,FALSE,FALSE,Not kept
GO:0009611,response to wounding,8.163047319182455e-4,45,0.15,FALSE,GO,FALSE,FALSE,Not kept
GO:0031032,actomyosin structure organization,0.00602360362165095,22,0.07,FALSE,GO,FALSE,FALSE,Not kept
GO:0009612,response to mechanical stimulus,5.540011746686861e-4,25,0.06,FALSE,GO,FALSE,FALSE,Not kept
GO:0060706,cell differentiation involved in embryonic placenta development,0.03231562889427814,5,0.035,FALSE,GO,FALSE,FALSE,Not kept
GO:0051781,positive regulation of cell division,0.04142506952583007,10,0.02,FALSE,GO,FALSE,FALSE,Not kept
GO:0006942,regulation of striated muscle contraction,0.02145965304012413,12,0.015,FALSE,GO,FALSE,FALSE,Not kept
GO:0007389,pattern specification process,0.00197004168662924,36,0.01,FALSE,GO,FALSE,FALSE,Not kept
