ID,Description,GeneRatio,BgRatio,p-value,adj. p-value
WP4970,Galanin receptor pathway,5/1363,12/6992,0.0659,0.279
WP5146,Lung pathology of COVID 19,5/1363,12/6992,0.0659,0.279
WP5238,Cholestasis,5/1363,12/6992,0.0659,0.279
WP5417,Cell lineage map for neuronal differentiation,26/1363,100/6992,0.0669,0.282
WP2795,Cardiac hypertrophic response,15/1363,52/6992,0.0673,0.282
WP2380,Brain derived neurotrophic factor BDNF signaling,33/1363,132/6992,0.0697,0.29
WP4659,Gastrin signaling,27/1363,105/6992,0.0706,0.292
WP2572,Primary focal segmental glomerulosclerosis FSGS ,17/1363,61/6992,0.0716,0.293
WP3680,Physico chemical features and toxicity associat...,17/1363,61/6992,0.0716,0.293
WP286,IL3 signaling,13/1363,44/6992,0.072,0.293
WP5420,ADHD and autism ASD pathways,72/1363,315/6992,0.0728,0.293
WP453,Inflammatory response pathway,6/1363,16/6992,0.0734,0.293
WP5172,Iron metabolism disorders,6/1363,16/6992,0.0734,0.293
WP185,Integrin mediated cell adhesion,24/1363,92/6992,0.0737,0.293
WP4331,Neovascularization processes,11/1363,36/6992,0.0761,0.296
WP4482,Vitamin D in inflammatory diseases,7/1363,20/6992,0.0771,0.296
WP4537,Hippo YAP signaling,7/1363,20/6992,0.0771,0.296
WP5422,IL19 signaling,7/1363,20/6992,0.0771,0.296
WP5530,MAPK signaling and ARTD family members,10/1363,32/6992,0.0776,0.296
WP4541,Hippo Merlin signaling dysregulation,27/1363,106/6992,0.0778,0.296
WP4868,Type I interferon induction and signaling durin...,9/1363,28/6992,0.0785,0.296
WP3869,Cannabinoid receptor signaling,8/1363,24/6992,0.0785,0.296
WP5036,Angiotensin II receptor type 1 pathway,8/1363,24/6992,0.0785,0.296
WP2272,Pathogenic Escherichia coli infection,14/1363,49/6992,0.0808,0.302
WP23,B cell receptor signaling,22/1363,84/6992,0.0812,0.302
WP3391,Senescence associated secretory phenotype SASP ,17/1363,62/6992,0.0815,0.302
WP2586,Aryl hydrocarbon receptor pathway,12/1363,41/6992,0.087,0.316
WP3624,Lung fibrosis,12/1363,41/6992,0.087,0.316
WP4148,Splicing factor NOVA regulated synaptic proteins,12/1363,41/6992,0.087,0.316
WP5300,TROP2 regulatory signaling,12/1363,41/6992,0.087,0.316
WP3679,Cell type dependent selectivity of CCK2R signaling,5/1363,13/6992,0.0904,0.325
WP5033,Genes associated with the development of rheuma...,5/1363,13/6992,0.0904,0.325
WP2203,Thymic stromal lymphopoietin TSLP signaling,10/1363,33/6992,0.0927,0.33
WP5490,Inhibition of GNAQ regulated signaling in uveal...,10/1363,33/6992,0.0927,0.33
WP3853,ERK pathway in Huntington 39 s disease,6/1363,17/6992,0.0954,0.335
WP3967,miR 509 3p alteration of YAP1 ECM axis,6/1363,17/6992,0.0954,0.335
WP4767,FGFR3 signaling in chondrocyte proliferation an...,8/1363,25/6992,0.0966,0.335
WP2583,T cell receptor and co stimulatory signaling,7/1363,21/6992,0.097,0.335
WP3286,Copper homeostasis,13/1363,46/6992,0.0971,0.335
WP395,IL4 signaling,13/1363,46/6992,0.0971,0.335
WP4565,Neural crest cell migration in cancer,11/1363,38/6992,0.105,0.361
WP3594,Circadian rhythm genes,39/1363,165/6992,0.106,0.361
WP481,Insulin signaling,37/1363,156/6992,0.108,0.368
WP673,ErbB signaling,22/1363,87/6992,0.11,0.369
WP236,Adipogenesis,27/1363,110/6992,0.112,0.369
WP2814,Mammary gland development puberty stage 2 of 4,4/1363,10/6992,0.112,0.369
WP3892,Development of pulmonary dendritic cells and ma...,4/1363,10/6992,0.112,0.369
WP5188,Retinol metabolism,4/1363,10/6992,0.112,0.369
WP5534,Visual cycle,4/1363,10/6992,0.112,0.369
WP2873,Aryl hydrocarbon receptor pathway,9/1363,30/6992,0.113,0.371
WP428,Wnt signaling,25/1363,101/6992,0.114,0.371
WP5367,Rubinstein Taybi syndrome 1,5/1363,14/6992,0.119,0.385
WP3599,Transcription factor regulation in adipogenesis,6/1363,18/6992,0.121,0.385
WP5181,Roles of ceramides in development of insulin re...,6/1363,18/6992,0.121,0.385
WP732,Serotonin receptor 2 and ELK SRF GATA4 signaling,6/1363,18/6992,0.121,0.385
WP5144,NRP1 triggered signaling in pancreatic cancer ,14/1363,52/6992,0.121,0.385
WP2636,Common pathways underlying drug addiction,11/1363,39/6992,0.122,0.388
WP4312,Rett syndrome,13/1363,48/6992,0.127,0.399
WP127,IL5 signaling,10/1363,35/6992,0.128,0.399
WP4564,Neural crest cell migration during development,10/1363,35/6992,0.128,0.399
WP5474,Catabolism of skeletal muscle in cachexia,10/1363,35/6992,0.128,0.399
WP3414,Initiation of transcription and translation elo...,9/1363,31/6992,0.133,0.412
WP5283,Chronic hyperglycemia impairment of neuron func...,9/1363,31/6992,0.133,0.412
WP2261,Glioblastoma signaling,20/1363,80/6992,0.135,0.415
WP195,IL1 signaling,14/1363,53/6992,0.136,0.415
WP5289,Axon guidance,18/1363,71/6992,0.136,0.415
WP4172,PI3K Akt signaling,59/1363,265/6992,0.14,0.425
WP4217,Ebola virus infection in host,27/1363,113/6992,0.143,0.429
WP5470,Effect of omega 3 PUFA on Huntington 39 s disea...,27/1363,113/6992,0.143,0.429
WP4961,STING pathway in Kawasaki like disease and COVI...,6/1363,19/6992,0.149,0.441
WP12,Osteoclast signaling,4/1363,11/6992,0.15,0.441
WP501,GPCRs class C metabotropic glutamate pheromone,4/1363,11/6992,0.15,0.441
WP5409,PAFAH1B1 copy number variation,4/1363,11/6992,0.15,0.441
WP5485,Post COVID neuroinflammation,4/1363,11/6992,0.15,0.441
WP4790,FGF23 signaling in hypophosphatemic rickets and...,5/1363,15/6992,0.151,0.441
WP5044,Kynurenine pathway and links to cell senescence,5/1363,15/6992,0.151,0.441
WP4155,Endometrial cancer,16/1363,63/6992,0.152,0.442
WP2263,Androgen receptor network in prostate cancer,24/1363,100/6992,0.154,0.446
WP4871,Kisspeptin kisspeptin receptor system in the ovary,9/1363,32/6992,0.155,0.448
WP5053,Development of ureteric derived collecting system,11/1363,41/6992,0.16,0.459
WP45,G1 to S cell cycle control,15/1363,59/6992,0.161,0.459
WP5122,Prostaglandin and leukotriene metabolism in sen...,8/1363,28/6992,0.163,0.465
WP3676,BDNF TrkB signaling,9/1363,33/6992,0.179,0.507
WP5373,Osteoarthritic chondrocyte hypertrophy,11/1363,42/6992,0.181,0.51
WP2857,Mesodermal commitment pathway,28/1363,121/6992,0.181,0.51
WP69,T cell receptor signaling,16/1363,65/6992,0.185,0.51
WP4963,p53 transcriptional gene network,19/1363,79/6992,0.186,0.51
WP3670,Interactions between LOXL4 and oxidative stress...,5/1363,16/6992,0.187,0.51
WP3678,Amplification and expansion of oncogenic pathwa...,5/1363,16/6992,0.187,0.51
WP4225,Pyrimidine metabolism and related diseases,5/1363,16/6992,0.187,0.51
WP4928,MAPK pathway in congenital thyroid cancer,5/1363,16/6992,0.187,0.51
WP516,Exercise and hypertrophy in skeletal muscle,5/1363,16/6992,0.187,0.51
WP5406,13q12 12 copy number variation,8/1363,29/6992,0.189,0.515
WP3893,Development and heterogeneity of the ILC family,4/1363,12/6992,0.192,0.52
WP3851,TLR4 signaling and tolerance,7/1363,25/6992,0.2,0.541
WP5236,Markers of kidney cell lineage,11/1363,43/6992,0.203,0.546
WP4205,MET in type 1 papillary renal cell carcinoma,14/1363,57/6992,0.208,0.556
WP5437,GNAQ pathways in port wine stain,6/1363,21/6992,0.212,0.566
WP15,Selenium micronutrient network,15/1363,62/6992,0.215,0.568
WP1530,miRNA regulation of DNA damage response,15/1363,62/6992,0.215,0.568
WP2526,PDGF pathway,10/1363,39/6992,0.216,0.569
WP5312,Metabolic pathways of fibroblasts,8/1363,30/6992,0.217,0.57
WP5372,Involvement of secretase in neurodegenerative d...,5/1363,17/6992,0.225,0.587
WP5434,Cancer pathways,90/1363,429/6992,0.229,0.587
WP2371,Parkinson 39 s disease pathway,9/1363,35/6992,0.23,0.587
WP2447,Amyotrophic lateral sclerosis ALS ,9/1363,35/6992,0.23,0.587
WP3942,PPAR signaling,9/1363,35/6992,0.23,0.587
WP4838,Regucalcin in proximal tubule epithelial kidney...,7/1363,26/6992,0.231,0.587
WP5527,NF kB signaling and ARTD family members,7/1363,26/6992,0.231,0.587
WP1772,Apoptosis modulation and signaling,18/1363,77/6992,0.231,0.587
WP1403,AMP activated protein kinase signaling,15/1363,63/6992,0.234,0.587
WP4222,Phosphodiesterases in neuronal function,12/1363,49/6992,0.235,0.587
WP5348,11p11 2 copy number variation syndrome ,12/1363,49/6992,0.235,0.587
WP2435,Quercetin and Nf kB AP 1 induced apoptosis,4/1363,13/6992,0.237,0.587
WP3958,GPR40 role in insulin secretion,4/1363,13/6992,0.237,0.587
WP4156,Biosynthesis and regeneration of tetrahydrobiop...,4/1363,13/6992,0.237,0.587
WP4947,Nitric oxide metabolism in cystic fibrosis,4/1363,13/6992,0.237,0.587
WP5061,Fatty acid transporters,4/1363,13/6992,0.237,0.587
WP2034,Leptin signaling,16/1363,68/6992,0.24,0.592
WP49,IL2 signaling,8/1363,31/6992,0.246,0.604
