GeneID,meanExpr,log2FC,log2FC SE,p-value,adj. p-value
GABRG3,303.832432963163,-1.02524004924637,0.339736113221105,0.000125451729653783,0.0148242127207554
CD44,274.838515615462,2.34900544642535,0.821340509624464,0.000126733348935406,0.0148263357735597
AEBP1,531.768034965319,2.04435267234601,0.705688366153967,0.000127212330920294,0.0148263357735597
IL4R,74.6681400339236,1.8707994634244,0.643544915741168,0.000129410407906866,0.0149799149724029
DHRS7,750.552836124395,0.791974055505926,0.257465644966852,0.000133024004395086,0.0152241176124247
TNFAIP3,46.5298472318959,1.58228369086782,0.541526763255085,0.000133309445477861,0.0152241176124247
ITPRIPL1,15.4065938747726,1.65701658505853,0.564764421953797,0.000135378319436927,0.0152625165342974
SLC7A2,374.31387591043,1.4538616281835,0.49853415832819,0.000136116017053627,0.0152625165342974
SLC1A5,80.1410802110243,2.77518919611849,0.982005387811623,0.000136336536977739,0.0152625165342974
KLK5,66.6871023154225,-1.25470865646872,0.429205920419881,0.000140474324357675,0.0155163932118752
RMRP,73.4535343335185,2.92446777084701,1.04536598202127,0.000141166024998821,0.0155163932118752
PRKX,164.581403932821,1.07917072119194,0.364473132198329,0.000141339971076672,0.0155163932118752
FPR1,97.7433566470893,3.11373681555316,1.11142524528221,0.000142928039328078,0.0155901507513242
PARD3,419.199119252916,1.44048575743453,0.497157501609588,0.000144347758827575,0.0156447227019746
SLC14A1,372.789697814548,2.46967911658295,0.882388255980959,0.000152426801668613,0.0163579471590988
FAM221A,119.16464595622,0.681128893715705,0.221012899283649,0.000153497086408234,0.0163579471590988
MAP2K3,156.680969016219,0.793291536012858,0.261347784878683,0.00015381238513492,0.0163579471590988
GADD45B,425.818081171045,2.3316370668105,0.831894299292328,0.000156329022088103,0.0165223269555973
C4orf50,458.21053795434,-1.21960109197839,0.422558891844112,0.000159103735601137,0.0167117849690676
FCGR1A,107.65125560532,2.55977791445877,0.921920552355727,0.000160770504807228,0.0167832571153361
GEM,111.737296095626,1.82313871217062,0.649369598290528,0.000162013137919304,0.0168098509441151
SYTL4,135.068589052281,1.67623839819783,0.594733709447147,0.000167539531052313,0.017189031530945
COL10A1,31.9267921216306,-2.16611612959084,0.764587114247382,0.000167688013289661,0.017189031530945
SLC44A5,81.5856986077456,-0.935102081929927,0.318164839374064,0.000169064392374363,0.0171996827647468
FMNL1,699.138103971884,-0.791074148929085,0.264140446354898,0.000169813511076484,0.0171996827647468
LOC105374235,59.7515751562162,-2.32752821109065,0.841931757034817,0.000172696107306489,0.0172897277209083
LINC01007,292.155743019002,-2.03377892316701,0.734336857643228,0.000172734703370617,0.0172897277209083
PROM1,82.5286300539708,-0.852358396711595,0.287560706559615,0.000175023165151404,0.0173404621060656
DNAJB1,5770.93144235181,2.59002835813953,0.941218410271398,0.000175279706290743,0.0173404621060656
RGS4,7789.61287422907,-1.25751330276467,0.440790994340862,0.000179966828166663,0.0176901446160569
OSBPL10,233.764890151752,-0.835437914687886,0.282131449974748,0.000181296106955504,0.0176901446160569
TMEM235,47.6756769398076,-2.11056833073034,0.767518611058124,0.000181933198625409,0.0176901446160569
STEAP3,31.4738112233185,1.06127597033705,0.369520341320639,0.000190900947675796,0.0182612079885031
IFITM2,415.600097181199,1.94576952961286,0.70686838512653,0.000190937626498681,0.0182612079885031
SPRN,429.76120492912,-0.97917612331049,0.338829053853211,0.000191025800537938,0.0182612079885031
TNFAIP8L1,494.69575071093,-0.736309619863181,0.247333323883228,0.000195343750968145,0.0185696607065584
GBP2,134.558008985026,2.30206164897146,0.850284507360458,0.000199664164811319,0.0187958077784905
CYP26B1,1041.76537592285,-1.7534025506781,0.640567071970684,0.000200793326851623,0.0187958077784905
VXN,3417.66642538885,-0.845671272476419,0.290255482460456,0.000201297385133003,0.0187958077784905
COL24A1,29.1834260544955,-1.47822013291339,0.524845275586994,0.000202141092117052,0.0187958077784905
ROBO3,136.265311881679,1.28539739957782,0.460606940578645,0.000204101353047893,0.0188064029779053
RNASET2,328.476444734702,1.01200002713106,0.35384347823829,0.000204827007728415,0.0188064029779053
RN7SK,439.920558776077,2.1490434042211,0.791362243652202,0.000205944718955661,0.0188064029779053
HMCN1,11.4947579410431,-1.57980190739525,0.551813880067473,0.00020667591424943,0.0188064029779053
EXOC6,489.574100326714,-0.944205590330551,0.330009511212904,0.000214460738691472,0.0194109783487983
NDP-AS1,51.3854698692336,0.902478750080996,0.315680168069373,0.000216950470126042,0.0195324296278557
RFLNB,252.668415125197,1.65090014124654,0.604048874549227,0.00022003990479735,0.0197063106317458
TYMP,52.2286948520938,2.59754948785629,0.973592312076258,0.000223801707014547,0.0199382714479557
OSCAR,17.8907718701825,1.82344480271668,0.671995382724483,0.000230472879424392,0.0204256589389867
RASGRF1,1917.20000302016,-1.42419714804527,0.52361956604342,0.000235075164750198,0.0207255906911366
LOC105369194,46.4930430207369,1.33897363956987,0.493031708424914,0.000237686966651896,0.0207469448623581
TRIM4,246.786659036207,0.898310567932144,0.316795497495984,0.000237755891405726,0.0207469448623581
KBTBD11-AS1,41.5495071066198,1.36245154570781,0.50238831632236,0.000239580114052267,0.020799465411803
ADRA1D,84.5961331754726,-1.56392537163874,0.583025897627489,0.000261582631826287,0.0225566189588599
PAK5,649.397839322571,-0.962693157907977,0.345965433285416,0.000262471236122135,0.0225566189588599
YBX3,313.872636393289,2.04831607752771,0.783418964426667,0.000269095072074339,0.0230096570171706
LOC107986924,207.194863359228,-0.658471053340316,0.225158356356972,0.000270588441189475,0.0230216645764005
LOC105378179,780.063944588734,2.4180919268314,0.935906891986335,0.000277927857196229,0.0235251432710174
SLC8A3,367.531590101718,-0.699322250962326,0.24274926366213,0.000279838875007818,0.0235251432710174
SLC24A2,2094.52053852387,-0.993545164962232,0.365276904898566,0.000280653742596176,0.0235251432710174
CALHM1,51.764433958916,-1.54024314977336,0.576007446051571,0.000282966279463479,0.0236027167223067
LRRC3,33.0499687529883,1.31329906592498,0.491976903663943,0.000285170141358927,0.0236705128066512
MPZL2,36.8510413029656,2.60888621920661,1.02278979869954,0.000287852510200697,0.0237593448304854
SPATA2L,222.337932781728,-0.984995739628241,0.358719049793565,0.000289173741756412,0.0237593448304854
MTHFD2,147.022983013962,2.02969361560844,0.783947477370013,0.000290429226888867,0.0237593448304854
