,GSM3673216,GSM3673217,GSM3673218,GSM3673219,GSM3673220,GSM3673221,GSM3673222,GSM3673223
CDK11B,8.87884819059224,8.95761530198706,8.94366193592295,8.82506065840674,9.05609848708078,9.17262577699952,8.79804501336243,9.16943380110883
SLC35E2B,10.9333002878193,10.1710467712677,10.9105625924631,10.8595108617049,9.7223919072659,9.96642245177943,10.4398718747652,10.2282907138177
CDK11A,7.80450047186324,7.94658634609634,7.83582236181847,7.5512870314978,8.29792777999275,8.14300802671398,7.56821632719045,7.9822606251236
SLC35E2A,9.97369009856172,9.7200455727175,9.98237298772792,9.80181747731964,9.09332785447385,9.26504850507526,10.042934454177,9.30166429689716
LOC112268218,5.20352014181174,5.56277038098053,5.15895546172874,5.22959289836615,5.41768644092667,5.0175503054157,4.88368722587985,5.36694661926685
NADK,8.60494204271421,8.41962620931427,8.71836324583407,8.59264087730581,8.55729410097696,8.36714463340178,8.46810097855806,8.7151364599674
GNB1,13.7205193814461,13.3436280903323,13.9520077539322,13.9170054582856,14.0661873908408,13.6680715957531,13.7583218945891,13.5284618026958
GNB1-DT,3.60911025442874,4.33235615463751,3.89636144263707,3.77638341257868,4.57107261924,4.29758093246055,3.99455794929769,4.4281900671307
TMEM52,3.31644071025173,4.54448138134436,5.08707861811958,3.85763963908231,3.30085832980782,4.89948435834395,3.39329532483877,4.4281900671307
CFAP74,5.67350095488434,4.63988963017841,5.52811822868344,5.69517579853331,4.71699352655062,5.1612971098268,4.22157392165191,4.75785918108077
LOC105378589,5.46977237241888,4.44231396377339,6.22488029433082,5.80168104947945,5.57909229367096,5.32291830086367,5.23535632864694,4.53031069819684
GABRD,10.4494900551583,8.84700125361571,10.9235181953631,11.1897668339138,9.62636885668819,10.3564137899545,9.90872147940889,9.95060898543831
PRKCZ,11.3525551437049,10.9519557143647,11.4786931177207,11.6074669010658,11.3162701227178,10.8642923174735,11.1031966232838,11.0596194917733
PRKCZ-AS1,2.45444395050939,4.44231396377339,0.901635624653858,3.02595768826835,3.77083158176266,4.29758093246055,3.39329532483877,4.06964344136764
FAAP20,9.0532575314606,9.84793368683359,9.41840050798476,9.49560642578902,9.75443932251951,9.05328637565494,9.33567166346283,9.28350019121755
LOC112268219,5.14382087388778,4.54448138134436,5.29278333136106,4.9983182084907,4.91145455689145,4.02428565551477,4.22157392165191,4.53031069819684
SKI,10.6652252763022,10.2861205257513,10.525820478243,10.2494442651982,10.9746682686399,10.496869910758,10.7655371430944,10.6430275102787
MORN1,5.54092679237338,4.44231396377339,5.92847959577432,5.6272819397977,5.13566064771983,5.44032623895506,5.07021064271533,5.57241627917797
LOC100129534,4.29799176308166,3.78276411547263,4.12890977303811,5.37468162236772,3.47508737307233,4.41698528783423,3.5686741892616,3.38884940126985
RER1,9.73916287817189,10.0676022717491,9.7106828431057,9.7889276645848,10.2045494254478,9.81838050909519,9.58308692450614,10.0114690360029
PEX10,8.23828560322122,9.14816004486668,8.68831551721044,8.47846347169007,9.01788289364981,9.21649412280468,8.60523409017449,8.95894966628634
PLCH2,9.92796725764424,8.43300771322046,9.65117565276023,9.55162477045531,9.07652441590608,8.40012793255113,8.13330124212426,8.82972384208098
