Gene ID,Mean Expr,log2FC,log2FC SE,p-value,adj. p-value,Gene Symbol,Entrez Gene ID
ENSG00000169432,239,0.331,0.142,0.00281,0.0176,SCN9A,6335
ENSG00000106009,242,-0.339,0.147,0.00281,0.0176,BRAT1,221927
ENSG00000143061,3060,0.179,0.0653,0.00281,0.0176,IGSF3,3321
ENSG00000184939,1170,0.173,0.063,0.00282,0.0176,ZFP90,146198
ENSG00000168385,17000,-0.095,0.0333,0.00283,0.0176,SEPTIN2,4735
ENSG00000161944,5.44,1.89,1.13,0.00283,NA,ASGR2,433
ENSG00000180964,1420,0.181,0.067,0.00283,0.0177,TCEAL8,90843
ENSG00000175105,718,0.238,0.0926,0.00284,0.0177,ZNF654,55279
ENSG00000167105,152,0.369,0.165,0.00285,0.0177,TMEM92,162461
ENSG00000169126,92.6,-0.45,0.217,0.00285,0.0177,ODAD2,55130
ENSG00000006007,2110,0.133,0.0469,0.00285,0.0177,GDE1,51573
ENSG00000011485,1300,-0.177,0.0647,0.00286,0.0178,PPP5C,5536
ENSG00000197536,43.4,-0.582,0.308,0.00286,0.0178,NA,NA
ENSG00000210195,6.81,1.9,1.09,0.00287,NA,NA,NA
ENSG00000155744,689,0.252,0.0998,0.00287,0.0178,HYCC2,285172
ENSG00000164932,122,-0.418,0.197,0.00287,0.0178,CTHRC1,115908
ENSG00000159459,1370,0.166,0.06,0.00287,0.0178,UBR1,197131
ENSG00000157193,600,-0.24,0.0935,0.00287,0.0178,LRP8,7804
ENSG00000087448,2140,0.153,0.0545,0.00287,0.0178,KLHL42,57542
ENSG00000205670,185,0.447,0.216,0.00288,0.0179,SMIM11; LOC102723553,54065; 102723553
ENSG00000109854,249,0.333,0.144,0.00288,0.0179,HTATIP2,10553
ENSG00000129810,188,-0.344,0.151,0.00288,0.0179,SGO1,151648
ENSG00000099246,2920,0.181,0.0662,0.00289,0.0179,RAB18,22931
ENSG00000156697,516,-0.22,0.0839,0.00289,0.0179,UTP14A,10813
ENSG00000121879,1310,0.201,0.0754,0.00289,0.0179,PIK3CA,5290
ENSG00000154134,131,-0.427,0.203,0.00291,0.018,ROBO3,64221
ENSG00000072657,49.3,0.629,0.345,0.00291,0.018,TRHDE,29953
ENSG00000137507,424,0.295,0.122,0.00291,0.018,LRRC32,2615
ENSG00000249614,336,0.315,0.133,0.00292,0.018,LINC02503,105377349
ENSG00000088538,168,0.369,0.167,0.00292,0.018,DOCK3,1795
ENSG00000198755,7930,-0.127,0.0446,0.00293,0.0181,RPL10A,4736
ENSG00000163930,1180,-0.195,0.073,0.00294,0.0181,BAP1,8314
ENSG00000138399,536,0.239,0.0934,0.00294,0.0182,FASTKD1,79675
ENSG00000293170,19.2,0.937,0.561,0.00294,0.0182,NA,NA
ENSG00000073282,19,0.915,0.55,0.00294,NA,TP63,8626
ENSG00000137770,1420,-0.164,0.0594,0.00294,0.0182,CTDSPL2,51496
ENSG00000107130,3120,-0.132,0.0466,0.00295,0.0182,NCS1,23413
ENSG00000145794,336,-0.294,0.122,0.00295,0.0182,MEGF10,84466
ENSG00000117318,694,-0.208,0.0786,0.00295,0.0182,ID3,3399
ENSG00000153885,1060,-0.186,0.0688,0.00297,0.0183,KCTD15,79047
ENSG00000182400,755,0.222,0.0854,0.00298,0.0183,TRAPPC6B,122553
ENSG00000187951,94,-0.704,0.409,0.00299,0.0184,LOC100288637,100288637
ENSG00000214706,378,-0.264,0.106,0.00299,0.0184,IFRD2,7866
ENSG00000178882,148,-0.413,0.196,0.003,0.0184,RFLNA; ZNF664-RFLNA,144347; 100533183
ENSG00000100300,286,-0.315,0.135,0.003,0.0184,TSPO,706
ENSG00000148082,705,-0.275,0.113,0.003,0.0185,SHC3,53358
ENSG00000147394,920,0.19,0.0712,0.00301,0.0185,ZNF185,7739
ENSG00000164532,153,0.822,0.506,0.00302,0.0185,TBX20,57057
ENSG00000145907,6940,-0.152,0.0546,0.00302,0.0185,G3BP1,10146
ENSG00000116497,901,0.191,0.0716,0.00302,0.0185,S100PBP,64766
ENSG00000140259,789,0.194,0.0726,0.00302,0.0185,MFAP1,4236
ENSG00000055118,138,0.593,0.323,0.00302,0.0185,KCNH2,3757
ENSG00000224078,10600,0.129,0.0452,0.00303,0.0186,NA,NA
ENSG00000262877,59.4,-0.566,0.302,0.00304,0.0186,NA,NA
ENSG00000100413,594,-0.205,0.0774,0.00305,0.0187,POLR3H,171568
ENSG00000073350,254,0.315,0.135,0.00305,0.0187,LLGL2,3993
ENSG00000233928,129,0.462,0.229,0.00306,0.0187,NA,NA
ENSG00000177030,570,-0.234,0.0913,0.00307,0.0188,DEAF1,10522
ENSG00000109320,663,-0.198,0.0742,0.00308,0.0188,NFKB1,4790
ENSG00000141569,440,-0.246,0.0979,0.00308,0.0188,TRIM65,201292
ENSG00000146411,117,0.43,0.208,0.00308,0.0189,SLC2A12,154091
ENSG00000115421,505,0.223,0.0863,0.00309,0.0189,PAPOLG,64895
ENSG00000104219,1130,0.216,0.0827,0.00309,0.0189,ZDHHC2,51201
ENSG00000271605,104,-0.429,0.207,0.00311,0.019,MILR1,284021
ENSG00000131981,586,0.233,0.091,0.00311,0.019,LGALS3,3958
ENSG00000165443,17.5,0.992,0.632,0.00311,NA,PHYHIPL,84457
ENSG00000118900,1880,-0.147,0.0525,0.00312,0.0191,UBN1,29855
ENSG00000114686,1840,-0.169,0.0621,0.00313,0.0191,MRPL3,11222
ENSG00000155975,1120,0.2,0.0755,0.00313,0.0191,VPS37A,137492
ENSG00000166313,779,-0.213,0.0814,0.00315,0.0192,APBB1,322
ENSG00000120594,1820,0.174,0.0643,0.00315,0.0192,PLXDC2,84898
ENSG00000159256,1020,0.208,0.0802,0.00315,0.0192,MORC3,23515
ENSG00000101938,91.6,0.449,0.221,0.00316,0.0193,CHRDL1,91851
ENSG00000135655,1550,0.153,0.0554,0.00316,0.0193,USP15,9958
ENSG00000184281,267,-0.298,0.126,0.00318,0.0193,TSSC4,10078
ENSG00000100350,273,-0.29,0.122,0.00319,0.0194,FOXRED2,80020
ENSG00000159251,18100,0.736,0.446,0.0032,0.0195,ACTC1,70
ENSG00000110108,677,-0.234,0.0922,0.00321,0.0195,TMEM109,79073
ENSG00000180233,116,0.468,0.235,0.00321,0.0195,ZNRF2,223082
ENSG00000130962,855,0.215,0.0828,0.00323,0.0196,PRRG1,5638
ENSG00000244187,429,0.278,0.115,0.00323,0.0196,TMEM141,85014
ENSG00000126215,134,-0.384,0.179,0.00324,0.0196,XRCC3,7517
ENSG00000141349,726,-0.202,0.0774,0.00325,0.0197,G6PC3,92579
ENSG00000132964,700,0.215,0.0831,0.00325,0.0197,CDK8,1024
ENSG00000253958,21.7,0.928,0.593,0.00325,0.0197,CLDN23,137075
ENSG00000108559,810,-0.187,0.0699,0.00327,0.0198,NUP88,4927
ENSG00000302127,2910,0.363,0.166,0.00327,0.0198,NA,NA
ENSG00000137818,7210,-0.138,0.0494,0.00327,0.0198,RPLP1,6176
ENSG00000177459,38.4,0.615,0.345,0.00328,0.0198,ERICH5,203111
ENSG00000077232,6230,0.137,0.049,0.00328,0.0198,DNAJC10,54431
ENSG00000198931,541,-0.258,0.105,0.00328,0.0198,APRT,353
ENSG00000099937,14.1,1.05,0.667,0.00328,NA,SERPIND1,3053
ENSG00000165071,51.2,0.832,0.532,0.00329,0.0199,TMEM71,137835
ENSG00000114251,3570,0.136,0.0484,0.0033,0.02,WNT5A,7474
ENSG00000105953,1590,0.183,0.0687,0.00333,0.0201,OGDH,4967
ENSG00000180035,599,-0.213,0.0824,0.00334,0.0202,ZNF48,197407
ENSG00000167861,115,0.428,0.21,0.00335,0.0203,HID1,283987
ENSG00000260577,31.5,0.728,0.438,0.00336,0.0203,CDH3-AS1,123706523
ENSG00000168488,2800,-0.126,0.0448,0.00337,0.0203,ATXN2L,11273
ENSG00000171714,160,0.435,0.215,0.00339,0.0205,ANO5; LOC102723370,203859; 102723370
ENSG00000105723,1190,-0.179,0.0669,0.0034,0.0205,GSK3A,2931
ENSG00000107341,3090,-0.128,0.0459,0.0034,0.0205,UBE2R2,54926
ENSG00000136982,130,-0.376,0.176,0.0034,0.0205,DSCC1,79075
ENSG00000088205,2570,-0.119,0.0425,0.00341,0.0205,DDX18,8886
ENSG00000134853,1110,0.197,0.0747,0.00341,0.0205,PDGFRA,5156
ENSG00000267041,279,-0.282,0.119,0.00342,0.0206,ZNF850,342892
ENSG00000205189,1130,0.23,0.0911,0.00342,0.0206,ZBTB10,65986
ENSG00000276116,29.7,0.702,0.42,0.00342,0.0206,NA,NA
ENSG00000164975,1430,0.174,0.0647,0.00343,0.0206,SNAPC3,6619
ENSG00000113163,1020,0.188,0.0713,0.00343,0.0207,CERT1,10087
ENSG00000149131,1120,-0.183,0.069,0.00346,0.0208,SERPING1,710
ENSG00000164488,31.7,0.782,0.492,0.00347,0.0209,DACT2,168002
ENSG00000163975,479,0.26,0.107,0.00348,0.0209,MELTF,4241
ENSG00000257379,53.6,-0.118,0.23,0.00348,0.0209,NA,NA
ENSG00000140365,354,-0.28,0.118,0.0035,0.021,COMMD4,54939
ENSG00000117155,764,0.202,0.0777,0.00351,0.021,SSX2IP,117178
ENSG00000115268,3520,-0.182,0.0688,0.00352,0.0211,RPS15,6209
ENSG00000068323,1260,-0.168,0.0623,0.00352,0.0211,TFE3,7030
ENSG00000135052,3310,-0.125,0.0445,0.00353,0.0211,GOLM1,51280
ENSG00000172757,15900,-0.124,0.0447,0.00354,0.0212,CFL1,1072
ENSG00000176490,250,-0.301,0.13,0.00355,0.0212,DIRAS1,148252
ENSG00000172667,5380,0.187,0.0709,0.00355,0.0213,ZMAT3,64393
ENSG00000142875,1630,0.181,0.0679,0.00355,0.0213,PRKACB,5567
ENSG00000145191,642,-0.204,0.0788,0.00356,0.0213,EIF2B5,8893
ENSG00000005483,2260,0.15,0.055,0.00358,0.0214,KMT2E,55904
ENSG00000176887,3210,-0.166,0.0618,0.00358,0.0214,SOX11,6664
ENSG00000150510,55.9,-0.526,0.288,0.00358,0.0214,FAM124A,220108
ENSG00000076716,6450,-0.12,0.043,0.00359,0.0214,GPC4,2239
ENSG00000023445,57.4,0.515,0.278,0.00359,0.0215,BIRC3,330
ENSG00000160870,8.24,2.05,1.73,0.0036,NA,CYP3A7,1551
ENSG00000308991,36.1,0.666,0.399,0.00361,0.0215,NA,NA
ENSG00000104388,3690,0.16,0.0593,0.00361,0.0215,RAB2A,5862
ENSG00000167930,1290,-0.168,0.0625,0.00361,0.0215,FAM234A,83986
ENSG00000196236,842,0.228,0.0905,0.00361,0.0215,XPNPEP3,63929
ENSG00000131873,2870,-0.12,0.043,0.00361,0.0215,CHSY1,22856
ENSG00000175206,1410,0.621,0.372,0.00362,0.0215,NPPA,4878
ENSG00000175093,166,-0.346,0.162,0.00362,0.0215,SPSB4,92369
ENSG00000013016,1060,0.279,0.118,0.00363,0.0216,EHD3,30845
ENSG00000156983,566,-0.219,0.0865,0.00364,0.0216,BRPF1,7862
ENSG00000185739,37.3,1.5,1.34,0.00364,0.0216,SRL,6345
ENSG00000167996,20600,-0.116,0.0415,0.00364,0.0216,FTH1,2495
ENSG00000134317,39.5,0.635,0.376,0.00364,0.0217,GRHL1,29841
ENSG00000133019,71.9,0.46,0.237,0.00365,0.0217,CHRM3,1131
ENSG00000143786,244,-0.311,0.137,0.00365,0.0217,CNIH3,149111
ENSG00000141560,391,-0.261,0.109,0.00365,0.0217,FN3KRP,79672
ENSG00000073169,135,-0.37,0.175,0.00366,0.0217,SELENOO,83642
ENSG00000119630,118,-0.457,0.236,0.00366,0.0217,PGF,5228
ENSG00000136908,359,-0.261,0.108,0.00366,0.0217,DPM2,8818
ENSG00000164880,1510,-0.186,0.071,0.00366,0.0217,INTS1,26173
ENSG00000160007,3540,-0.117,0.0421,0.00367,0.0218,ARHGAP35,2909
ENSG00000135968,1890,0.217,0.0855,0.00368,0.0218,GCC2,9648
ENSG00000080709,194,0.429,0.217,0.00368,0.0218,KCNN2,3781
ENSG00000219438,144,-0.384,0.185,0.00369,0.0219,TAFA5,25817
ENSG00000148297,641,-0.216,0.0851,0.00369,0.0219,MED22,6837
ENSG00000116209,2910,0.126,0.0455,0.0037,0.0219,TMEM59,9528
ENSG00000130528,216,0.994,0.743,0.0037,0.0219,HRC,3270
ENSG00000158321,2180,-0.156,0.0578,0.0037,0.0219,AUTS2,26053
ENSG00000148484,2670,-0.137,0.0497,0.00371,0.0219,RSU1,6251
ENSG00000128185,237,-0.292,0.126,0.00372,0.022,DGCR6L,85359
ENSG00000171631,61.6,0.489,0.26,0.00375,0.0221,P2RY6,5031
ENSG00000105928,731,0.2,0.0775,0.00376,0.0222,GSDME,1687
ENSG00000112186,1940,0.204,0.0794,0.00376,0.0222,CAP2,10486
ENSG00000067955,1750,0.19,0.0729,0.00376,0.0222,CBFB,865
ENSG00000176340,823,-0.229,0.0916,0.00378,0.0223,COX8A,1351
ENSG00000141985,1350,-0.214,0.084,0.00378,0.0223,SH3GL1,6455
ENSG00000185432,104,0.456,0.237,0.00378,0.0223,TMT1A,25840
ENSG00000283265,35.9,0.632,0.379,0.00378,0.0223,NA,NA
ENSG00000167232,947,0.238,0.0964,0.00379,0.0224,ZNF91,7644
ENSG00000178409,252,-0.311,0.138,0.0038,0.0224,BEND3,57673
ENSG00000241186,89.1,0.48,0.255,0.00381,0.0224,CRIPTO,6997
ENSG00000117528,1440,0.18,0.0684,0.00384,0.0226,ABCD3,5825
ENSG00000145687,916,-0.187,0.0723,0.00385,0.0226,SSBP2,23635
ENSG00000168883,997,-0.165,0.062,0.00386,0.0227,USP39,10713
ENSG00000151553,1090,0.208,0.0816,0.00386,0.0227,FHIP2A,57700
ENSG00000204628,16700,-0.131,0.0476,0.00386,0.0227,RACK1,10399
ENSG00000064225,203,0.427,0.217,0.00389,0.0228,ST3GAL6,10402
ENSG00000125304,5160,0.119,0.043,0.00389,0.0229,TM9SF2,9375
ENSG00000126698,2150,-0.123,0.0446,0.00391,0.023,DNAJC8,22826
ENSG00000138764,1110,0.219,0.087,0.00391,0.023,CCNG2,901
ENSG00000132406,324,-0.266,0.112,0.00392,0.023,TMEM128,85013
ENSG00000169857,344,0.284,0.122,0.00392,0.023,AVEN,57099
ENSG00000143801,361,0.248,0.102,0.00392,0.023,PSEN2,5664
ENSG00000187772,821,-0.199,0.0777,0.00393,0.0231,LIN28B,389421
ENSG00000152223,1350,0.147,0.0547,0.00395,0.0231,EPG5,57724
ENSG00000115944,2080,0.137,0.0503,0.00395,0.0231,COX7A2L,9167
ENSG00000145908,539,-0.23,0.0933,0.00396,0.0232,ZNF300,91975
ENSG00000172765,1010,0.161,0.0601,0.00396,0.0232,TMCC1,23023
ENSG00000166963,4230,0.12,0.0437,0.00397,0.0232,MAP1A,4130
ENSG00000103363,1280,-0.194,0.0754,0.00397,0.0232,ELOB,6923
ENSG00000112175,537,0.742,0.5,0.00398,0.0233,BMP5,653
ENSG00000044090,1100,-0.176,0.067,0.00398,0.0233,CUL7,9820
ENSG00000047346,749,0.194,0.0755,0.00399,0.0233,ATOSA,56204
ENSG00000257259,80.5,-0.427,0.219,0.004,0.0233,LINC02388,101927653
ENSG00000290399,118,0.409,0.205,0.004,0.0233,NA,NA
ENSG00000204442,173,-0.33,0.151,0.004,0.0234,NALF1,728215
ENSG00000256269,318,-0.254,0.106,0.004,0.0234,HMBS,3145
ENSG00000130226,183,-0.337,0.155,0.00401,0.0234,DPP6,1804
ENSG00000258441,1640,-0.142,0.0525,0.00401,0.0234,LINC00641,283624
ENSG00000158286,141,0.533,0.304,0.00401,0.0234,RNF207,388591
ENSG00000115993,2440,0.135,0.0495,0.00401,0.0234,TRAK2,66008
ENSG00000213949,4030,0.151,0.0565,0.00403,0.0235,ITGA1,3672
ENSG00000155816,102,-0.447,0.236,0.00403,0.0235,FMN2,56776
ENSG00000133265,276,-0.272,0.116,0.00403,0.0235,HSPBP1,23640
ENSG00000230423,14.3,1.18,0.916,0.00404,NA,LOC101929692,101929692
ENSG00000079739,877,0.203,0.0802,0.00405,0.0236,PGM1,5236
ENSG00000136122,198,-0.309,0.138,0.00405,0.0236,BORA,79866
ENSG00000014123,1140,0.207,0.0817,0.00406,0.0236,UFL1,23376
ENSG00000137713,1090,0.158,0.059,0.00406,0.0236,PPP2R1B,5519
ENSG00000270124,8.56,-0.156,0.291,0.00408,NA,GSE1-AS1,138842269
ENSG00000179832,375,0.253,0.105,0.00408,0.0237,MROH1,727957
ENSG00000070669,4590,-0.159,0.0596,0.00409,0.0238,ASNS,440
ENSG00000165724,369,-0.268,0.114,0.00409,0.0238,ZMYND19,116225
ENSG00000204217,8090,0.184,0.0708,0.0041,0.0238,BMPR2,659
ENSG00000136883,15.4,0.933,0.667,0.0041,NA,KIF12,113220
ENSG00000151135,3840,0.194,0.0753,0.0041,0.0238,TMEM263,90488
ENSG00000111737,1070,-0.167,0.0634,0.00412,0.0239,RAB35,11021
ENSG00000289089,189,0.85,0.636,0.00413,0.0239,NA,NA
ENSG00000089177,342,0.256,0.108,0.00413,0.024,KIF16B,55614
ENSG00000124767,3840,-0.113,0.041,0.00414,0.024,GLO1,2739
ENSG00000126254,651,-0.21,0.0833,0.00414,0.024,RBM42,79171
ENSG00000008282,1410,0.177,0.0679,0.00414,0.024,SYPL1,6856
ENSG00000116962,3420,0.122,0.0441,0.00414,0.024,NID1,4811
ENSG00000290871,2650,0.17,0.0647,0.00415,0.024,GTF2IP1,2970
ENSG00000138138,2120,0.141,0.0521,0.00415,0.024,ATAD1,84896
ENSG00000071655,788,-0.194,0.0758,0.00415,0.024,MBD3,53615
ENSG00000198363,4010,0.142,0.0525,0.00416,0.0241,ASPH,444
ENSG00000110711,398,-0.232,0.095,0.00416,0.0241,AIP,9049
ENSG00000102225,1940,-0.17,0.0646,0.00417,0.0241,CDK16,5127
ENSG00000135069,6210,-0.141,0.0527,0.00419,0.0242,PSAT1,29968
ENSG00000120318,487,-0.216,0.0867,0.00419,0.0242,ARAP3,64411
ENSG00000216490,16.2,1.15,0.894,0.0042,NA,IFI30,10437
ENSG00000145864,107,0.546,0.321,0.0042,0.0242,GABRB2,2561
ENSG00000118640,281,0.287,0.126,0.00422,0.0243,VAMP8,8673
ENSG00000165349,60.6,-0.51,0.289,0.00422,0.0244,SLC7A3,84889
ENSG00000120733,2820,-0.116,0.0423,0.00422,0.0244,KDM3B,51780
ENSG00000204634,115,0.474,0.258,0.00423,0.0244,TBC1D8,11138
ENSG00000082701,4270,0.113,0.0409,0.00423,0.0244,GSK3B,2932
ENSG00000170561,280,-0.3,0.134,0.00425,0.0245,IRX2,153572
ENSG00000138780,442,-0.243,0.101,0.00425,0.0245,GSTCD,79807
ENSG00000153294,222,0.365,0.176,0.00426,0.0245,ADGRF4,221393
ENSG00000256417,46.2,0.56,0.332,0.00428,0.0246,NA,NA
ENSG00000149541,376,-0.3,0.134,0.00428,0.0246,B3GAT3,26229
ENSG00000299897,115,-0.386,0.194,0.00429,0.0246,NA,NA
ENSG00000060688,698,-0.2,0.0786,0.00429,0.0247,SNRNP40,9410
ENSG00000099860,1910,-0.172,0.0659,0.00429,0.0247,GADD45B,4616
ENSG00000090776,678,-0.233,0.0965,0.0043,0.0247,EFNB1,1947
ENSG00000075624,155000,-0.134,0.0493,0.0043,0.0247,ACTB,60
ENSG00000279118,150,-0.334,0.156,0.0043,0.0247,NA,NA
ENSG00000173933,1810,-0.146,0.0544,0.00431,0.0247,RBM4,5936
ENSG00000196465,896,-0.184,0.0716,0.00431,0.0247,MYL6B,140465
ENSG00000116128,1310,-0.147,0.0552,0.00432,0.0247,BCL9,607
ENSG00000152128,37.6,0.828,0.612,0.00432,0.0248,TMEM163,81615
ENSG00000076826,98.8,0.415,0.214,0.00433,0.0248,CAMSAP3,57662
ENSG00000187210,206,0.336,0.158,0.00434,0.0249,GCNT1,2650
ENSG00000142207,955,-0.177,0.0674,0.00434,0.0249,URB1,9875
ENSG00000180190,560,0.219,0.0891,0.00435,0.0249,TDRP,157695
ENSG00000133706,5740,-0.112,0.0405,0.00436,0.0249,LARS1,51520
ENSG00000101460,212,-0.337,0.159,0.00436,0.0249,MAP1LC3A,84557
ENSG00000157911,381,-0.3,0.135,0.00436,0.0249,PEX10,5192
ENSG00000013561,1500,0.146,0.0543,0.00436,0.0249,RNF14,9604
ENSG00000185298,470,-0.239,0.0992,0.00437,0.025,CCDC137,339230
ENSG00000134809,176,-0.322,0.149,0.00438,0.025,TIMM10,26519
ENSG00000228933,25.8,0.758,0.527,0.00439,0.0251,NA,NA
ENSG00000115844,77.4,-0.437,0.233,0.0044,0.0251,DLX2,1746
ENSG00000136240,7610,0.117,0.043,0.0044,0.0251,KDELR2,11014
ENSG00000157870,330,-0.274,0.119,0.0044,0.0251,PRXL2B,127281
ENSG00000198812,74.8,1.2,1.32,0.0044,0.0251,LRRC10,376132
ENSG00000177469,10600,0.113,0.0411,0.00441,0.0252,CAVIN1,284119
ENSG00000151773,169,0.324,0.151,0.00442,0.0252,CCDC122,160857
ENSG00000120992,2020,0.238,0.0985,0.00442,0.0252,LYPLA1,10434
ENSG00000070526,65.8,-0.509,0.294,0.00442,0.0252,ST6GALNAC1,55808
ENSG00000179632,804,-0.211,0.0849,0.00443,0.0252,MAF1,84232
ENSG00000011405,3350,0.178,0.0688,0.00444,0.0253,PIK3C2A,5286
ENSG00000183508,114,0.424,0.223,0.00446,0.0254,TENT5C,54855
ENSG00000138448,37700,0.166,0.0653,0.00447,0.0254,ITGAV,3685
ENSG00000179454,521,0.29,0.129,0.00448,0.0255,KLHL28,54813
ENSG00000116809,274,-0.274,0.119,0.00449,0.0255,ZBTB17,7709
ENSG00000122574,57.6,0.509,0.295,0.00451,0.0256,WIPF3,644150
ENSG00000196878,51.8,0.544,0.326,0.00451,0.0256,LAMB3,3914
ENSG00000154027,153,-0.318,0.148,0.00452,0.0256,AK5,26289
ENSG00000106993,338,0.251,0.106,0.00452,0.0256,CDC37L1,55664
ENSG00000186298,3890,-0.123,0.0454,0.00453,0.0257,PPP1CC,5501
ENSG00000137693,5050,0.137,0.051,0.00453,0.0257,YAP1,10413
ENSG00000234132,29.4,-0.641,0.42,0.00454,0.0258,LOC101929305,101929305
ENSG00000078098,41.3,0.647,0.418,0.00456,0.0259,FAP,2191
ENSG00000130479,422,-0.273,0.12,0.00456,0.0259,MAP1S,55201
ENSG00000066777,2120,0.148,0.0556,0.00458,0.0259,ARFGEF1,10565
ENSG00000259494,237,-0.285,0.127,0.00458,0.026,MRPL46,26589
ENSG00000073849,1100,0.202,0.0808,0.00459,0.026,ST6GAL1,6480
ENSG00000184916,200,0.322,0.15,0.00462,0.0262,JAG2,3714
ENSG00000205683,163,0.475,0.27,0.00463,0.0262,DPF3,8110
ENSG00000232590,8.6,0.0929,0.201,0.00463,NA,NA,NA
ENSG00000122965,747,-0.182,0.0712,0.00463,0.0262,RBM19,9904
ENSG00000291233,527,0.63,0.421,0.00464,0.0262,LOC653513,653513
ENSG00000115042,404,-0.24,0.101,0.00466,0.0263,FAHD2A,51011
ENSG00000151834,670,0.248,0.105,0.00466,0.0263,GABRA2,2555
ENSG00000129128,6310,0.178,0.0693,0.00468,0.0264,SPCS3,60559
ENSG00000176788,4550,-0.144,0.0546,0.00469,0.0265,BASP1,10409
ENSG00000102606,1620,-0.148,0.0557,0.00469,0.0265,ARHGEF7,8874
ENSG00000183048,95.8,-0.445,0.245,0.00469,0.0265,SLC25A10,1468
ENSG00000187240,1050,-0.198,0.0785,0.0047,0.0265,DYNC2H1,79659
ENSG00000137871,374,-0.262,0.114,0.00472,0.0266,ZNF280D,54816
ENSG00000247199,809,0.248,0.105,0.00472,0.0266,FBXO38-DT; LOC124901185,102546294; 124901185
ENSG00000100162,69,-0.493,0.287,0.00473,0.0266,CENPM,79019
ENSG00000198053,1210,0.212,0.0865,0.00474,0.0267,SIRPA,140885
ENSG00000144747,1760,0.189,0.0745,0.00475,0.0267,TMF1,7110
ENSG00000163734,27.5,-0.749,0.55,0.00475,0.0267,CXCL3,2921
ENSG00000135218,86.7,-0.454,0.252,0.00475,0.0268,CD36,948
ENSG00000167674,1580,-0.17,0.0655,0.00476,0.0268,HDGFL2,84717
ENSG00000180891,811,-0.187,0.0737,0.00476,0.0268,CUEDC1,404093
ENSG00000116455,777,-0.21,0.0851,0.00477,0.0268,WDR77,79084
ENSG00000168090,1300,-0.165,0.0638,0.00478,0.0268,COPS6,10980
ENSG00000256664,369,0.282,0.126,0.00478,0.0269,NA,NA
ENSG00000172403,527,0.312,0.145,0.00481,0.027,SYNPO2,171024
ENSG00000144802,953,-0.197,0.0789,0.00483,0.0271,NFKBIZ,64332
ENSG00000079335,161,0.354,0.175,0.00484,0.0271,CDC14A,8556
ENSG00000076924,478,-0.24,0.102,0.00484,0.0271,XAB2,56949
ENSG00000124831,2990,0.132,0.0492,0.00485,0.0272,LRRFIP1,9208
ENSG00000100994,3910,0.145,0.0549,0.00486,0.0272,PYGB,5834
ENSG00000112874,286,0.296,0.135,0.00486,0.0272,NUDT12,83594
ENSG00000155229,1450,-0.164,0.0632,0.00487,0.0273,MMS19,64210
ENSG00000166228,473,0.227,0.0939,0.00487,0.0273,PCBD1,5092
ENSG00000167460,33900,-0.099,0.0359,0.00487,0.0273,TPM4,7171
ENSG00000103522,40.9,-0.54,0.335,0.00487,0.0273,IL21R,50615
ENSG00000114854,1520,0.805,0.668,0.00488,0.0273,TNNC1,7134
ENSG00000135750,66.5,0.478,0.275,0.00488,0.0273,KCNK1,3775
ENSG00000152782,280,0.267,0.117,0.0049,0.0274,PANK1,53354
ENSG00000151012,3560,-0.277,0.124,0.0049,0.0274,SLC7A11,23657
ENSG00000159147,462,-0.21,0.0856,0.00491,0.0274,DONSON,29980
ENSG00000227014,15.7,-0.862,0.673,0.00492,NA,NA,NA
ENSG00000305702,18.8,-0.845,0.669,0.00492,NA,LINC02998,102467080
ENSG00000170571,1140,0.217,0.09,0.00492,0.0275,EMB,133418
ENSG00000184432,8340,0.0946,0.0344,0.00493,0.0275,COPB2,9276
ENSG00000259030,44.4,0.595,0.391,0.00494,0.0276,FPGT-TNNI3K,100526835
ENSG00000037241,488,-0.239,0.102,0.00495,0.0276,RPL26L1,51121
ENSG00000062822,257,-0.305,0.141,0.00495,0.0276,POLD1,5424
ENSG00000122779,3440,0.136,0.0518,0.00496,0.0276,TRIM24,8805
ENSG00000150637,131,-0.35,0.172,0.00496,0.0277,CD226,10666
ENSG00000284672,12,1.25,1.18,0.00496,NA,NA,NA
ENSG00000131381,1120,-0.154,0.0591,0.00498,0.0277,RBSN,64145
ENSG00000185361,293,-0.261,0.114,0.00498,0.0277,TNFAIP8L1,126282
ENSG00000213963,250,0.297,0.136,0.00499,0.0278,LOC100130691,100130691
ENSG00000151332,355,0.248,0.106,0.00499,0.0278,MBIP,51562
ENSG00000101333,679,0.228,0.0955,0.005,0.0278,PLCB4,5332
ENSG00000106290,882,-0.175,0.0691,0.005,0.0278,TAF6,6878
ENSG00000167720,394,-0.232,0.0977,0.00502,0.0279,SRR,63826
ENSG00000140829,1110,-0.162,0.0632,0.00502,0.0279,DHX38,9785
ENSG00000158887,17.9,0.861,0.739,0.00505,NA,MPZ,4359
ENSG00000198842,101,0.886,0.852,0.00505,0.0281,STYXL2,92235
ENSG00000139880,258,-0.281,0.127,0.00505,0.0281,CDH24,64403
ENSG00000005001,8.64,1.38,1.43,0.00506,NA,PRSS22,64063
ENSG00000129625,2440,0.138,0.0522,0.00507,0.0281,REEP5,7905
ENSG00000177853,1060,0.193,0.0774,0.00507,0.0282,ZNF518A,9849
ENSG00000162618,968,-0.228,0.0964,0.00508,0.0282,ADGRL4,64123
