"original_id","symbol","mapped"
"6195","RPS6KA1",TRUE
"101928728","LOC101928728",TRUE
"8289","ARID1A",TRUE
"55650","PIGV",TRUE
"84243","ZDHHC18",TRUE
"54707","GPN2",TRUE
"63906","GPATCH3",TRUE
"10726","NUDC",TRUE
"388610","TRNP1",TRUE
"115572","TENT5B",TRUE
"101928391","LOC101928391",TRUE
"6548","SLC9A1",TRUE
"23038","WDTC1",TRUE
"84065","TMEM222",TRUE
"644961","ACTG1P20",TRUE
"84958","SYTL1",TRUE
"9064","MAP3K6",TRUE
"2827","GPR3",TRUE
"10163","WASF2",TRUE
"105376892","LOC105376892",TRUE
"27245","AHDC1",TRUE
"2537","IFI6",TRUE
"199870","FAM76A",TRUE
"23673","STX12",TRUE
"5511","PPP1R8",TRUE
"677774","SCARNA1",TRUE
"9473","THEMIS2",TRUE
"6118","RPA2",TRUE
"55113","XKR8",TRUE
"2140","EYA3",TRUE
"5724","PTAFR",TRUE
"22826","DNAJC8",TRUE
"93974","ATP5IF1",TRUE
"83667","SESN2",TRUE
"54797","MED18",TRUE
"65979","PHACTR4",TRUE
"1104","RCC1",TRUE
"8420","SNHG3",TRUE
"6080","SNORA73A",TRUE
"26768","SNORA73B",TRUE
"54952","TRNAU1AP",TRUE
"85028","SNHG12",TRUE
"692212","SNORD99",TRUE
"677838","SNORA61",TRUE
"677825","SNORA44",TRUE
"692073","SNORA16A",TRUE
"6883","TAF12",TRUE
"105378616","TAF12-DT",TRUE
"10691","GMEB1",TRUE
"51441","YTHDF2",TRUE
"4985","OPRD1",TRUE
"2035","EPB41",TRUE
"399474","TMEM200B",TRUE
"6429","SRSF4",TRUE
"51102","MECR",TRUE
"10076","PTPRU",TRUE
"4146","MATN1",TRUE
"100129196","MATN1-AS1",TRUE
"7805","LAPTM5",TRUE
"105378622","LINC01778",TRUE
"9672","SDC3",TRUE
"9698","PUM1",TRUE
"692234","SNORD103A",TRUE
"692235","SNORD103B",TRUE
"79570","NKAIN1",TRUE
"9410","SNRNP40",TRUE
"51538","ZCCHC17",TRUE
"2170","FABP3",TRUE
"347735","SERINC2",TRUE
"3061","HCRTR1",TRUE
"553115","PEF1",TRUE
"107985471","PEF1-AS1",TRUE
"1307","COL16A1",TRUE
"576","ADGRB2",TRUE
"90853","SPOCD1",TRUE
"8073","PTP4A2",TRUE
"10657","KHDRBS1",TRUE
"55116","TMEM39B",TRUE
"23633","KPNA6",TRUE
"200081","TXLNA",TRUE
"79140","CCDC28B",TRUE
"56063","TMEM234",TRUE
"55721","IQCC",TRUE
"149069","DCDC2B",TRUE
"8668","EIF3I",TRUE
"339483","MTMR9LP",TRUE
"3065","HDAC1",TRUE
"65108","MARCKSL1",TRUE
"105378629","LOC105378629",TRUE
"81629","TSSK3",TRUE
"55108","BSDC1",TRUE
"728116","ZBTB8B",TRUE
"653121","ZBTB8A",TRUE
"339487","ZBTB8OS",TRUE
"5928","RBBP4",TRUE
"81493","SYNC",TRUE
"57648","NHSL3",TRUE
"8565","YARS1",TRUE
"64766","S100PBP",TRUE
"252995","FNDC5",TRUE
"3208","HPCA",TRUE
"113452","TMEM54",TRUE
"127544","RNF19B",TRUE
"204","AK2",TRUE
"113451","AZIN2",TRUE
"112268224",NA,FALSE
"55223","TRIM62",TRUE
"149076","ZNF362",TRUE
"127550","A3GALT2",TRUE
"1912","PHC2",TRUE
"100500853","MIR3605",TRUE
"7579","ZSCAN20",TRUE
"113444","SMIM12",TRUE
"58512","DLGAP3",TRUE
"653160","GPR199P",TRUE
"100506144","TMEM35B",TRUE
"9204","ZMYM6",TRUE
"79830","ZMYM1",TRUE
"6421","SFPQ",TRUE
"9202","ZMYM4",TRUE
"100861513","ZMYM4-AS1",TRUE
"79932","KIAA0319L",TRUE
"23154","NCDN",TRUE
"339488","TFAP2E",TRUE
"105378645","TFAP2E-AS1",TRUE
"5690","PSMB2",TRUE
"127703","C1orf216",TRUE
"63967","CLSPN",TRUE
"192670","AGO4",TRUE
"26523","AGO1",TRUE
"192669","AGO3",TRUE
"27285","TEKT2",TRUE
"54936","ADPRS",TRUE
"1296","COL8A2",TRUE
"27095","TRAPPC3",TRUE
"55700","MAP7D1",TRUE
"9967","THRAP3",TRUE
"79729","SH3D21",TRUE
"55194","EVA1B",TRUE
"83931","STK40",TRUE
"84967","LSM10",TRUE
"127700","OSCP1",TRUE
"64960","MRPS15",TRUE
"2899","GRIK3",TRUE
"80149","ZC3H12A",TRUE
"64769","MEAF6",TRUE
"100847010","MIR5581",TRUE
"105378649","LOC105378649",TRUE
"79753","SNIP1",TRUE
"7802","DNALI1",TRUE
"29889","GNL2",TRUE
"54955","AIRIM",TRUE
"55143","CDCA8",TRUE
"149175","MANEAL",TRUE
"79693","YRDC",TRUE
"127687","C1orf122",TRUE
"4520","MTF1",TRUE
"3633","INPP5B",TRUE
"105378651","LOC105378651",TRUE
"10946","SF3A3",TRUE
"2275","FHL3",TRUE
"51118","UTP11",TRUE
"64121","RRAGC",TRUE
"100527950","GJA9-MYCBP",TRUE
"26292","MYCBP",TRUE
"81025","GJA9",TRUE
"54933","RHBDL2",TRUE
"105378662","LOC105378662",TRUE
"79647","AKIRIN1",TRUE
"4725","NDUFS5",TRUE
"23499","MACF1",TRUE
"643314",NA,FALSE
"353500","BMP8A",TRUE
"728448","PPIEL",TRUE
"8761","PABPC4",TRUE
"101929516","PABPC4-AS1",TRUE
"677834","SNORA55",TRUE
"26508","HEYL",TRUE
