ID,Description,NGenes,Direction,PValue,FDR
WP5490,Inhibition of GNAQ regulated signaling in uveal melanoma,33,Up,0.05750434309791336,0.4970274137693725
WP5501,GNAQ p R183Q drives capillary malformation,24,Up,0.06021161476725977,0.4970274137693725
WP5461,Primary ovarian insufficiency,113,Up,0.06041718500373514,0.4970274137693725
WP4156,Biosynthesis and regeneration of tetrahydrobiopterin and catabolism of phenylalanine,12,Up,0.060419597320855896,0.4970274137693725
WP5475,Hallmark of cancer sustaining proliferative signaling,94,Down,0.06088960443249563,0.4970274137693725
WP5037,Riboflavin and CoQ disorders,13,Down,0.06166461124329122,0.4970274137693725
WP5504,Disorders of mitochondrial homeostatis dynamics protein import and quality control,60,Down,0.06294272195319452,0.4970274137693725
WP5331,Autophagy in pancreatic ductal adenocarcinoma,20,Down,0.06358249994952225,0.4970274137693725
WP5113,Antiviral and anti inflammatory effects of Nrf2 on SARS CoV 2 pathway,25,Down,0.0638085669298843,0.4970274137693725
WP4148,Splicing factor NOVA regulated synaptic proteins,34,Up,0.06422827973128702,0.4970274137693725
WP1591,Heart development,43,Down,0.06440355220673559,0.4970274137693725
WP4961,STING pathway in Kawasaki like disease and COVID 19,17,Down,0.0657942155155231,0.4998150167422227
WP5055,Burn wound healing,60,Down,0.06617269235742103,0.4998150167422227
WP3995,Prion disease pathway,29,Up,0.06816589021175631,0.5048003754120323
WP2507,Nanomaterial induced apoptosis,18,Down,0.0682546986472607,0.5048003754120323
WP722,Serotonin HTR1 group and FOS pathway,34,Up,0.07016402260632092,0.5122873126289113
WP5101,Congenital generalized lipodystrophy,17,Down,0.07071007977131451,0.5122873126289113
WP5108,Familial hyperlipidemia type 1,14,Down,0.07209609860242347,0.5149221590364389
WP4628,Aerobic glycolysis augmented,13,Down,0.07334294335029648,0.5149221590364389
WP4532,Intraflagellar transport proteins binding to dynein,26,Up,0.0757185932724211,0.5149221590364389
WP5236,Markers of kidney cell lineage,46,Down,0.07581982549721704,0.5149221590364389
WP5088,Prostaglandin signaling,16,Down,0.07647704098844409,0.5149221590364389
WP183,Proteasome degradation,59,Down,0.07753097973858489,0.5149221590364389
WP3892,Development of pulmonary dendritic cells and macrophage subsets,10,Down,0.07764099980682841,0.5149221590364389
WP411,mRNA processing,125,Up,0.07795255002099993,0.5149221590364389
WP4259,Disorders of folate metabolism and transport,19,Up,0.07824073731790876,0.5149221590364389
WP15,Selenium micronutrient network,73,Down,0.07832618757174,0.5149221590364389
WP5312,Metabolic pathways of fibroblasts,31,Up,0.08028971101003815,0.5199280538767607
WP5289,Axon guidance,70,Up,0.08055223369921645,0.5199280538767607
WP4534,Mechanoregulation and pathology of YAP TAZ via Hippo and non Hippo mechanisms,42,Up,0.08255818309856548,0.5242082481983148
WP5234,Bardet Biedl syndrome,85,Up,0.08269200534959333,0.5242082481983148
WP5368,Sulfatase and aromatase pathway,12,Down,0.08454712728503452,0.5291374689783849
WP3896,Dengue 2 interactions with complement and coagulation cascades,44,Down,0.08540673153208109,0.5291374689783849
WP5112,Familial hyperlipidemia type 5,12,Down,0.0858779130943106,0.5291374689783849
WP2848,Pluripotent stem cell differentiation pathway,36,Down,0.08645062873449669,0.5291374689783849
WP5329,Cholesterol biosynthesis pathway in hepatocytes,40,Up,0.08861157591488342,0.5377283666629677
WP3617,Photodynamic therapy induced NF kB survival signaling,27,Down,0.09050510393921678,0.542656142339635
WP5502,16p13 11 copy number variation syndrome,29,Up,0.09095222667382614,0.542656142339635
WP1584,Type II diabetes mellitus,16,Down,0.09262909175021326,0.5450741798067417
WP3878,ATM signaling in development and disease,47,Up,0.09289292360086723,0.5450741798067417
WP4856,Intracellular trafficking proteins involved in CMT neuropathy,27,Down,0.09472060176365302,0.5512428463294561
WP5528,JAK STAT signaling and ARTD family members,14,Up,0.09637267959020643,0.5556436496616668
WP4788,Autosomal recessive osteopetrosis pathways,10,Down,0.09704198951837562,0.5556436496616668
WP5146,Lung pathology of COVID 19,12,Down,0.10157136916930924,0.5577644948962779
WP1772,Apoptosis modulation and signaling,82,Down,0.10161837190118048,0.5577644948962779
WP5176,Disorders of bile acid synthesis and biliary transport,19,Up,0.10164873288917373,0.5577644948962779
WP5318,Female steroid hormones in cardiomyocyte energy metabolism,14,Down,0.10265609031666215,0.5577644948962779
WP2882,Nuclear receptors meta pathway,249,Down,0.10277370952217019,0.5577644948962779
WP4656,Joubert syndrome,75,Up,0.10283652143396993,0.5577644948962779
WP4950,16p11 2 distal deletion syndrome,30,Down,0.10336437032972923,0.5577644948962779
WP5095,Overview of proinflammatory and profibrotic mediators,33,Down,0.10369706102296997,0.5577644948962779
WP272,Blood clotting cascade,16,Down,0.10597094747803174,0.5626958922725942
WP4815,Glycosaminoglycan degradation,16,Down,0.10619894304863046,0.5626958922725942
WP4318,Mitochondrial fission and fusion,12,Down,0.1107877924450794,0.5817750493310483
WP3851,TLR4 signaling and tolerance,23,Down,0.11143860099862334,0.5817750493310483
WP4236,Krebs cycle disorders,12,Down,0.11384421351147206,0.5899955590740523
WP4842,Mammalian disorder of sexual development,20,Up,0.11722751635216574,0.6024103412925612
WP554,ACE inhibitor pathway,10,Down,0.11793667245023381,0.6024103412925612
WP4921,Mitochondrial complex III assembly,16,Down,0.1208623924701343,0.6093402311675793
WP534,Glycolysis and gluconeogenesis,36,Down,0.12100982055581502,0.6093402311675793
WP2911,miRNA targets in ECM and membrane receptors,22,Down,0.12268937479428786,0.61168301964628
WP3651,Pathways affected in adenoid cystic carcinoma,60,Up,0.12319812930903949,0.61168301964628
WP2873,Aryl hydrocarbon receptor pathway,32,Down,0.12474571933295844,0.6141346476330652
WP1971,Integrated cancer pathway,44,Up,0.12694213530974321,0.6141346476330652
WP4863,Host pathogen interaction of human coronaviruses autophagy,19,Down,0.12749259926018522,0.6141346476330652
WP2267,Synaptic vesicle pathway,41,Down,0.12810193308778742,0.6141346476330652
WP2839,Hair follicle development organogenesis stage 2 of 3,31,Down,0.12832957874438183,0.6141346476330652
WP5046,NAD metabolism in oncogene induced senescence and mitochondrial dysfunction associated senescence,21,Down,0.12917275005994397,0.6141346476330652
WP1539,Angiogenesis,24,Up,0.1308059085618082,0.6141346476330652
WP2453,TCA cycle and deficiency of pyruvate dehydrogenase complex PDHc,15,Down,0.13122302159314309,0.6141346476330652
WP58,Monoamine GPCRs,18,Down,0.13147671329609284,0.6141346476330652
WP4657,22q11 2 copy number variation syndrome,102,Down,0.13316092510866445,0.6179363191317109
WP558,Complement and coagulation cascades,43,Down,0.13497208133311955,0.618309618958976
WP4760,PKC gamma calcium signaling in ataxia,19,Up,0.13550932135849153,0.618309618958976
WP4923,Autophagy,29,Down,0.1358539444473243,0.618309618958976
