ID,NES,pval,padj,size,leadingEdge
GO:0030218,-1.6916321600119617,0.004508372438461856,0.06393885113264655,33,TAL1;LYN;HCLS1;SLC1A5;SMAD5;RPS19;THRA;KCNQ1;RPS14;MFHAS1;IKZF1;INHBA;STAT5B;PKNOX1;EPAS1;HSPA9;SLC25A5;JAK2
GO:0051092,-1.6409815160467633,0.004554397912954986,0.06400493555534449,79,IL18R1;IL18;TRIM25;CLU;ROR1;MYD88;TLR4;PRKD2;S100A9;TRIM5;RPS3;RELA;HSPA1B;IRAK3;TLR2;AGT;HSPA1A;RIPK1;RIPK2;LGALS9;CFLAR;PYCARD;PRKD1;BTK;RBCK1
GO:0007528,1.8336412418438826,0.004641626198329025,0.06457684982100051,22,AGRN;CACNA1S;P2RX2;CACNA2D2;ANK3;NEDD4L;LRRK2;ALS2;CACNB4;DCTN1
GO:2000463,1.800131599934424,0.004665247705699657,0.06457684982100051,30,RIMS1;RGS4;STX1A;GRIN2A;NLGN1;APP;BAIAP2;PRKAR1B;GRIA1;GRIN2B;NRXN1;GRIN1;RIMS2;PRKCZ
GO:1903779,1.9638426554279251,0.004771708467132226,0.06555757677604797,12,SLC8A3;ATP2B2;ATP2B1;TRPC1;ATP2A2;ATP2B3;SLC8A1;EHD3
GO:0019233,1.75979300620683,0.004865636487370188,0.06572315405456486,26,PTGES;CHRNA4;TRPA1;GRIN2A;KCNA2;CDK5;OPRL1;NPY1R;TAC1;CHRNB2;KCND2;P2RX7;PNOC
GO:0001817,-1.7473666556186658,0.004890859372881796,0.06572315405456486,20,MAP2K3;BCL6;LYN;PATZ1;PLAGL1;BTN3A1;LITAF;IQGAP1;F11R;GPAM;CASP8;CD276;ZBTB17
GO:0006952,-1.7416204183550985,0.004862321042289993,0.06572315405456486,39,KCNN4;STAT5A;DUOX1;IL17RB;STAT3;TAP1;CSF3R;RNASE6;WAS;HSF1;HLA-B;INHBA;CST3;STAT5B;CYBB;NOD1;HP;P2RY11;COLEC12;INHBB;ACKR1;TNIP1
GO:0070102,-1.8136035535888413,0.005021179010662603,0.06698543883065111,12,YAP1;IL6ST;SMAD4;STAT3;SPI1;IL6R;JAK1;JAK2
GO:0015012,1.823744860314619,0.005097812978964417,0.06751851578614022,15,EXTL1;EXTL2;GLCE;XYLT1;EXT1;EXTL3;B3GALT6
GO:0006953,-1.8127076913457707,0.0051491054299108415,0.06771073640332757,12,SERPINA3;CD163;PLSCR1;CEBPB;SERPINA1;IL6R
GO:0042060,-1.7161615645484618,0.005319802366718547,0.06945926352573649,45,TGFB2;NFATC1;YAP1;ERBB2;PLEC;NOTCH2;FGF2;PLPP3;SCRIB;FKBP10;AQP1;ELK3;TGFBR1;CNN2;PPARA;CDKN1A;CFLAR
GO:0001916,-1.7713345666396354,0.005423693079298002,0.07031703492244804,15,HLA-DRA;HLA-DRB1;HLA-C;HLA-A;HLA-B;B2M;HLA-E;PTPRC;FADD
GO:0045724,1.8848184108886064,0.005660610705851781,0.07137797472241869,13,ASAP1;CCP110;GSK3B
GO:0048015,1.8184804020923377,0.005578746874270185,0.07137797472241869,22,PLCB1;PLCL1;PIK3C2G;RPS6KB1;PLCH2;PIK3C2B;PLCB4;PIK3CB;PI4KA;PIK3CD;PIK3C3
GO:0030500,-1.7824789911757832,0.0056259984519451064,0.07137797472241869,11,DDR2;GJA1;ZMPSTE24;S1PR1;SGMS2;BGLAP
GO:0007411,1.574923737502872,0.005614831000764521,0.07137797472241869,112,DPYSL5;BDNF;SLIT1;CNTN6;PRKCQ;SEMA7A;EPHB2;SEMA4A;KALRN;NRXN3;SEMA4D;CNTN2;SEMA5B;DRGX;EXT1;CDK5R1;ROBO2;DCC;PTPRJ;GDF7;SEMA4C;PTK2;CHL1;MYCBP2;LAMA2;NTN4;CNTN4;ULK2;EPHA4;KIF5C;EPHA3;NRXN1;EFNA3;L1CAM;UNC5D;EFNB2;SLIT3;KLF7;CNTN1;TRIO;CXCL12;SLIT2;EFNA2;EPHB3;WNT5A
GO:0050829,-1.721180373029838,0.0058017661470253605,0.0726602141270319,32,TLR4;SERPINE1;HMGB2;LYZ;RPS19;CD4;RNASE6;TREM2;RPL30;MR1;ADM;AQP1;IL6R;PYCARD;PRKD1;CD160;B2M;GSDMD;HAMP;TLR9
GO:0071560,-1.6216004701161895,0.005855236560152024,0.07283439531918835,51,ZFP36L1;NFATC1;DDR2;SOX9;SMAD4;CTSK;CDKN2B;LIMS1;EPB41L5;YES1;PDE3A;FYN;COL4A2;TGFB1;PAK2;TGFBR1;ACTA2
GO:0070050,1.8177432485341507,0.005948905515733468,0.07314956588023824,16,TYRO3;CX3CL1;DCTN1;APP;ATP2A2;PSEN1;PRKN;PRKAA1;HEXB;IMMT;TAOK1
GO:0070935,-1.7283893156982983,0.005960040674652763,0.07314956588023824,10,MYD88;YBX3;MAPKAPK2;RBM47;HNRNPC;ZFP36;TARDBP
GO:0032481,-1.7260446919191754,0.006101683738258543,0.07439205140486078,26,TICAM1;MYD88;ZC3HAV1;TICAM2;IRF7;CD14;MAVS;IRF1;SYK;IRF3;G3BP1;IRF5
GO:0071294,-1.7598897869160024,0.0062580983104242914,0.07579709861507315,15,MT1X;MT1M;MT1E;MT1G;MT2A;MT1F;TSPO;MT3
GO:0048665,-1.7674216315652451,0.0065261490826694435,0.0785270618378722,11,SOX9;SMAD4;EYA1;NFIA;ASCL1;FKBP8;POU3F2;EHMT2
GO:0071280,-1.7277046807716456,0.006683360750391796,0.07989653987968375,18,MT1X;MT1M;MT1E;MT1G;MT2A;MT1F;NFE2L2;HSF1;AQP1;MT3
GO:0043278,1.8817592525630187,0.006824560204632975,0.0800255753931803,11,ADRA2A;DRD2;PPP2R2A;PRKCE;PRKCG;GRIA1;SLC1A1;ARC
GO:0048169,1.8431532289194483,0.006753477548829513,0.0800255753931803,14,CAMK2B;DRD2;SYP;APP;GRIK2;SNCA;SYNGAP1;NF1
GO:0036211,-1.6109873774214711,0.006782770553868476,0.0800255753931803,51,PHEX;LIPT1;PLOD2;UBE2L6;SERP1;PARP4;YES1;UBA7;STK38;RPN2;PHKA2;AP3B1;LOXL2;ARAF
GO:0007274,1.8582892382688578,0.007064767876583832,0.08128898537994271,13,CHRNA4;P2RX2;MYLK2;EGR3;CHRM1;RIMBP2;CHRNA6;STXBP1;RAB3A
