ID,Description,NES,pval,padj,size,leadingEdge
WP5181,Roles of ceramides in development of insulin resistance,1.4697881166066227,0.06862745098039216,0.20982142857142858,18,SMPD3;MAPK8;RPS6KB1;PPP2CA;ACSL1;PIK3R1;CD36;PRKCZ
WP5172,Iron metabolism disorders,-1.4667540650679767,0.06799336650082918,0.20982142857142858,16,STEAP3;CP;CYBRD1;HEPH;HFE;FTL;SLC40A1;HAMP
WP5033,Genes associated with the development of rheumatoid arthritis,-1.4637603678608777,0.06944444444444445,0.20982142857142858,13,IL6ST;CD40;HLA-DRB1;PHF19;CIITA;ITGAV;IRF5
WP3668,Hypothesized pathways in pathogenesis of cardiovascular disease,-1.4464794247861374,0.06930693069306931,0.20982142857142858,22,TGFBR3;LTBP1;FLNA;SERPINE1;SMAD4;RUNX2;TGFBR1;MAPK3;SHC1;ENG;SMAD2
WP4655,Cytosolic DNA sensing pathway,-1.372527315445482,0.06976744186046512,0.20982142857142858,50,IL18;TRIM25;IRF7;RELA;NFKBIA;RIPK1;MAVS;IRF3;PYCARD;NFKB1;IL1B;CASP1;TREX1;FADD;POLR2L;CASP8;TRADD;IL33;POLR2H;POLR3GL;POLR2K;POLR3H;NFKBIB
WP4674,Head and neck squamous cell carcinoma,-1.3522689167121198,0.06917293233082707,0.20982142857142858,70,ERBB2;NFKB2;EGFR;IRF6;SMAD4;NOTCH2;FGFR1;RELA;TP53;NFE2L2;RPS6;NOTCH1;EIF4EBP1;DDIT4;CDKN1A;SESN2;CDK4;NFKB1;MAPKAP1;STK11;AJUBA;FADD;FAT1;PIK3R5;FGFR3;GAB1;CASP8
WP4258,lncRNA in canonical Wnt signaling and colorectal cancer,-1.3379528938660763,0.06994047619047619,0.20982142857142858,79,ROR1;FZD7;TCF7;TCF3;KREMEN1;CCND3;TCF7L2;TCF7L1;WIF1;MYC;FZD2;DVL3;JUN;DKK1
WP2006,miR targeted genes in squamous cell,-1.3092169536794132,0.0684931506849315,0.20982142857142858,121,PNP;RAB34;HMOX1;PDLIM7;MOV10;FGF2;LAMC1;GNAI2;ACAA2;NRP1;GYS1;ELOVL5;ANXA2;SMAD1;HSD17B12;MAGT1;DNAJB1;VCAM1;AXL;ATP6V0E1;NEDD4;CBFB;POLD2;TRAM1;SDCBP;ATP6V1F;NF2;CTDSP1;LAMTOR5;FNDC3B;POGLUT3;TNFRSF10B;ANP32B;P4HA2;SH3BGRL3;TMED10;HNRNPM;PTMA;CIAO2A;SRSF9;TXNRD1;TBCA;HMGA1;CHMP2A;HES1;MAP3K8;RHEB;BET1;TMEM59;MRPL20;MPZL1;FNDC3A
WP2853,Endoderm differentiation,-1.3007610206636981,0.07112970711297072,0.212477202016951,113,MAP2K3;ZIC5;TCF7;FOXO1;TCF7L1;SOX2;SMAD4;TRIM5;ELP4;LAMC1;ZFHX4;EPB41L5;GLI2;PABPC1;DKK1;TOX;BMPR1A;NOTCH1;CRTC1;BMP7;DDAH1;TGFB1;WDFY2;FOXN3;VAV3;PBX3;CDC73;CDYL;ZNF462;SOX21;SMAD2;RARG;RGS10;TET1;MAD2L2;DAB2
WP3944,Serotonin and anxiety related events,1.4961814121585015,0.07363420427553444,0.21902259058978116,14,CRH;PPP3CA;NLGN1;PRKCB;HTR2A;ARC;LINC02210-CRHR1;CRHR1
WP2001,miR targeted genes in adipocytes,-1.4476956546251099,0.07462686567164178,0.21917722312805715,16,CEBPB;ELOVL5;CSRP1;LPL;HIPK3;TMED10;SRSF9
WP4205,MET in type 1 papillary renal cell carcinoma,1.2996840851177758,0.0744047619047619,0.21917722312805715,57,C8orf34;PAK5;STRN;MAPK8;MET;PAK3;MAP2K1;PIK3R1;PTK2;PIK3CB;PAK1;MAPK1;PIK3CD;AKT3;BRAF
WP4946,DNA repair pathways full network,1.2821650014696384,0.07438194821512534,0.21917722312805715,113,LIG4;TDG;FANCL;CCNH;ATR;ERCC3;FANCD2;FANCM;SMUG1;FANCA;FEN1;RFC3;GTF2H1;RFC5;PMS2;MBD4;PALB2;RAD50;ATM;MRE11;LIG3;PNKP;CDK7;FANCI;POLI;FANCF;LIG1;NTHL1;PRKDC;REV1;XPA;RAD23B;WDR48;CUL4B;ERCC6
WP5173,Disorders of galactose metabolism,-1.4577713788722464,0.0763888888888889,0.21966165610433142,11,PYGL;PGM1;GYS1;GYG1
WP3640,Imatinib and chronic myeloid leukemia,-1.4236069789095136,0.07614213197969544,0.21966165610433142,20,PIM1;MYC;GADD45A;PDGFRB;NOP2;CSF1R;LYL1;SKP2
WP4241,Type 2 papillary renal cell carcinoma,-1.3950349807836635,0.07667731629392971,0.21966165610433142,33,TGFB2;CTSK;HIF1A;TGFB1;TFE3;CDKN1A;EGLN3;TGFB3;TFEB;EPAS1;COL21A1;ELOB
WP411,mRNA processing,-1.300677400858037,0.07586206896551724,0.21966165610433142,124,PCBP2;NONO;PTBP1;SNRPA;HNRNPC;HNRNPA1;YBX1;SUPT5H;NCBP2;SF3A2;SNRPD2;SNRPG;HNRNPD;SF3B3;HNRNPA2B1;SMC1A;DHX38;LSM7;SNRNP70;SNRPD1;CLK1;PRPF3;CPSF2;U2AF1;XRN2;SRSF4;PHF5A;RBM39;TMED10;HNRNPU;HNRNPM;SNRPF;SRSF9;SREK1;SNRPE;SF3B2;HNRNPL;PAPOLA;HNRNPAB;METTL3;PRPF6;LSM2;HNRNPH1;SF3A1;CPSF4;SRSF10;SRSF7;DHX9;SF3B5;SNRPA1;PRMT2;SNU13;RBM17;CSTF1
WP2059,Alzheimer 39 s disease and miRNA effects,1.1952904466078922,0.07666238628093094,0.21966165610433142,232,CACNA1S;PLCB1;PPP3CA;APBB1;GRIN2A;ATG2B;RTN4;MAPK8;CACNA1F;TUBB4A;GSK3B;CDK5R1;CDK5;MAP2K1;NOS2;MAPK9;APP;MTOR;PIK3R1;ATP2A2;RTN3;PTGS2;PPP3CB;PPP3R1;MAPT;PLCB4;CALM2;GRIN2B;PIK3CB;FZD3;NRBF2;TUBA4A;ULK2;AMBRA1;PSMA5;KIF5C;MAPK1;PSMC6;CACNA1D;SNCA;PIK3CD;PSEN1;WNT10B;AKT3;PSMD1;CALM1;DKK2;PPP3CC;BRAF;KLC1;PIK3C3;GRIN1;MAPK10;NAE1;BACE1;VDAC3;PIK3R4;WNT5A;MAP2K7;WNT4;RB1CC1;TUBB3
WP5124,Alzheimer 39 s disease,1.1952904466078922,0.07666238628093094,0.21966165610433142,232,CACNA1S;PLCB1;PPP3CA;APBB1;GRIN2A;ATG2B;RTN4;MAPK8;CACNA1F;TUBB4A;GSK3B;CDK5R1;CDK5;MAP2K1;NOS2;MAPK9;APP;MTOR;PIK3R1;ATP2A2;RTN3;PTGS2;PPP3CB;PPP3R1;MAPT;PLCB4;CALM2;GRIN2B;PIK3CB;FZD3;NRBF2;TUBA4A;ULK2;AMBRA1;PSMA5;KIF5C;MAPK1;PSMC6;CACNA1D;SNCA;PIK3CD;PSEN1;WNT10B;AKT3;PSMD1;CALM1;DKK2;PPP3CC;BRAF;KLC1;PIK3C3;GRIN1;MAPK10;NAE1;BACE1;VDAC3;PIK3R4;WNT5A;MAP2K7;WNT4;RB1CC1;TUBB3
WP5294,Sildenafil treatment,1.4219896493236326,0.07828282828282829,0.22213182999764838,22,GSK3B;PDE4C;NOS2;PDE5A;PDE4D;AKT3;PRKN;GUCY1A2;NOS1;GUCY1A1;GUCY1B1
WP5490,Inhibition of GNAQ regulated signaling in uveal melanoma,-1.3941307803952163,0.07827476038338659,0.22213182999764838,33,PKN1;YAP1;MOB1A;TEAD3;LATS2;TEAD4;TEAD1;ROCK1;TEAD2
WP5039,SARS CoV 2 innate immunity evasion and cell specific immune response,-1.378225035155822,0.07849293563579278,0.22213182999764838,43,TRIM25;CXCL5;IRF7;IFNAR2;IFITM1;CCL2;RIPK1;MAVS;TGFB1;IL6R;IRF3;CD160;NFKB1;FADD;JAK1;CASP8;TRADD;TANK;TLR7;HAVCR2
WP5144,NRP1 triggered signaling in pancreatic cancer,-1.3639246450877551,0.07882534775888717,0.22217305678815374,52,TGFB2;CDK2;TGFBR3;NFKB2;EGFR;HGF;SMAD4;NRP1;RELA
WP2332,IL11 signaling,-1.3595958328811117,0.08006279434850863,0.22475459136388568,41,IL6ST;STAT3;RELA;RPS6;YES1;RUNX2;ICAM1;FYN;TGFB1;BGLAP;MAPK3;SOCS3;ATF1;RPS6KA1;JAK1;JAK2;IL11RA;BCL2;AKT1;PIK3R2;PIAS3;RAF1;MAP2K2;TYK2;FES
WP2380,Brain derived neurotrophic factor BDNF signaling,1.2575099257065747,0.08226502363120729,0.23001300607285555,132,BDNF;RASGRF1;PRKCD;LINGO1;DOCK3;CAMK4;MAPK8;RPS6KB1;GSK3B;CDK5R1;CDK5;GRIA3;PPP2CA;CDKL5;SORT1;MAP2K1;MAPK9;MTOR;SIRPA;PIK3R1;CNR1;KCNN2;MAPT;GRIA1;GRIN2B;GABRB3;RPS6KA3;GRIA2;NTRK3;MAPK1;DLG1;RAB3A;GRIN1;KIDINS220;MAPK10;PRKAA2;EIF4E;PRKAA1;NSF;GRIP1;CAMK2A;APC;CDC42;CHUK;MAP2K5;MEF2A;CAMK1
WP3933,Kennedy pathway from sphingolipids,-1.4367877309854213,0.08261617900172118,0.23007453833547054,14,CHKA;CHPT1;SGPL1;ETNK2;PEMT
WP5183,SARS CoV 2 mitochondrial chronic oxidative stress and endothelial dysfunction,-1.4204632876670884,0.08347245409015025,0.231536688131012,21,IL18;AGT;SIRT6;MAVS;NDUFAF2;NFKB1;PHB1;RPS6KA1;ECSIT
