Gene ID,Mean Expr,log2FC,log2FC SE,p-value,adj. p-value,Gene Symbol
105378678,146,-0.679,0.185,1.61e-05,0.000283,NA
9341,5990,0.344,0.088,1.65e-05,0.000287,VAMP3
55220,42400,-0.352,0.0906,1.69e-05,0.000292,KLHDC8A
7114,810,-0.434,0.114,1.71e-05,0.000293,TMSB4X
79647,8610,-0.288,0.0728,1.88e-05,0.000319,AKIRIN1
6041,1370,-0.36,0.0937,1.97e-05,0.000332,RNASEL
192670,2900,-0.321,0.0829,2.02e-05,0.000337,AGO4
51133,5190,0.339,0.0885,2.35e-05,0.000389,KCTD3
11123,1140,-0.351,0.0927,2.61e-05,0.000428,RCAN3
2946,1410,-0.324,0.0848,2.63e-05,0.000428,GSTM2
102724250,1630,0.332,0.0872,2.7e-05,0.000436,NA
6202,38300,-0.399,0.108,2.86e-05,0.000457,RPS8
7049,261,-0.526,0.147,2.88e-05,0.000457,TGFBR3
1969,3430,-0.49,0.135,2.91e-05,0.000459,EPHA2
10485,75100,-0.311,0.082,2.98e-05,0.000466,MIR9-1HG
55103,5360,0.397,0.108,3e-05,0.000466,RALGPS2
10560,3160,-0.334,0.0891,3.22e-05,0.000495,SLC19A2
1942,653,0.48,0.134,3.41e-05,0.00052,EFNA1
149111,1510,0.311,0.0829,3.83e-05,0.00058,CNIH3
8751,4770,-0.523,0.149,3.91e-05,0.000587,ADAM15
9672,12000,-0.404,0.113,4.49e-05,0.000669,SDC3
127281,1000,-0.431,0.122,4.56e-05,0.000675,PRXL2B
51278,13400,-0.256,0.0679,4.93e-05,0.000724,IER5
28951,42600,-0.242,0.064,5.14e-05,0.00075,TRIB2
54973,1360,-0.513,0.149,5.19e-05,0.000751,INTS11
80045,278,-0.488,0.141,5.38e-05,0.000772,GPR157
84944,552,0.398,0.112,5.48e-05,0.000782,MAEL
10401,3220,-0.313,0.0861,5.79e-05,0.00082,PIAS3
8674,3370,-0.379,0.107,6.03e-05,0.000847,VAMP4
441869,22.4,1.51,0.471,6.17e-05,0.000861,ANKRD65
25874,3770,0.299,0.0829,6.84e-05,0.000947,MPC2
64645,7270,-0.296,0.0824,7.31e-05,0.00101,MFSD14A
26227,15400,-0.423,0.122,7.47e-05,0.00102,PHGDH
11000,5400,-0.5,0.15,7.59e-05,0.00103,SLC27A3
105378859,43.4,1.11,0.352,7.65e-05,0.00103,NA
7161,599,0.48,0.144,8.31e-05,0.00111,TP73
79762,572,-0.405,0.119,8.59e-05,0.00114,C1orf115
80818,10700,0.322,0.0915,8.64e-05,0.00114,ZNF436
107985236,2830,-0.293,0.0834,0.000103,0.00134,NA
23576,19900,0.324,0.0936,0.000103,0.00135,DDAH1
93273,2270,-0.381,0.113,0.000105,0.00136,LEMD1
339398,27.2,-1.44,0.475,0.000109,0.00139,LINGO4
252839,5430,-0.347,0.102,0.000112,0.00143,TMEM9
79573,2770,0.302,0.0869,0.000113,0.00143,TTC13
85028,1500,0.3,0.0865,0.000117,0.00147,SNHG12
23127,14000,-0.247,0.0701,0.000118,0.00148,COLGALT2
103021296,1200,0.35,0.104,0.000124,0.00154,NA
3075,7.93,3.33,1.04,0.000131,NA,CFH
271,4970,-0.427,0.132,0.000138,0.00171,AMPD2
101926964,249,0.492,0.156,0.000146,0.0018,NA
103611157,173,-0.601,0.196,0.000149,0.00182,TGFB2-OT1
1952,19500,-0.421,0.132,0.000165,0.002,CELSR2
79140,646,-0.494,0.158,0.000166,0.002,CCDC28B
9554,10900,0.284,0.0836,0.000167,0.00201,SEC22B
8853,5420,0.243,0.0701,0.000169,0.00201,ASAP2
339500,998,-0.453,0.144,0.000172,0.00203,ZNF678
3754,271,-0.582,0.192,0.000176,0.00207,KCNF1
2948,300,-0.438,0.139,0.000177,0.00207,GSTM4
23046,1310,-0.468,0.15,0.000181,0.0021,KIF21B
3707,2110,-0.299,0.0896,0.000189,0.00218,ITPKB
149603,1760,-0.375,0.117,0.000191,0.0022,RNF187
64801,959,0.337,0.103,0.000194,0.00222,ARV1
57535,81.5,0.705,0.241,0.000199,0.00226,ELAPOR1
102723761,84.8,0.703,0.241,0.000203,0.00229,NA
84967,1140,-0.437,0.141,0.000208,0.00233,LSM10
57216,12800,-0.242,0.0709,0.000209,0.00234,VANGL2
10712,2120,-0.316,0.0966,0.000216,0.0024,ENTREP3
93185,850,-0.51,0.17,0.000229,0.00252,IGSF8
105371224,121,0.625,0.215,0.000238,0.00261,NA
6201,36800,-0.246,0.0731,0.00024,0.00262,RPS7
387597,17600,0.267,0.0804,0.000248,0.00269,ILDR2
6611,3050,0.313,0.0968,0.000249,0.00269,SMS
9722,361,-0.511,0.172,0.000253,0.00271,NOS1AP
9725,769,-0.409,0.133,0.000259,0.00277,TMEM63A
105371629,16.8,1.56,0.576,0.000274,NA,NA
10500,672,-0.522,0.179,0.000282,0.00299,SEMA6C
9641,329,-0.568,0.197,0.000287,0.00303,IKBKE
5087,11300,-0.243,0.0736,0.000304,0.00319,PBX1
115353,3670,0.236,0.0712,0.000308,0.00322,LRRC42
9781,4840,-0.234,0.0711,0.000331,0.00344,RNF144A
100996716,795,0.38,0.126,0.000352,0.00364,NA
57035,3670,0.267,0.083,0.000356,0.00366,RSRP1
9411,23400,-0.31,0.0996,0.000366,0.00374,ARHGAP29
140576,15600,-0.326,0.106,0.000376,0.00383,S100A16
192668,44.5,-0.947,0.365,0.000395,0.004,CYS1
378708,887,0.295,0.0946,0.000404,0.00405,CENPS
64756,6640,0.258,0.081,0.000406,0.00405,ATPAF1
6723,3060,-0.39,0.132,0.000407,0.00405,SRM
102724364,1290,0.305,0.1,0.000466,0.00461,NA
1435,2310,-0.293,0.0957,0.000467,0.00461,CSF1
26052,8170,0.344,0.116,0.000473,0.00464,DNM3
57085,391,-0.55,0.202,0.000476,0.00465,AGTRAP
10962,13700,-0.27,0.0866,0.000481,0.00467,MLLT11
57212,2920,-0.275,0.0887,0.000484,0.00468,GFOD3P
54874,10600,0.263,0.0848,0.00049,0.00472,FNBP1L
2882,601,-0.315,0.105,0.000499,0.00477,GPX7
100526739,757,0.297,0.0977,0.000518,0.00493,CENPS-CORT
54998,814,-0.503,0.184,0.000522,0.00495,AURKAIP1
54802,3350,0.265,0.0858,0.000543,0.00513,TRIT1
128308,235,-0.458,0.169,0.000637,0.00597,MRPL55
100873932,273,0.397,0.142,0.000638,0.00597,DPYD-AS1
6209,821,-0.483,0.18,0.000644,0.00599,RPS15
8349,356,0.365,0.128,0.000652,0.00603,H2BC21
5351,9590,-0.375,0.133,0.000654,0.00603,PLOD1
101929780,2190,0.233,0.0754,0.000668,0.0061,NA
57449,580,-0.483,0.182,0.000669,0.0061,PLEKHG5
63827,8180,-0.811,0.339,0.000702,0.00638,BCAN
4359,36.1,0.968,0.406,0.000707,0.00639,MPZ
55672,3500,0.248,0.0817,0.000728,0.00655,NBPF1
1486,1090,0.353,0.125,0.000737,0.0066,CTBS
4774,6020,-0.246,0.0812,0.000744,0.00661,NFIA
55509,243,0.411,0.151,0.000745,0.00661,BATF3
5629,6050,0.277,0.0936,0.000766,0.00677,PROX1
93183,3810,0.242,0.0804,0.00081,0.00709,PIGM
51018,2130,-0.302,0.105,0.000813,0.00709,RRP15
1629,5230,-0.233,0.0771,0.000814,0.00709,DBT
102606465,1040,0.264,0.0892,0.00084,0.00729,NA
5778,89.6,0.628,0.256,0.000844,0.0073,PTPN7
25903,75.9,-0.657,0.273,0.000869,0.00748,OLFML2B
79753,1990,0.245,0.0822,0.000897,0.00768,SNIP1
3749,973,-0.349,0.127,0.000927,0.0079,KCNC4
23341,2540,0.243,0.082,0.000935,0.00794,DNAJC16
100996517,676,0.33,0.119,0.000959,0.00811,NA
51060,6860,-0.235,0.0794,0.000999,0.00841,TXNDC12
3428,24000,0.327,0.117,0.00102,0.0085,IFI16
11243,1930,-0.299,0.107,0.00102,0.0085,PMF1
200197,43.1,-0.786,0.349,0.00106,0.00878,TMEM51-AS1
8991,2440,-0.369,0.139,0.00106,0.00878,SELENBP1
23421,4200,0.265,0.0927,0.00109,0.00895,ITGB3BP
2987,562,-0.456,0.182,0.00111,0.0091,GUK1
10067,3280,-0.312,0.113,0.00111,0.0091,SCAMP3
1063,28000,-0.337,0.125,0.00112,0.00911,CENPF
4520,2610,-0.217,0.0731,0.00113,0.00913,MTF1
127002,776,-0.373,0.142,0.00114,0.00919,ATXN7L2
374955,5120,-0.229,0.0792,0.00127,0.0102,SPATA21
4878,17.7,-1.22,0.59,0.00128,NA,NPPA
51022,1690,0.271,0.0968,0.0013,0.0104,GLRX2
643988,94.7,-0.78,0.363,0.00132,0.0105,FNDC10
149076,1050,-0.287,0.104,0.00133,0.0106,ZNF362
100131564,471,0.328,0.123,0.00134,0.0106,NA
84251,113,-0.495,0.208,0.00137,0.0108,SGIP1
6536,349,-0.473,0.199,0.00143,0.0112,SLC6A9
338382,3600,0.26,0.0935,0.00145,0.0113,RAB7B
5768,3520,-0.323,0.123,0.00148,0.0115,QSOX1
26289,21.7,1.07,0.532,0.00148,NA,AK5
54587,122,-0.581,0.26,0.00151,0.0117,MXRA8
51043,1530,-0.345,0.134,0.00153,0.0118,ZBTB7B
100996724,3130,0.244,0.0872,0.00154,0.0119,NA
84886,1340,0.234,0.0832,0.0016,0.0122,C1orf198
26099,7640,-0.232,0.0823,0.00161,0.0123,SZRD1
284648,123,0.502,0.219,0.00163,0.0124,LINC01686
83593,1460,-0.258,0.094,0.00167,0.0127,RASSF5
199953,1440,-0.388,0.159,0.00174,0.0131,TMEM201
339451,128,-0.625,0.294,0.00175,0.0132,KLHL17
109729141,263,-0.385,0.158,0.00179,0.0134,TDRKH-AS1
51177,3520,-0.264,0.098,0.00182,0.0136,PLEKHO1
8703,4680,-0.256,0.0944,0.00185,0.0137,B4GALT3
55160,423,-0.427,0.183,0.00188,0.0139,ARHGEF10L
57710,579,-0.378,0.157,0.00199,0.0147,KIAA1614
29914,2330,-0.226,0.0819,0.00201,0.0147,UBIAD1
148741,48.5,-0.708,0.356,0.00205,0.015,ANKRD35
93611,607,-0.337,0.136,0.00212,0.0154,FBXO44
54873,594,-0.286,0.111,0.00219,0.0159,PALMD
79819,211,0.402,0.173,0.00222,0.016,DNAI4
79169,184,-0.441,0.196,0.00222,0.016,C1orf35
8659,472,-0.417,0.183,0.00224,0.016,ALDH4A1
5824,11700,-0.195,0.0697,0.00226,0.0162,PEX19
29922,3390,0.22,0.0806,0.0023,0.0164,NME7
101929516,1470,-0.238,0.0887,0.00231,0.0164,NA
100506810,27.3,0.906,0.5,0.00233,0.0165,LINC01132
10628,42200,0.208,0.0765,0.00257,0.0181,TXNIP
51205,1670,0.241,0.0916,0.00259,0.0182,ACP6
26155,3180,-0.328,0.136,0.00261,0.0183,NOC2L
27246,6230,0.205,0.0755,0.00264,0.0184,RNF115
23179,9130,0.183,0.0658,0.00264,0.0184,RGL1
59349,10300,0.201,0.0735,0.0027,0.0187,KLHL12
1647,6670,0.224,0.0845,0.00278,0.0192,GADD45A
4535,2120,0.241,0.0928,0.00286,0.0196,MT-ND1
127687,1110,-0.276,0.11,0.00287,0.0196,C1orf122
55210,894,-0.397,0.18,0.00289,0.0197,ATAD3A
84065,1020,-0.389,0.176,0.00302,0.0206,TMEM222
8476,6640,-0.218,0.0828,0.00307,0.0207,CDC42BPA
106614088,542,0.292,0.12,0.00308,0.0207,MIR34AHG
54991,144,-0.476,0.234,0.00308,0.0207,C1orf159
2517,221,0.343,0.149,0.00308,0.0207,FUCA1
375,5590,-0.26,0.104,0.00335,0.0224,ARF1
100129046,47.7,-0.627,0.352,0.00338,0.0225,NA
79033,4960,-0.218,0.084,0.0034,0.0226,ERI3
4725,14500,-0.19,0.0712,0.00341,0.0226,NDUFS5
7779,862,-0.309,0.132,0.00343,0.0226,SLC30A1
28956,1420,-0.332,0.146,0.00347,0.0228,LAMTOR2
23432,9590,-0.183,0.0686,0.00352,0.0231,GPR161
2224,20000,-0.191,0.0719,0.00353,0.0231,FDPS
101060226,7040,0.184,0.0688,0.00357,0.0233,NBPF19
6646,11900,0.203,0.0776,0.0036,0.0234,SOAT1
405,7380,0.194,0.0736,0.00364,0.0235,ARNT
8556,1430,0.251,0.101,0.00366,0.0236,CDC14A
57095,4560,-0.18,0.0674,0.0037,0.0238,PITHD1
5051,1950,0.215,0.0833,0.00371,0.0238,PAFAH2
84838,8540,-0.207,0.0803,0.00381,0.0243,ZNF496
200010,324,-0.316,0.139,0.00384,0.0244,SLC5A9
65094,142,-0.474,0.246,0.00385,0.0244,JMJD4
343263,249,0.329,0.148,0.004,0.0253,MYBPHL
9928,14500,-0.277,0.117,0.00402,0.0253,KIF14
991,5300,-0.267,0.113,0.00444,0.0279,CDC20
3241,590,-0.302,0.134,0.00456,0.0285,HPCAL1
101928391,31,-0.725,0.494,0.00456,0.0285,NA
105373424,116,-0.401,0.202,0.0046,0.0286,NA
105378580,198,0.342,0.162,0.00479,0.0297,NA
60672,221,-0.431,0.228,0.0048,0.0297,MIIP
100132406,6720,0.181,0.0705,0.00489,0.0301,NBPF10
3065,14100,0.169,0.0649,0.0049,0.0301,HDAC1
50999,7850,0.266,0.116,0.00492,0.0301,TMED5
55182,3450,-0.225,0.0931,0.00521,0.0318,RNF220
29957,1510,0.253,0.109,0.00523,0.0318,SLC25A24
128240,4750,-0.212,0.0866,0.00524,0.0318,NAXE
643355,716,-0.241,0.102,0.00526,0.0318,LINC01750
64856,133,-0.422,0.228,0.00539,0.0324,VWA1
100132074,519,-0.351,0.173,0.00539,0.0324,FOXO6
27185,507,0.257,0.111,0.00546,0.0327,DISC1
26770,401,0.272,0.121,0.00553,0.033,NA
284618,10400,-0.19,0.0744,0.00555,0.033,RUSC1-AS1
23057,310,-0.303,0.141,0.0056,0.0332,NMNAT2
5226,23200,-0.206,0.0844,0.00564,0.0333,PGD
9813,10700,0.204,0.0833,0.00565,0.0333,EFCAB14
200081,5560,0.188,0.0755,0.0057,0.0336,TXLNA
1520,17,0.887,0.831,0.00572,NA,CTSS
7170,28100,0.168,0.0661,0.00581,0.034,TPM3
54964,1010,0.236,0.101,0.00582,0.034,C1orf56
90231,1480,-0.257,0.114,0.00589,0.0343,KIAA2013
55793,741,-0.286,0.132,0.00602,0.035,MINDY1
101929510,32.9,0.628,0.468,0.00605,0.035,NA
11311,8840,0.185,0.0743,0.00606,0.035,VPS45
127428,3590,0.182,0.0733,0.00618,0.0356,TCEANC2
3914,86.9,-0.443,0.261,0.00634,0.0364,LAMB3
607,8320,-0.208,0.0876,0.00662,0.0379,BCL9
192669,5190,0.189,0.0777,0.00666,0.038,AGO3
101927895,344,-0.301,0.144,0.0067,0.038,EMC1-AS1
4555,114,0.56,0.416,0.00672,0.038,NA
57648,231,0.352,0.183,0.00675,0.038,NHSL3
84791,99,0.4,0.225,0.00675,0.038,NA
100381270,10400,0.201,0.0839,0.00676,0.038,ZBED6
27005,3270,-0.216,0.092,0.00678,0.038,USP21
6339,126,-0.417,0.245,0.00702,0.0393,SCNN1D
9394,115,-0.396,0.225,0.00712,0.0398,HS6ST1
9659,9240,0.181,0.0746,0.00718,0.04,PDE4DIP
101060684,4690,0.173,0.0707,0.00728,0.0404,NBPF26
100527963,1080,-0.244,0.11,0.00732,0.0405,PMF1-BGLAP
5872,8250,-0.174,0.069,0.00737,0.0406,RAB13
56882,17600,0.166,0.0678,0.00758,0.0417,CDC42SE1
80003,622,0.235,0.105,0.00761,0.0417,PCNX2
9462,6280,0.177,0.0733,0.00772,0.0422,RASAL2
25832,7750,0.175,0.0724,0.00778,0.0424,NBPF14
1266,63200,0.204,0.0881,0.00789,0.0429,CNN3
107181291,171,0.357,0.199,0.00806,0.0437,PYDC5
6944,5560,-0.203,0.0882,0.00809,0.0437,VPS72
533,5700,-0.232,0.105,0.00811,0.0437,ATP6V0B
9877,41200,0.19,0.0802,0.00815,0.0438,ZC3H11A
126792,1960,-0.211,0.0924,0.00826,0.0443,B3GALT6
2117,3770,0.176,0.0737,0.00836,0.0447,ETV3
6464,15300,-0.198,0.085,0.0084,0.0448,SHC1
5293,109,-0.428,0.278,0.00853,0.0453,PIK3CD
107984950,804,-0.252,0.119,0.00854,0.0453,NA
79180,2140,-0.232,0.106,0.00871,0.0461,EFHD2
576,3060,-0.445,0.308,0.00875,0.0462,ADGRB2
1513,362,0.27,0.131,0.0089,0.0468,CTSK
3311,76.5,-0.441,0.302,0.00895,0.047,NA
50848,250,0.299,0.154,0.00902,0.0472,F11R
54344,226,-0.411,0.267,0.00911,0.0476,DPM3
101929120,933,-0.241,0.113,0.0093,0.0484,NA
84134,2360,-0.187,0.0815,0.0094,0.0488,TOMM40L
84243,2020,-0.216,0.098,0.00947,0.0491,ZDHHC18
84722,16500,-0.175,0.0754,0.0095,0.0491,PSRC1
8915,2360,0.209,0.0936,0.00958,0.0494,BCL10
51668,3300,0.187,0.0813,0.00971,0.0499,IFT25
55092,772,-0.251,0.121,0.00973,0.0499,TMEM51
5692,17100,-0.206,0.0938,0.0103,0.0524,PSMB4
844,150,-0.317,0.176,0.0104,0.0532,CASQ1
127703,3760,0.167,0.0721,0.0107,0.0546,C1orf216
2152,4920,0.205,0.0939,0.0108,0.055,F3
10459,2950,-0.253,0.126,0.0109,0.055,MAD2L2
90806,2390,0.18,0.0794,0.011,0.0556,ANGEL2
2035,7100,0.164,0.0703,0.0112,0.0561,EPB41
8634,4730,0.168,0.073,0.0112,0.0562,RTCA
2023,211000,-0.196,0.0902,0.0114,0.0569,ENO1
51107,9760,-0.175,0.0785,0.0114,0.0569,APH1A
51686,827,-0.201,0.0925,0.0116,0.0577,OAZ3
105371659,60.8,-0.407,0.299,0.0116,0.0577,NA
4931,2190,0.173,0.0763,0.0117,0.0577,NVL
54897,75.4,0.408,0.302,0.0117,0.0577,CASZ1
23418,7070,-0.19,0.0862,0.0118,0.058,CRB1
29937,1180,-0.21,0.0984,0.0119,0.0584,NENF
3399,577,-0.274,0.145,0.0119,0.0584,ID3
2959,3890,0.18,0.0807,0.012,0.0588,GTF2B
55721,776,0.228,0.11,0.0121,0.0592,IQCC
10130,37900,-0.132,0.0627,0.0123,0.0597,PDIA6
22883,12500,-0.201,0.0935,0.0123,0.0597,CLSTN1
4579,1150,0.215,0.102,0.0123,0.0597,NA
79590,5580,-0.172,0.0771,0.0124,0.0602,MRPL24
84966,7.83,-0.119,0.231,0.0125,NA,IGSF21
57540,314,-0.417,0.731,0.0126,0.0605,DISP3
1912,13700,-0.226,0.111,0.0126,0.0605,PHC2
10489,4240,-0.22,0.106,0.0126,0.0605,LRRC41
9557,18300,0.149,0.0649,0.0126,0.0605,CHD1L
729867,454,-0.319,0.193,0.013,0.062,PEA15-AS1
23155,8470,-0.161,0.0715,0.0131,0.0622,CLCC1
1855,641,-0.421,0.409,0.0133,0.0633,DVL1
3151,43600,0.158,0.0701,0.0134,0.0634,HMGN2
5586,12000,-0.213,0.103,0.0136,0.0642,PKN2
9903,2060,-0.224,0.111,0.0137,0.0644,KLHL21
112950,2360,0.176,0.0805,0.0138,0.0649,MED8
2782,37900,-0.145,0.0636,0.0139,0.065,GNB1
8761,9250,-0.146,0.0646,0.014,0.0656,PABPC4
55920,18600,-0.185,0.0863,0.0142,0.0662,RCC2
100422914,37.1,-0.422,0.464,0.0142,0.0663,MIR4253
55707,2200,-0.183,0.0856,0.0143,0.0663,NECAP2
112770,1110,-0.239,0.123,0.0143,0.0663,GLMP
8462,2110,0.17,0.0778,0.0145,0.067,KLF11
128344,88.3,-0.354,0.252,0.0146,0.0674,CIMAP3
84455,1230,0.209,0.102,0.0147,0.0676,EFCAB7
51058,1480,0.172,0.0795,0.0148,0.068,ZNF691
57685,5530,0.15,0.067,0.0148,0.068,CACHD1
9410,7620,0.157,0.0709,0.015,0.0685,SNRNP40
57326,3310,-0.216,0.108,0.0152,0.0692,PBXIP1
3765,53.2,-0.395,0.368,0.0153,0.0697,KCNJ9
117178,10900,0.217,0.109,0.0154,0.0701,SSX2IP
9181,20500,-0.19,0.0915,0.0155,0.0703,ARHGEF2
79594,1130,-0.224,0.115,0.0157,0.0709,MUL1
57821,300,0.265,0.15,0.016,0.0723,CCDC181
100507178,205,-0.276,0.161,0.0161,0.0723,SLFNL1-AS1
