ID,Description,p.adjust,k,K,enr_ratio,geneID
GO:1905330,regulation of morphogenesis of an epithelium,0.0068857056927793,25,49,2.046422964790312,AR/BMP4/BMP7/ESR1/GATA3/GDNF/GREM1/HGF/ITGAX/MAGED1/NTN4/PDGFA/SFRP1/SIX2/SIX4/SNAI2/SOX9/TACSTD2/TBX2/TGFB1/WNT2/WNT2B/WNT4/WNT5A/WNT5B
GO:0015844,monoamine transport,0.00737009566306995,26,52,2.0054945054945055,ACTB/ADORA2A/ADORA3/ADRA2B/ADRA2C/CNR1/DRD4/GDNF/ITGB3/KCNA2/KCNB1/MAOB/NOS1/P2RX1/P2RY1/PICK1/PRKN/SLC18A2/SLC22A3/SLC6A2/SLC6A4/SNCG/STX1A/SYT11/TGM2/VIP
GO:0061436,establishment of skin barrier,0.00739734673897462,13,19,2.744360902255639,ALOX12/CLDN1/CLDN4/CYP26B1/FLG/IL18/KLF4/KRT1/KRT16/MET/SFN/STMN1/TP63
GO:0016486,peptide hormone processing,0.00838283106522841,12,17,2.8312863606981256,ADAM10/BCHE/CMA1/CORIN/CTSG/CTSL/CTSZ/ECE1/P4HB/PCSK1/PCSK2/PLA2G7
GO:0038063,collagen-activated tyrosine kinase receptor signaling pathway,0.00838283106522841,24,47,2.048164601356091,COL4A1/COL4A2/COL4A5/COL4A6/CSF1R/DDR1/EGFR/EPHA4/ERBB2/ERBB4/FGFR2/FGFR3/KDR/KIT/MERTK/MET/MST1R/NTRK1/NTRK2/NTRK3/PDGFRA/RET/TIE1/TYRO3
GO:0001906,cell killing,0.00838283106522841,56,143,1.57073695535234,ARG1/ARRB2/C3/C8G/CCL18/CCL28/CD55/CFH/CR1/CTSC/CTSG/CXCL1/CXCL13/CXCL14/CXCL6/ELANE/F2RL1/FADD/FCGR1A/FCGR2A/FCGR3A/GAPDH/GBP1/GRB2/GZMB/HAVCR2/HLA-A/HLA-B/HLA-G/HPRT1/IL12RB1/IL18/IL7R/ITGAM/KRT6A/LEP/LGALS9/LYZ/MICB/NCKAP1L/NECTIN2/NECTIN4/NOS2/PPBP/PVR/RAB27A/SERPINB9/SPI1/TGFB1/TIGIT/TREM1/TUBB/TYROBP/ULBP1/ULBP2/VAV1
GO:0018958,phenol-containing compound metabolic process,0.00957032709893778,32,70,1.833594976452119,ALDH2/BCL2/CDH3/CTSB/CYP1A1/CYP2E1/DCT/DRD4/DUOX1/EDNRA/GATA3/GPR37/GRIN2A/HDC/HPRT1/ITGAM/ITGB2/KL/MAOA/MAOB/NR4A2/PMEL/PNKD/PNMT/PRKN/RAB38/SLC1A1/SLC7A11/TG/TPH1/TPO/WNT5A
GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,0.011303951217709,45,110,1.6408591408591409,ADGRL3/AMIGO2/CADM2/CD84/CDH1/CDH11/CDH13/CDH15/CDH2/CDH20/CDH3/CDH5/CDHR1/CELSR2/CLDN1/CLDN10/CLDN11/CLDN14/CLDN4/CLDN7/CNTN2/CNTN4/CX3CL1/CXADR/DSC3/EFNA5/ITGA5/ITGAM/ITGB2/KLF4/MPZ/NECTIN2/NECTIN4/NLGN1/NRXN1/PCDH19/PTPRD/PTPRF/PTPRT/PVR/RET/ROBO2/ROBO3/SCARF2/VCAM1
GO:0001504,neurotransmitter uptake,0.01187675199556045,16,27,2.376882376882377,ATP1A2/DRD4/GDNF/ITGB3/NOS1/PER2/PRKN/SLC18A2/SLC1A2/SLC1A3/SLC22A3/SLC29A1/SLC6A11/SLC6A2/SLC6A4/SNAP25
GO:0016101,diterpenoid metabolic process,0.01247607801128744,25,51,1.9661710838181423,ABCA4/ADH1A/ADH1C/ADH6/AKR1C1/AKR1C3/ALDH1A1/ALDH3A2/ALDH8A1/BCO2/CYP1A1/CYP1B1/CYP26B1/CYP2D6/CYP3A5/DGAT2/DHRS3/EGFR/LRP8/PECR/RDH12/RDH13/RDH5/RETSAT/SDR16C5
