ID,Description,p.adjust,k,K,enr_ratio,geneID
GO:0055002,striated muscle cell development,4.454855724875265e-4,21,114,2.9135758860237844,ACTA1/ACTC1/AKAP6/CASQ1/CDK1/CSRP1/FHL2/ISL1/KRT19/KRT8/LDB3/MYH11/MYH6/PGM5/PPARA/PROX1/RGS4/TBX3/TBX5/TCAP/TMOD1
GO:0006270,DNA replication initiation,5.134484528118593e-4,10,30,5.272184936614466,CCNE2/CDC45/CDC6/CDT1/MCM2/MCM4/MCM5/MCM6/MCM7/ORC1
GO:0009612,response to mechanical stimulus,5.540011746686861e-4,25,153,2.584404380693366,ACTA1/AQP1/CALB1/ENG/F11R/FOS/GAP43/GDF5/IRF1/ITGA2/ITGB3/KIT/NPPA/NRXN1/POSTN/PTGER4/PTGS2/PTK2B/SCEL/SERPINE2/SLC1A3/TCAP/TLR3/TNFSF14/WNT11
GO:0044772,mitotic cell cycle phase transition,8.009710776371721e-4,37,281,2.0826068610825827,AURKA/AURKB/BIRC5/BUB1/BUB1B/CCL2/CCNA2/CCNB1/CCNB2/CCNE2/CDC20/CDC25C/CDC6/CDCA5/CDK1/CDKN2B/CENPF/CKS1B/CLSPN/DBF4/DLGAP5/E2F1/ESPL1/FOXM1/GPR132/HSPA2/IQGAP3/MAD2L1/ORC1/PKMYT1/PLK1/POLE/RRM2/TACC3/TRIP13/TTK/UBE2C
GO:0009611,response to wounding,8.163047319182455e-4,45,371,1.918450044320628,ADRA2A/ANGPTL4/AQP1/AURKA/CD9/CDK1/CLDN4/CSRP1/DHFR/DSP/ENG/ERBB3/F11R/F13A1/F2RL1/F3/FAP/FGA/FGB/FGG/GAP43/GAS6/HMOX1/HNF4A/ITGA2/ITGB3/ITGB4/ITGB6/ITPR3/KLK6/NREP/OCLN/PAX6/PDGFA/PPARA/SERPINA1/SERPINE2/SHH/SLC1A3/SPP1/TLR3/VIL1/VTN/WNT3A/WNT7A
GO:0050000,chromosome localization,9.968367666564506e-4,14,61,3.630028972750944,AURKB/BIRC5/CCNB1/CDCA5/CDK1/CDT1/CENPF/DLGAP5/KIF22/KIF2C/NEK2/PSRC1/RACGAP1/TTK
GO:0035136,forelimb morphogenesis,0.00162033110068199,8,22,5.751474476306691,CRABP2/GDF5/RUNX2/SHH/TBX3/TBX5/TFAP2A/WNT7A
GO:0061982,meiosis I cell cycle process,0.00162033110068199,14,64,3.4598713646532437,AURKA/CCNB2/CCNE2/CDC20/CDC25C/ESPL1/FANCD2/HSPA2/PKMYT1/PLK1/PTTG1/REC8/TOP2A/TRIP13
GO:0007389,pattern specification process,0.00197004168662924,36,284,2.0049153984308536,APLNR/AURKA/AXIN2/BMP5/C3/EGR2/ENG/FOXA1/GBX2/HAND1/HAND2/HHEX/HNF1B/HOXB8/IRX4/ISL1/LEFTY2/NKX3-1/PAX6/PITX2/RELN/SHH/STC1/TBX2/TBX20/TBX3/TBX5/TCAP/WNT11/WNT2/WNT3A/WNT6/WNT7A/WNT7B/ZIC1/ZIC3
GO:0051225,spindle assembly,0.00216126041908407,14,66,3.35502677784557,AURKA/AURKB/BIRC5/CCNB2/CDC20/KIF15/KIF23/KIF4A/MYBL2/NEK2/PLK1/RACGAP1/TPX2/UHRF1
GO:0090329,regulation of DNA-templated DNA replication,0.00216243663267415,8,23,5.501410368641183,CDT1/DBF4/MCM2/MCM4/MCM5/MCM6/MCM7/TIMELESS
GO:0007517,muscle organ development,0.00291244734882755,30,224,2.1182885906040267,ACTA1/ACTC1/CASQ1/CENPF/DSP/EGR1/EGR2/ELN/ENG/ERBB3/FOS/GPC1/HAND1/IGF2/ISL1/KLF5/MYH6/MYL3/PAX3/PKP2/PROX1/SHH/TBX20/TCAP/TNNC1/TNNI1/TNNI3/USP2/WNT2/WNT3A
GO:2000352,negative regulation of endothelial cell apoptotic process,0.00294736682849331,8,24,5.272184936614466,ANGPTL4/FGA/FGB/FGG/GAS6/GATA3/ICAM1/ITGB3
GO:0007596,blood coagulation,0.00370969944830456,23,154,2.362212731340248,ADRA2A/ANGPTL4/CD9/CSRP1/F11R/F13A1/F2RL1/F3/FAP/FGA/FGB/FGG/GAS6/HNF4A/ITGA2/ITGB3/ITPR3/PDGFA/SERPINA1/SERPINE2/SHH/VTN/WNT3A
GO:0045216,cell-cell junction organization,0.00400938877209918,23,155,2.346972649202569,AGT/APLNR/CD9/CDH1/CDH17/CDH3/CDH6/CLDN23/CLDN4/DSG2/DSP/F11R/F2RL1/GJB2/GRHL2/KIFC3/OCLN/PERP/PKHD1/PKP2/TBX5/TJP2/WNT11
