ID,Description,NGenes,Direction,PValue,FDR
WP5061,Fatty acid transporters,12,Down,0.051581287493786515,0.3770219879700478
WP4657,22q11 2 copy number variation syndrome,107,Up,0.05213169154074378,0.37715682961619734
WP2291,Deregulation of Rab and Rab effector genes in bladder cancer,15,Down,0.05268850056145707,0.37733481715225314
WP3874,Canonical and non canonical TGF B signaling,17,Down,0.05365028776868434,0.380380540279972
WP722,Serotonin HTR1 group and FOS pathway,34,Down,0.05592418686676837,0.3925767177083047
WP186,Homologous recombination,13,Up,0.058876651101457865,0.4072436857990152
WP4756,Renin angiotensin aldosterone system RAAS,33,Down,0.05992576215495758,0.4072436857990152
WP5411,Phosphatidyl inositol phosphate pathway,44,Down,0.06021991825303417,0.4072436857990152
WP500,Glycogen synthesis and degradation,38,Down,0.060786754367457944,0.4072436857990152
WP4259,Disorders of folate metabolism and transport,18,Up,0.06088551578941553,0.4072436857990152
WP3971,OSX and miRNAs in tooth development,14,Up,0.06163422027886862,0.40839871194128835
WP5111,Familial hyperlipidemia type 4,14,Down,0.06542287179910361,0.42948903801448574
WP5050,TCA cycle in senescence,10,Down,0.06608710543731933,0.42986933720237985
WP2880,Glucocorticoid receptor pathway,62,Down,0.0677591492468925,0.4331387937240256
WP4239,Epithelial to mesenchymal transition in colorectal cancer,144,Down,0.06781157419374731,0.4331387937240256
WP4941,GPR143 in melanocytes and retinal pigment epithelium cells,23,Down,0.06874743815464285,0.43519583617537305
WP3893,Development and heterogeneity of the ILC family,19,Down,0.07080402766001588,0.4442482797429315
WP5344,Cardiomyocyte signaling converging on titin,28,Down,0.07144050110304974,0.4443097831759848
WP3853,ERK pathway in Huntington 39 s disease,16,Up,0.07397114082367187,0.44767963865047194
WP4969,RAS and bradykinin pathways in COVID 19,19,Down,0.07417453177682323,0.44767963865047194
WP53,ID signaling,13,Up,0.07438953516781774,0.44767963865047194
WP5345,1p36 copy number variation syndrome,87,Up,0.07452376845859471,0.44767963865047194
WP3391,Senescence associated secretory phenotype SASP,76,Up,0.07513945980170121,0.44767963865047194
WP2877,Vitamin D receptor pathway,128,Down,0.07675192083853032,0.4511635446268929
WP5358,JAK STAT signaling in the regulation of beta cells,30,Up,0.0777780649833345,0.4511635446268929
WP545,Complement activation,13,Down,0.07847710015816194,0.4511635446268929
WP619,Type II interferon signaling,27,Up,0.0790007846404528,0.4511635446268929
WP4300,Extracellular vesicles in the crosstalk of cardiac cells,19,Down,0.07902452132619192,0.4511635446268929
WP3995,Prion disease pathway,30,Up,0.07954223283266801,0.4511635446268929
WP5333,Enterocyte cholesterol metabolism,33,Down,0.08185934127432583,0.4606212139960081
WP3414,Initiation of transcription and translation elongation at the HIV 1 LTR,31,Up,0.08447009923078241,0.47156929413090337
WP5560,Lupus therapies,12,Down,0.08744295240542967,0.4762551212496706
WP4942,15q13 3 copy number variation syndrome,19,Up,0.08896280323297982,0.4762551212496706
WP5495,Targeting YAP in pancreatic ductal adenocarcinoma PDAC,24,Down,0.09046644269239995,0.4762551212496706
WP78,TCA cycle aka Krebs or citric acid cycle,18,Down,0.09068556644680821,0.4762551212496706
WP5366,NF1 copy number variation syndrome,78,Up,0.09134477445663673,0.4762551212496706
WP2895,Differentiation of white and brown adipocyte,21,Down,0.09160973822514996,0.4762551212496706
WP98,Prostaglandin synthesis and regulation,39,Down,0.09201375439170689,0.4762551212496706
WP5318,Female steroid hormones in cardiomyocyte energy metabolism,13,Down,0.09212965939874104,0.4762551212496706
WP2586,Aryl hydrocarbon receptor pathway,40,Up,0.09324114301580091,0.4762551212496706
WP4725,Sphingolipid metabolism overview,25,Down,0.09338142275753988,0.4762551212496706
WP3668,Hypothesized pathways in pathogenesis of cardiovascular disease,25,Down,0.093778209031863,0.4762551212496706
WP4211,Transcriptional cascade regulating adipogenesis,13,Down,0.09403750166645877,0.4762551212496706
WP106,Alanine and aspartate metabolism,10,Down,0.09417782306576282,0.4762551212496706
WP5121,Sphingolipid metabolism in senescence,27,Down,0.09471364188463126,0.4762551212496706
WP4545,Oxysterols derived from cholesterol,30,Down,0.09647307218167653,0.4792270612143553
WP5461,Primary ovarian insufficiency,109,Up,0.09665651587257096,0.4792270612143553
WP3584,MECP2 and associated Rett syndrome,62,Up,0.097414477135902,0.47963100200940634
WP5351,Kleefstra syndrome,28,Up,0.0988893395984285,0.4806695253345522
WP5432,Omega 3 fatty acids in senescence,21,Down,0.09898131269230553,0.4806695253345522
WP5529,Wnt Beta catenin signaling and ARTD family members,15,Up,0.09979845091594144,0.48134082788709176
WP129,Matrix metalloproteinases,20,Down,0.10337865667283605,0.49214659493636964
WP4932,7q11 23 copy number variation syndrome,100,Up,0.10342714054375046,0.49214659493636964
WP2806,Complement system,69,Down,0.10485025531416334,0.49333970301728775
WP1971,Integrated cancer pathway,44,Up,0.10506952772300487,0.49333970301728775
WP2011,SREBF and miR33 in cholesterol and lipid homeostasis,16,Down,0.10998648666066589,0.5070966179593727
WP15,Selenium micronutrient network,67,Down,0.11008319114999321,0.5070966179593727
WP5524,HSPB3 in Charcot Marie Tooth disease,12,Up,0.11014510460612607,0.5070966179593727
WP2533,Glycerophospholipid biosynthetic pathway,27,Down,0.11173215866229956,0.5106472582470475
WP5064,7 oxo C and 7 beta HC pathways,20,Down,0.11369578947824162,0.5106472582470475
WP4922,Mitochondrial complex IV assembly,34,Down,0.11431298222568487,0.5106472582470475
WP5202,Alstrom syndrome,35,Up,0.11488762397532887,0.5106472582470475
WP5224,2q37 copy number variation syndrome,105,Up,0.11543556118963672,0.5106472582470475
WP5173,Disorders of galactose metabolism,12,Down,0.11553183442209634,0.5106472582470475
WP5548,Blood based neuroinflammation markers,16,Up,0.11595798106879358,0.5106472582470475
WP430,Statin inhibition of cholesterol production,20,Down,0.11779231096368584,0.5118200646072864
WP2023,Cell differentiation expanded index,13,Up,0.11848067383853456,0.5118200646072864
WP4318,Mitochondrial fission and fusion,12,Down,0.11860742132138072,0.5118200646072864
WP3930,EDA signaling in hair follicle development,11,Down,0.11911186270832474,0.5118200646072864
