ID,NGenes,Direction,PValue,FDR
GO:0003161,15,Down,0.220054762320107,0.6511824599268473
GO:0001736,13,Down,0.220697918144496,0.6520620308814654
GO:0031915,10,Up,0.2214864752124845,0.6527700545653022
GO:0032259,59,Up,0.2216379760054555,0.6527700545653022
GO:0051480,19,Down,0.22197644826332028,0.6527700545653022
GO:0051497,19,Down,0.22347622345466714,0.6561568243178311
GO:0007099,13,Up,0.22405514490910527,0.6568335119030535
GO:0019432,15,Down,0.22499168383244436,0.6577699963815652
GO:0043162,13,Up,0.2252321594212686,0.6577699963815652
GO:0046718,75,Down,0.2255400419646459,0.6577699963815652
GO:0030517,13,Down,0.22645113888336044,0.6577699963815652
GO:0031397,41,Up,0.22653598923147053,0.6577699963815652
GO:0048596,10,Up,0.22716701790005142,0.6577699963815652
GO:0039702,12,Up,0.22738571453852974,0.6577699963815652
GO:0032753,16,Down,0.22751496259834225,0.6577699963815652
GO:0010832,10,Up,0.22752450188877604,0.6577699963815652
GO:0050769,22,Down,0.2283017434255173,0.6577699963815652
GO:0006699,17,Down,0.2284208745019699,0.6577699963815652
GO:0003351,11,Up,0.22890223854979266,0.6577699963815652
GO:0031018,11,Down,0.22891093773278873,0.6577699963815652
GO:0043687,27,Up,0.22935084915870368,0.6580309751357024
GO:0035024,11,Down,0.2304366555745639,0.6586373236956328
GO:0048678,19,Up,0.23052435053753953,0.6586373236956328
GO:0006376,11,Up,0.23061041572366983,0.6586373236956328
GO:0042572,28,Down,0.2312386115914128,0.6594323492432875
GO:1900119,11,Up,0.23200890143662878,0.659460549894795
GO:0071260,61,Down,0.23207607746521164,0.659460549894795
GO:0033209,40,Down,0.23234547224841004,0.659460549894795
GO:0045840,16,Up,0.23273954659821433,0.659460549894795
GO:0038066,17,Down,0.23360775850625884,0.659460549894795
GO:0046579,13,Down,0.233813478034005,0.659460549894795
GO:0033189,12,Up,0.23392724988334723,0.659460549894795
GO:0045070,20,Up,0.23419806749877214,0.659460549894795
GO:0042574,14,Down,0.23450507413149232,0.659460549894795
GO:0002224,21,Up,0.23505626392406326,0.659460549894795
GO:0009612,40,Down,0.23516441912160949,0.659460549894795
GO:0032526,31,Down,0.2355005861001426,0.659460549894795
GO:0031669,27,Up,0.23579650431251556,0.659460549894795
GO:0045830,10,Up,0.23616698463945857,0.6595181719190806
GO:0006413,44,Up,0.23704723779642523,0.66077343793022
GO:0001952,11,Down,0.2373175689542488,0.66077343793022
GO:1901381,11,Down,0.2388963248656414,0.6613388705526989
GO:0045672,14,Down,0.2389165389766508,0.6613388705526989
GO:0048714,16,Up,0.2391587313895942,0.6613388705526989
GO:0007032,16,Down,0.2392686217185703,0.6613388705526989
GO:0001822,90,Down,0.23950641860292146,0.6613388705526989
GO:0051149,12,Down,0.23966861384022764,0.6613388705526989
GO:0051146,11,Down,0.23997654507058144,0.6613388705526989
GO:0120163,36,Up,0.24121845328681776,0.6637909261980314
GO:0046330,68,Down,0.24191884680243708,0.6640073686095284
GO:0021854,10,Up,0.2420016245277167,0.6640073686095284
GO:0048147,23,Up,0.24387340550733672,0.6670544682836864
GO:0009792,11,Down,0.24400861114752526,0.6670544682836864
GO:0071320,41,Down,0.2441744775918272,0.6670544682836864
GO:0002687,10,Down,0.24452765919577044,0.6670544682836864
GO:0071542,14,Down,0.24551065494254842,0.6687681857900343
GO:1901796,29,Up,0.2469922896087435,0.6718332841449949
GO:0001502,15,Down,0.2475737743138238,0.672444617552677
GO:0002183,10,Up,0.24873032226598488,0.6746138956422756
GO:0043029,25,Up,0.24997579540002154,0.6770177792083917
GO:0007267,106,Down,0.25047405663327077,0.6773939695175257
GO:0010463,11,Down,0.25145820350023335,0.6783711871469933
GO:0034220,45,Down,0.2515551510958877,0.6783711871469933
GO:0001932,19,Up,0.2521682442558109,0.6790530577460051
GO:0000289,10,Up,0.2534196332958086,0.681449370560056
GO:0001658,31,Down,0.25408594030783055,0.6822678026784339
GO:0032691,17,Up,0.2552762215046473,0.6834633258188256
GO:0030214,10,Up,0.25639944722573277,0.6834633258188256
GO:0050921,11,Down,0.256656450412604,0.6834633258188256
GO:0001843,66,Up,0.2567200777941906,0.6834633258188256
GO:0010506,46,Up,0.2569759417704417,0.6834633258188256
GO:0001508,17,Down,0.25698469166058263,0.6834633258188256
GO:0031623,44,Down,0.2570692297111657,0.6834633258188256
GO:0050770,13,Down,0.2585547861186406,0.6864447490614612
GO:1904948,12,Up,0.26031610481639444,0.6901488854836899
GO:0035641,11,Up,0.2610284748492446,0.6910655549028456
GO:0060070,90,Down,0.2626338247549023,0.6943404763856815
GO:0000184,15,Up,0.26340725520997155,0.6950884301100115
GO:0048771,10,Down,0.26365423211069405,0.6950884301100115
GO:0061436,16,Down,0.2642289249275836,0.69523511147284
GO:0009314,11,Up,0.26504356264138307,0.69523511147284
GO:0019079,10,Up,0.2653362889119529,0.69523511147284
GO:0071383,12,Down,0.26563863072409855,0.69523511147284
GO:0022617,21,Down,0.265767319766746,0.69523511147284
GO:0071277,52,Down,0.265922819825951,0.69523511147284
GO:0031503,11,Down,0.2684702990433537,0.7007589155287051
GO:0007026,19,Up,0.26877914903302585,0.7007589155287051
GO:0042100,20,Down,0.27002161354195414,0.7030258860864413
GO:0006283,10,Up,0.2709759769227084,0.7045375399990419
GO:0006644,21,Down,0.2729509022084112,0.7084587429629112
GO:0035666,10,Up,0.2732358122726984,0.7084587429629112
GO:0007265,61,Down,0.27501420247990294,0.7112156544870868
GO:0085020,11,Up,0.275053693432937,0.7112156544870868
GO:0007616,29,Down,0.276092783396889,0.7120767903846814
GO:0045893,444,Up,0.27614224603246795,0.7120767903846814
GO:0035116,19,Down,0.2772083949311863,0.7124102702476007
GO:0051091,55,Up,0.27739972649846617,0.7124102702476007
GO:1905515,42,Up,0.27740537844124086,0.7124102702476007
GO:0010332,23,Up,0.27812996484210223,0.7132992975882486
GO:0003151,41,Down,0.27879413061503694,0.7134202385140865
GO:0006414,13,Up,0.27909649814370163,0.7134202385140865
GO:0051966,20,Down,0.2793125390044541,0.7134202385140865
GO:0001755,29,Down,0.2806552925486789,0.7147445016650352
GO:0060441,12,Down,0.2808807908311854,0.7147445016650352
GO:0030866,22,Down,0.280968528240738,0.7147445016650352
GO:0000077,32,Up,0.2825448916124079,0.7177568259965509
GO:0006612,18,Down,0.2829142290267572,0.7177568259965509
GO:0050927,11,Down,0.2833284441232007,0.7178415553390233
GO:1905564,14,Up,0.28533640996506,0.7219585674954874
GO:0021772,16,Up,0.28839218154014934,0.7274347136445368
GO:0071526,27,Up,0.28860622189641516,0.7274347136445368
GO:0031175,70,Down,0.28905849073444634,0.7274347136445368
GO:0009755,23,Down,0.28930596931959957,0.7274347136445368
GO:0071806,12,Down,0.28943025741825074,0.7274347136445368
GO:0071360,13,Up,0.2905522966192816,0.7292823956422714
GO:0060411,14,Down,0.29144434096907,0.7293266503576931
GO:0070534,28,Down,0.2915568043691044,0.7293266503576931
GO:0045943,17,Up,0.2922401030256723,0.7293266503576931
GO:0070102,12,Down,0.29245051221596896,0.7293266503576931
GO:0051603,18,Down,0.2925044815227671,0.7293266503576931
GO:0035855,13,Up,0.2931259563983207,0.7295299663529798
GO:0007601,73,Down,0.2933600607403495,0.7295299663529798
GO:0014911,19,Down,0.29458674578149513,0.7316153040818424
GO:0038063,44,Down,0.29568970340282513,0.732446105961872
GO:0043403,11,Down,0.2956999539075055,0.732446105961872
GO:0046907,16,Down,0.29608696697238535,0.732446105961872
GO:0022010,10,Down,0.29749514163667706,0.734965061579471
GO:0003222,11,Up,0.29853073101986927,0.7363924022986857
GO:0071385,16,Down,0.29885421101246396,0.7363924022986857
GO:0016239,22,Down,0.30224206467647535,0.7427615717221354
GO:0006103,15,Down,0.3026117300464222,0.7427615717221354
GO:0060325,22,Down,0.3029867890743038,0.7427615717221354
GO:0050772,17,Up,0.30301519822510453,0.7427615717221354
GO:0043200,15,Up,0.3040740495378783,0.7437906134740625
GO:0009968,26,Down,0.3042828181132387,0.7437906134740625
GO:0010659,10,Down,0.3046187552265126,0.7437906134740625
GO:0048286,29,Down,0.30565113645344616,0.7447059795822069
GO:0006536,12,Down,0.30578378153667274,0.7447059795822069
GO:0006893,17,Down,0.30637874928381525,0.7447678624821382
GO:1902166,12,Up,0.3066667395044413,0.7447678624821382
