ID,Description,k,K,GeneRatio,BgRatio,Ek,enr_ratio,pvalue,p.adjust,Count,n_in_table,N_in_table,RichFactor,FoldEnrichment,zScore,qvalue,geneID
WP3611,Photodynamic therapy induced AP 1 survival signaling,11,45,11/651,45/7052,4.15414066931367,2.647960402799112,0.002087412656993564,0.05109986184320245,11,651,7052,0.24444444444444444,2.647960402799112,3.5365427189488896,0.048603755760734356,BAK1/BAX/BCL3/CCNA2/CDKN1A/FAS/FGF7/IL6/JUNB/MAP2K6/TRAF5
WP5390,Pancreatic cancer subtypes,7,22,7/651,22/7052,2.0309132161089054,3.4467253176930592,0.0027430124169344817,0.06456629227553473,7,651,7052,0.3181818181818182,3.4467253176930597,3.66531101340844,0.06141238326173152,AGR3/CST6/GPR87/KRT7/SCEL/SPRR3/ST6GALNAC1
WP186,Homologous recombination,5,13,5/651,13/7052,1.2000850822461713,4.166371263145456,0.004529913802672277,0.10267804619390494,5,651,7052,0.38461538461538464,4.166371263145456,3.6439295081808716,0.09766246911804169,MRE11/NBN/POLD4/RAD51/RAD54B
WP2363,Gastric cancer network 2,8,30,8/651,30/7052,2.76942711287578,2.8886840757808496,0.004716812952999584,0.10309605454413376,8,651,7052,0.26666666666666666,2.88868407578085,3.3058372689087063,0.09806005875972819,COL9A1/COL9A3/DSCC1/RFC3/RFC4/TOP2A/UBE2C/UBE2T
WP702,Metapathway biotransformation Phase I and II,20,118,20/651,118/7052,10.893079977311402,1.8360280142674892,0.005328847788003682,0.1073644177125742,20,651,7052,0.1694915254237288,1.8360280142674892,2.9205312215834316,0.10211992259211133,AKR1C2/AKR7A3/CHST2/COMT/CYP1A1/CYP2J2/CYP2W1/GAL3ST1/GAL3ST3/GAL3ST4/GPX3/GSTA2/HNMT/HS3ST1/HS3ST4/HS3ST5/NAA80/NAT8L/NDST3/SULT1C4
WP2431,Spinal cord injury,16,87,16/651,87/7052,8.031338627339762,1.9921959143316206,0.005438393707663072,0.1073644177125742,16,651,7052,0.1839080459770115,1.9921959143316208,2.9695349311127153,0.10211992259211133,BTG2/CDK1/CXCL2/GADD45A/ICAM1/IL1R1/IL6/MMP9/NOX4/NTN1/PLA2G6/RGMA/SOX9/TACR1/TNFSF13/VCAN
WP5417,Cell lineage map for neuronal differentiation,16,87,16/651,87/7052,8.031338627339762,1.9921959143316206,0.005438393707663072,0.1073644177125742,16,651,7052,0.1839080459770115,1.9921959143316208,2.9695349311127153,0.10211992259211133,ACHE/ADRA2A/CLDN11/ESRRB/GATA6/GLRB/MAP2/NES/NOTCH1/NR4A2/RIMBP2/RIMS2/SNAI1/SNAI2/SOX9/TH
WP5114,Nucleotide excision repair in xeroderma pigmentosum,13,67,13/651,67/7052,6.185053885422575,2.101841025288305,0.007398235585122019,0.1414912555654586,13,651,7052,0.19402985074626866,2.101841025288305,2.889781941163499,0.13457974600567357,DDB2/H2AC6/H4C14/H4C15/H4C8/POLD4/POLE2/POLH/RFC2/RFC3/RFC4/SLX4/XPC
WP2849,Hematopoietic stem cell differentiation,9,40,9/651,40/7052,3.6925694838343732,2.4373271889400923,0.009253871568672689,0.16637640815522697,9,651,7052,0.225,2.4373271889400923,2.9070775741142323,0.15824931838637862,CXCR4/GATA2/HES6/HMGN5/IL6/MUC1/NOTCH1/STAT5A/TRAF3IP3
WP5465,Fanconi anemia,10,47,10/651,47/7052,4.338769143505388,2.3048011242932316,0.009357251456027999,0.16637640815522697,10,651,7052,0.2127659574468085,2.304801124293231,2.86207572011068,0.15824931838637862,BRIP1/CEBPD/FANCD2/MCM2/MRE11/NBN/RAD51/SLX4/UBE2T/XRCC2
WP24,Peptide GPCRs,7,27,7/651,27/7052,2.492484401588202,2.808442851453604,0.009514990662472132,0.16637640815522697,7,651,7052,0.25925925925925924,2.808442851453604,3.0023093931256106,0.15824931838637862,BDKRB2/CXCR4/EDNRB/OPRD1/OXTR/SSTR5/TACR1
WP3959,DNA IR double strand breaks and cellular response via ATM,11,55,11/651,55/7052,5.077283040272263,2.166513056835637,0.010558706552644168,0.17949801139495086,11,651,7052,0.2,2.1665130568356377,2.7695355875675163,0.17072996267872,BAK1/BAX/BLM/CDC25C/CHEK1/CHEK2/FANCD2/MDM2/MRE11/NBN/RAD51
WP4946,DNA repair pathways full network,19,119,19/651,119/7052,10.985394214407261,1.72956924705366,0.012278512200189669,0.20309322882475883,19,651,7052,0.15966386554621848,1.7295692470536599,2.5595954993669046,0.19317261014807643,BRIP1/CHEK1/DDB2/FANCD2/FEN1/HMGB1/MRE11/MSH2/NBN/NEIL3/POLD4/POLE2/POLH/RAD51/RAD54B/RFC2/RFC3/RFC4/XPC
WP5560,Lupus therapies,4,11,4/651,11/7052,1.0154566080544527,3.939114648792068,0.014009939797833838,0.22563376727037654,4,651,7052,0.36363636363636365,3.9391146487920685,3.11091135253764,0.21461209718011393,C4A/C4B/CD40/IL6
WP531,DNA mismatch repair,6,23,6/651,23/7052,2.123227453204765,2.8258865958725705,0.015572516988672076,0.24434595139368973,6,651,7052,0.2608695652173913,2.8258865958725705,2.7969382920811237,0.23241023584573514,MSH2/POLD4/POLE2/RFC2/RFC3/RFC4
WP1742,TP53 network,5,17,5/651,17/7052,1.5693420306296086,3.1860486129935843,0.015970323620502595,0.24434595139368973,5,651,7052,0.29411764705882354,3.1860486129935843,2.8776910316868443,0.23241023584573514,BAX/BBC3/CDKN1A/GADD45A/MDM2
