ID,NES,pval,padj,size,leadingEdge
GO:0001935,-1.038457204953353,0.3911290322580645,0.7313928557967111,24,CAV2;MMP14;VEGFA;BMPR2;APOA1
GO:0030336,-1.0234549275839107,0.39149888143176736,0.7313928557967111,86,EPHA4;CDH1;SHH;PTPRT;KANK1;TGFBR3;TP53INP1;SERPINE1;CD74;TBX5;AFDN;GSK3B;ROBO1;NOG;TET1;ING2;SERPINB1;CDH11;MITF;TPM1
GO:0046579,-1.0424891443645723,0.39263803680981596,0.7327947518678248,13,RASGRP1;RASGEF1A;IGF1;SHOC2
GO:0007187,1.0369808113154042,0.3937621832358674,0.7334404302367689,29,CCL2;HRH1;NPY;CNR1
GO:0007030,-1.0353864072937604,0.39337474120082816,0.7334404302367689,44,ATP8B1;LMAN1;SYNE1;RAB30;TMED7;RAB2A;TANGO2;PI4K2A
GO:0050921,-1.0623238726743296,0.3956262425447316,0.7346841238320642,11,F2RL1;STX3;SUCNR1;PDGFRA;TGFB1
GO:0045861,-1.0592526915974319,0.3956262425447316,0.7346841238320642,11,SERPINE2;F2
GO:0006968,-1.054049511762249,0.3967611336032389,0.7346841238320642,18,DCDC2;ITGB1;PTK2B
GO:1902166,1.0520271236613847,0.3965183752417795,0.7346841238320642,12,ATAD5;CD44;BCL2;KDM1A;MIF;TAF9B
GO:0007268,1.0306508351041437,0.39676840215439857,0.7346841238320642,116,GRIA1;AMPH;HRH1;GPR176;CACNA1A;CRH;GRIK2;CTNNB1;NPY;RPS6KA2;SNCA;GRIK4;TAC1
GO:0007601,-1.0239121825327455,0.39606126914660833,0.7346841238320642,73,SFRP5;EPAS1;TIMP3;CDH3;SPATA7;PDE6B;DRAM2;RP2;RDH11;GJA3;GJD2
GO:0008360,-1.0236324637387049,0.39740820734341253,0.7351466838491979,76,FGD4;FN1;F11R;SH3KBP1;EZR;MYO10;VIL1;RHOQ;PTK2B;VEGFA;F2;ANXA1;DNMBP;CSF1R;DLG1;FGD5;RDX;TPM1;DIAPH1;RAC2;SEMA4D;ATP10A
GO:0090050,-1.0532022006380244,0.39878542510121456,0.7355783167455793,18,PTGS2;TGFBR3;VEGFA;PIK3C2A
GO:0043162,1.0398285956564655,0.3996101364522417,0.7355783167455793,13,VPS37B;VPS4A;VPS37D;MVB12A;CHMP6;VPS37C;HDAC6
GO:0060045,-1.03953490906119,0.40040241448692154,0.7355783167455793,25,WNT2;TGFBR3;GATA6;TBX5;YAP1;TBX20;RBPJ;TBX2;FGF9;NRG1;MAPK14
GO:0008543,-1.0355057184832748,0.39828693790149894,0.7355783167455793,68,MET;EPHA4;FLT1;GALNT3;FGF1;FGFR4;MERTK;CCN2;INSR;SOS1;WNT5A;NOG;SHOC2;FGF18;PDGFRA;CSF1R;FGF7;TBX2;IQGAP1;AXL;PTPN11;FGF9;RAB14
GO:0060395,-1.0265384897820649,0.40040650406504064,0.7355783167455793,22,FOS;INHBA
GO:0007605,-1.0248168359221996,0.39956803455723544,0.7355783167455793,72,DCDC2;USH1C;MBP;TFAP2A;ATP8B1;SLC1A3;MYO6
GO:0030010,-1.022612065492788,0.4,0.7355783167455793,27,WNT7A;PHLDB2;RHOQ;PRKCZ;GSK3B;KCNJ8;PRKCI
GO:0000184,1.0155557008154186,0.40076335877862596,0.7355783167455793,15,RNPS1;DCP2;UPF1;EIF4A3;NCBP2;ETF1;MAGOH;NCBP1;PYM1
GO:0048546,-1.050339169944643,0.40159045725646125,0.7356637628070257,11,SFRP5;HIF1A;BBS7;NODAL;SFRP1
GO:0007405,1.0313536284648777,0.4015444015444015,0.7356637628070257,30,RACGAP1;PAX6;CTNNB1;TP53;HHIP;GLI3;SMO
GO:0046847,-1.0219911763540754,0.40208333333333335,0.7358515372168285,16,FGD4;CD2AP;EZR
GO:0050807,1.031660379266015,0.40310077519379844,0.7369980225415229,17,WNT3A;TUBB;TUBA1A;SLC7A11;SEPTIN11
GO:0015721,-1.0459782692544513,0.40357852882703776,0.7371565182548122,11,ATP8B1;ABCD3;AKR1C1
GO:0002230,-1.0244302371622294,0.40447154471544716,0.7380724702697172,22,IL23A;STAT1;SELENOK;ERCC6
GO:0048514,-1.0455943907090692,0.4053497942386831,0.7382457605216596,17,FLT1;SERPINF2;COL4A1;SYK;SOS1;TBX1
GO:0023019,1.026981216545587,0.4050387596899225,0.7382457605216596,17,MSX2;PAX6;PARP1;MSX1;FGF5
GO:0098761,1.044583528342939,0.40681362725450904,0.7401966094350865,11,YBX1;STIP1;BTK;CRKL;HSPD1;GIPC1;ATIC
GO:1901524,1.0434344427433762,0.4088176352705411,0.7409819639278558,11,GSK3A;PARL;FKBP8
GO:0032206,1.0325632452158855,0.40836653386454186,0.7409819639278558,27,NEK2;AURKB;MYC;MAP2K7;MRE11;MAP3K4;SIRT6;MAPK15;RTEL1;PNKP;MAPK3;SLX4;TERF1;PML;PKIB
GO:0042307,-1.0279276557623915,0.40772532188841204,0.7409819639278558,34,PTGS2;PIK3R1;CDH1;SHH
GO:0002052,1.0267385770216049,0.4086444007858546,0.7409819639278558,20,WDR62;PAX6;CTNNB1;GLI3;SMO;ID4;FZD3;NOTCH1;CX3CL1;KDM1A
GO:0007292,1.0573615872542312,0.41141732283464566,0.7449775730483257,10,MCM8;HROB
GO:0031663,1.0280243119946808,0.4123505976095618,0.74595093713438,27,IRAK1;NFKBIA;JAK2;SCARB1;IRAK3;AKT1;TLR4;PRKCE;IRF3;MAPK3;MTDH
