ID,Description,NES,pval,padj,size,leadingEdge
WP4871,Kisspeptin kisspeptin receptor system in the ovary,-0.9485960397848306,0.5345911949685535,0.7962713387241689,36,MMP9;HSD3B1;PRKCB;PIK3CA;PRKCH;PRKCQ;KISS1;PDK1;MAP2K1;PLCB4
WP5028,Glycine metabolism including IMDs,0.9372245252946176,0.5343511450381679,0.7962713387241689,15,IBA57;GLRX5;SHMT1
WP4018,Clear cell renal cell carcinoma pathways,-0.9574154479912956,0.5407725321888412,0.8004336645550907,79,FLT1;KSR1;PLOD2;HK2;ME1;PFKP;VEGFA;HIF1A;PGM1;SLC2A1;CEP290;ALDOC;PDGFRA;TGFB1;ENO3;KCNJ2;MDH1
WP4595,Urea cycle and associated pathways,0.93298467351450165,0.5402750491159135,0.8004336645550907,20,CPS1;SLC25A15;LDHB;PYCR1;SLC25A12;GLUD1
WP5526,Age related macular degeneration,-0.9218402218244192,0.5395833333333333,0.8004336645550907,16,PRKAA2;PRKAB2;MDH1;PPARGC1A
WP5483,Hallmark of cancer non mutational epigenetic reprogramming,0.9277673581334274,0.5484496124031008,0.8096688237533308,17,EZH2;DNMT1;IFITM3;FTO;ANKRD13C;CREBBP
WP5503,Albuterol and budesonide therapy for asthma,-0.912645954336817,0.5492957746478874,0.8096688237533308,25,ADCY7;PRKACB;ADCY6;MYL3;MYL2;PRKAR1A;PLCB4;MYL4
WP2864,Apoptosis related network due to altered Notch3 in ovarian cancer,0.94841892551607,0.5526315789473685,0.8112128146453089,51,BIRC5;IL7R;NQO1;ABL1;HELLS;NFKB1;SOCS3;PTK2;AXIN1;ETS1
WP1533,Vitamin B12 metabolism,0.9236465926804399,0.5522388059701493,0.8112128146453089,38,TCN2;ICAM1;CCL2
WP5052,Nephrogenesis,0.9283776088903711,0.5562015503875969,0.8147663207124095,14,WNT3A;NOTCH2;SIX2
WP4814,Somatic sex determination,-0.9214861645471476,0.558648111332008,0.8166629091430797,11,FOXL2;SOX8;WT1;SOX9
WP325,Triacylglyceride synthesis,-0.9120736945581036,0.5607287449392713,0.8180178604155213,18,AGPS;PLPP1
WP2878,PPAR alpha pathway,-0.9084434831277524,0.562753036437247,0.8192852214250679,18,APOA2;PPARA;APOA1;ACADM;ACAA1;SCP2;EHHADH
WP2583,T cell receptor and co stimulatory signaling,0.9131543408426259,0.567193675889328,0.8240580250113392,21,NFKBIA;PRKCA;PLCG1;GSK3A;NFKB1
WP4788,Autosomal recessive osteopetrosis pathways,-0.9209549776094902,0.5708502024291497,0.8276744243809144,10,SNX10;TRAF6
WP3915,Angiopoietin like protein 8 regulatory pathway,-0.9448658768755428,0.5746606334841629,0.8314987533474928,119,PIK3R1;SESN3;PRKAA2;SCD;TRIP10;RHOQ;MAP3K9;PRKAB2;FOXO1;PIK3CA;PIK3C2A;MAP3K1;THRB;MAP2K3;INSR;SOS1;GSK3B;PIK3C2G
WP5505,Glycosylphosphatidyl inositol anchor pathway,0.9162829257285623,0.5762376237623762,0.8320824343126776,25,PIGC;DPM2;PIGQ;PIGH;PIGU;GPAA1;PGAP2;PIGT;PIGG
WP28,Selenium metabolism and selenoproteins,-0.9250663475495505,0.5780590717299579,0.832753409391561,43,FOS;SELENOP;SELENOI;SELENOK;CREM;SELENOT;SEPSECS;TXNRD3;SELENOM;SELENOW;SELENOS
WP5231,Hippocampal synaptogenesis and neurogenesis,0.9051464620928664,0.5790513833992095,0.832753409391561,23,SYT2;PRKCA;HNRNPL;CAMKK1;DIO2
WP3657,Hematopoietic stem cell gene regulation by GABP alpha beta complex,0.9206448818940185,0.5807086614173228,0.8334462367305301,18,DNMT1;SMARCA4;GABPB1;BCL2;CREBBP;DNMT3B
WP4190,Mevalonate arm of cholesterol biosynthesis pathway,-0.9132211650932792,0.5835051546391753,0.835767989170051,12,HMGCR;HMGCS1
